,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Accumulated time steps,0.0,865.0,1331.0,1482.0,1745.0,2010.0,2446.0,2717.0,2868.0,3227.0,3684.0,4039.0,4308.0,4459.0,4739.0,5071.0,5345.0,5506.0,5761.0,5927.0,6197.0,6563.0,6714.0,6863.0,7101.0,7282.0,7538.0,7790.0,8226.0,8577.0,8747.0,9203.0,9449.0,9791.0,10047.0,10324.0,10586.0,10749.0,10908.0,11180.0,11433.0,11592.0,11744.0,12299.0,12645.0,12988.0,13150.0,13304.0,13451.0,13698.0,13944.0,14210.0,14632.0,14785.0,15045.0,15292.0,15439.0,15701.0,16054.0,16216.0,16611.0,16772.0,17059.0,17306.0,17477.0,17738.0,17992.0,18242.0,18498.0,18642.0,18793.0,19141.0,19299.0,19445.0,19686.0,20001.0
Episode reward,0.0,51.21389888999921,73.85151466000576,91.12660472744064,84.59636232650195,85.1390685918731,76.52385824319275,84.07678808771642,91.85703379788252,79.24732847557243,77.53606605778482,80.0385705800168,83.45863187920625,91.49505866079042,85.67330953371348,82.33672504909423,84.20253476891934,91.53012138041441,87.13368230114872,89.52779018326244,84.73978028899285,80.32722143828778,91.71550036468466,92.67663129259219,86.8013572690295,88.56555310887981,88.80500145949469,86.16800852086683,76.66945699877706,80.3739954547061,91.29238975467696,75.413505584279,87.92143227071735,82.94920657487275,89.73427746012653,83.85776441548398,87.81446019564466,91.19847404226411,91.86524225511123,84.41452934984459,86.57079480990204,91.84340142427529,92.97591583605737,74.44878673204201,84.13359603596108,82.82106316411175,90.87561352239406,91.94020264019885,92.50913463222626,87.6989335800674,87.67627539373875,86.84096803448746,79.89387518957753,91.69958555336116,84.62341595165904,86.12902012971102,92.08981077781385,85.57616582238477,81.63666824964031,91.36481512365987,82.02684708934073,90.56423064694042,84.33430978206025,87.52125389034923,89.96140037317633,86.002288356738,87.16481914102647,87.26981473340572,87.2292888514089,92.4288864818617,93.24177378840133,83.01304929879588,91.16649819073702,92.33113847000466,88.38574950966812,82.4062122742888
Episode feedback,0.8,0.361529547669143,0.23225806401664933,0.16666666555555557,0.11450381635685566,0.12121212075298439,0.11724137904082442,0.1296296291495199,0.10666666595555556,0.1201117315080678,0.08771929805324716,0.0564971749816464,0.10447761155045668,0.059999999600000006,0.06451612880101747,0.027190332244137968,0.021978021897516402,0.012499999921875001,0.051181102160704324,0.018181818071625347,0.044609665261674106,0.021917808159129294,0.0,0.006756756711102995,0.012658227794691022,0.005555555524691358,0.00784313722414456,0.02390438237488294,0.013793103416567578,0.01428571424489796,0.0,0.010989010964859316,0.004081632636401499,0.0,0.00784313722414456,0.003623188392669607,0.0076628352196826234,0.0,0.0,0.0,0.003968253952506929,0.0,0.006622516512433666,0.0,0.0,0.0029239765996374955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040650406338819485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,73.36926126480103,108.91184830665588,119.94610977172852,137.24802660942078,155.25051736831665,183.61045932769775,202.59474229812622,213.36239981651306,237.71837091445923,265.8976080417633,287.2677137851715,304.87572050094604,314.47516226768494,331.5485816001892,350.6858112812042,366.2147488594055,375.71032643318176,391.46054697036743,401.3483250141144,417.21706676483154,437.44589948654175,446.00232672691345,454.85417079925537,468.4365289211273,478.5251467227936,492.68740701675415,506.8259253501892,531.0170197486877,550.1909329891205,559.822187423706,584.4879615306854,597.8225634098053,616.0991485118866,630.4539420604706,645.5136194229126,659.7790524959564,669.1570551395416,678.1632189750671,693.1896543502808,707.4608836174011,716.3657321929932,725.079803943634,754.2359735965729,773.1794505119324,792.2438354492188,801.5471768379211,810.6034114360809,819.2272098064423,832.6532289981842,846.1404089927673,860.6010053157806,884.5276029109955,893.4988913536072,907.6602065563202,921.1093657016754,929.5254335403442,944.0101048946381,962.6761724948883,972.0874979496002,993.1220097541809,1002.2063419818878,1017.8845155239105,1031.7032663822174,1041.458027601242,1055.9562385082245,1070.0782284736633,1083.9556126594543,1097.71972322464,1106.0109174251556,1114.6695492267609,1133.4737372398376,1143.0921676158905,1152.6836278438568,1166.4317462444305,1183.8267798423767
total minutes,0.0,1.222821021080017,1.815197471777598,1.9991018295288085,2.2874671101570128,2.5875086228052777,3.060174322128296,3.3765790383021037,3.5560399969418843,3.9619728485743204,4.431626800696055,4.7877952297528585,5.081262008349101,5.241252704461416,5.525809693336487,5.8447635213534035,6.103579147656759,6.261838773886363,6.524342449506124,6.68913875023524,6.953617779413859,7.290764991442362,7.433372112115224,7.580902846654256,7.807275482018789,7.97541911204656,8.211456783612569,8.447098755836487,8.850283662478128,9.169848883152008,9.330369790395102,9.741466025511423,9.963709390163421,10.268319141864776,10.507565701007843,10.75856032371521,10.996317541599273,11.152617585659026,11.302720316251119,11.553160905838013,11.791014726956686,11.93942886988322,12.084663399060567,12.570599559942881,12.886324175198872,13.204063924153646,13.359119613965353,13.510056857268015,13.653786830107371,13.877553816636404,14.102340149879456,14.343350088596344,14.742126715183257,14.891648189226787,15.127670109272003,15.35182276169459,15.492090559005737,15.733501748243969,16.044602874914805,16.201458299160002,16.552033495903014,16.703439033031465,16.96474192539851,17.195054439703622,17.357633793354033,17.59927064180374,17.834637141227724,18.06592687765757,18.295328720410666,18.433515290419262,18.577825820446016,18.891228953997295,19.05153612693151,19.211393797397612,19.440529104073843,19.73044633070628
cummulative feedback,0.0,312.0,420.0,445.0,475.0,507.0,558.0,593.0,609.0,652.0,692.0,712.0,740.0,749.0,767.0,776.0,782.0,784.0,797.0,800.0,812.0,820.0,820.0,821.0,824.0,825.0,827.0,833.0,839.0,844.0,844.0,849.0,850.0,850.0,852.0,853.0,855.0,855.0,855.0,855.0,856.0,856.0,857.0,857.0,857.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,863.0,465.0,150.0,262.0,264.0,435.0,270.0,150.0,358.0,456.0,354.0,268.0,150.0,279.0,331.0,273.0,160.0,254.0,165.0,269.0,365.0,150.0,148.0,237.0,180.0,255.0,251.0,435.0,350.0,169.0,455.0,245.0,341.0,255.0,276.0,261.0,162.0,158.0,271.0,252.0,158.0,151.0,554.0,345.0,342.0,161.0,153.0,146.0,246.0,245.0,265.0,421.0,152.0,259.0,246.0,146.0,261.0,352.0,161.0,394.0,160.0,286.0,246.0,170.0,260.0,253.0,249.0,255.0,143.0,150.0,347.0,157.0,145.0,240.0,314.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
