,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Accumulated time steps,0.0,558.0,823.0,1086.0,1617.0,1966.0,2123.0,2283.0,2637.0,2888.0,3139.0,3571.0,3721.0,3987.0,4138.0,4307.0,4472.0,4629.0,4789.0,4963.0,5245.0,5507.0,5763.0,6034.0,6287.0,6464.0,6616.0,6771.0,7028.0,7291.0,7658.0,7834.0,8099.0,8341.0,8494.0,8847.0,9008.0,9168.0,9417.0,9677.0,9829.0,9982.0,10220.0,10481.0,10736.0,10899.0,11158.0,11619.0,11775.0,12037.0,12288.0,12450.0,12607.0,12770.0,12921.0,13265.0,13523.0,13729.0,13881.0,14136.0,14291.0,14548.0,14916.0,15170.0,15349.0,15515.0,15794.0,15979.0,16255.0,16523.0,16681.0,16845.0,17208.0,17483.0,17737.0,18004.0,18263.0,18439.0,18599.0,18889.0,19158.0,19416.0,19685.0,19860.0
Episode reward,0.0,71.42087022851062,85.62219579497196,85.56039683911007,68.39673965944127,76.05960244518873,91.27143440492783,90.72262335706434,79.78839758236036,86.92525231446564,86.58739439298402,77.66470518764677,91.32290109818437,85.43847451258625,91.583510469421,90.38536803585981,90.62407233059531,91.07229866322318,90.61431660070885,89.2612747732746,85.37404438033956,84.4585915960255,85.27776293145577,84.15608624898931,80.80222290857279,89.79329681258663,91.57034529018793,91.6935730470187,85.525588773685,86.38593930968207,81.94485748766384,90.02504725471769,86.28620797348623,88.03052771981248,90.66608220237148,79.52319775139361,90.86210265503705,90.78036490614558,86.63980885506253,85.56857598000747,90.80651939314824,90.97759786922775,86.24509578684783,84.41390555793562,86.16899485154497,91.0241459610404,84.32896681825895,69.87513943861278,90.49538133271349,83.9579413182949,85.42926930220099,90.11889248470322,90.69334070901536,89.90692029848319,91.07982201226697,80.04084081161051,86.00063131476229,86.9205728767121,91.77320058692779,85.08851911858494,91.39625423004912,86.15183196038097,75.60849204296136,85.23180549061807,89.2193888219345,90.02391603701187,83.30736226842107,87.74435400219801,83.63311203300391,83.35456658259923,90.58830161190866,90.07535718676414,77.62798462985754,85.38884874830431,85.77067021388086,84.38993219833546,83.36903415313938,88.48636731402625,90.20928548070025,82.71699925523151,84.10779339740749,84.15881971579002,83.64084926382709,88.8363408681778
Episode feedback,0.8,0.3723021576037731,0.20454545377066116,0.11450381635685566,0.11320754695621217,0.07758620667360286,0.13461538375246548,0.10062893018472371,0.10764872490751069,0.07999999968,0.095999999616,0.05568445462718224,0.026845637403720556,0.06415094315414739,0.05333333297777778,0.03571428550170068,0.042682926569006546,0.04487179458415516,0.006289308136545232,0.028901733936984197,0.024911031939818393,0.02298850565904787,0.0392156861207228,0.022222222139917695,0.015873015810027716,0.022727272598140495,0.013245033024867332,0.025974025805363468,0.011718749954223633,0.007633587757123711,0.016393442578159993,0.0,0.003787878773530762,0.008298755152287323,0.0,0.0028409090828383264,0.006249999960937501,0.0,0.004032258048257024,0.011583011538289532,0.006622516512433666,0.0,0.012658227794691022,0.003846153831360947,0.003937007858515717,0.0,0.0,0.002173913038752363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002915451886543872,0.0,0.0,0.0,0.0,0.0,0.003906249984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.01950478553772,62.92737317085266,79.59191012382507,112.01519846916199,132.68394660949707,143.2069480419159,153.64276123046875,175.15810346603394,190.4218339920044,205.77068877220154,230.12053537368774,238.796706199646,254.28087425231934,263.37586069107056,273.4922032356262,283.38592886924744,292.64192843437195,301.6223840713501,311.80647683143616,327.25810265541077,341.8873634338379,356.5412874221802,371.3994650840759,385.2537326812744,395.4162805080414,404.05081009864807,413.0177891254425,427.06916999816895,441.5045726299286,460.98716282844543,470.6838889122009,484.9670796394348,498.2632510662079,506.8733263015747,525.7639272212982,534.8204107284546,543.7259342670441,557.1979727745056,571.4874048233032,580.1621959209442,588.9297647476196,602.0214703083038,616.3029792308807,630.0598638057709,639.1699423789978,653.1728739738464,677.1692562103271,686.0890471935272,700.2648859024048,714.0138781070709,723.1218409538269,731.9838263988495,741.1978056430817,749.7529804706573,768.2150504589081,782.1705400943756,793.4173493385315,802.007853269577,815.7323050498962,824.5617706775665,838.4942367076874,857.9624321460724,871.4958763122559,881.3577628135681,890.6205868721008,905.5338032245636,915.662442445755,930.4004244804382,944.8696441650391,953.8385031223297,962.9733982086182,982.1263084411621,997.0203793048859,1010.7882525920868,1025.272783756256,1039.318482875824,1049.0163941383362,1058.058242559433,1073.605008840561,1087.952704668045,1101.8860657215118,1116.368045091629,1126.106132030487
total minutes,0.0,0.7336584130922953,1.0487895528475444,1.3265318353970845,1.8669199744860332,2.2113991101582844,2.386782467365265,2.560712687174479,2.919301724433899,3.1736972332000732,3.4295114795366923,3.835342256228129,3.979945103327433,4.2380145708719885,4.38959767818451,4.558203387260437,4.723098814487457,4.877365473906199,5.027039734522502,5.1967746138572695,5.454301710923513,5.698122723897298,5.942354790369669,6.189991084734599,6.420895544687907,6.5902713418006895,6.734180168310801,6.883629818757375,7.117819499969483,7.358409543832143,7.683119380474091,7.844731481870015,8.082784660657246,8.304387517770131,8.447888771692911,8.76273212035497,8.91367351214091,9.062098904450734,9.286632879575093,9.524790080388387,9.669369932015737,9.815496079126994,10.033691171805064,10.27171632051468,10.50099773009618,10.652832372983296,10.886214566230773,11.28615427017212,11.434817453225454,11.671081431706746,11.900231301784515,12.052030682563782,12.199730439980824,12.353296760718028,12.49588300784429,12.803584174315136,13.036175668239594,13.223622488975526,13.366797554492951,13.59553841749827,13.742696177959441,13.974903945128123,14.299373869101206,14.524931271870932,14.689296046892801,14.843676447868347,15.092230053742727,15.26104070742925,15.506673741340638,15.747827402750652,15.897308385372162,16.0495566368103,16.3687718073527,16.617006321748097,16.84647087653478,17.087879729270934,17.321974714597065,17.48360656897227,17.634304042657217,17.89341681400935,18.13254507780075,18.3647677620252,18.606134084860482,18.76843553384145
cummulative feedback,0.0,207.0,261.0,291.0,351.0,378.0,399.0,415.0,453.0,473.0,497.0,521.0,525.0,542.0,550.0,556.0,563.0,570.0,571.0,576.0,583.0,589.0,599.0,605.0,609.0,613.0,615.0,619.0,622.0,624.0,630.0,630.0,631.0,633.0,633.0,634.0,635.0,635.0,636.0,639.0,640.0,640.0,643.0,644.0,645.0,645.0,645.0,646.0,646.0,646.0,646.0,646.0,646.0,646.0,646.0,647.0,647.0,647.0,647.0,647.0,647.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,556.0,264.0,262.0,530.0,348.0,156.0,159.0,353.0,250.0,250.0,431.0,149.0,265.0,150.0,168.0,164.0,156.0,159.0,173.0,281.0,261.0,255.0,270.0,252.0,176.0,151.0,154.0,256.0,262.0,366.0,175.0,264.0,241.0,152.0,352.0,160.0,159.0,248.0,259.0,151.0,152.0,237.0,260.0,254.0,162.0,258.0,460.0,155.0,261.0,250.0,161.0,156.0,162.0,150.0,343.0,257.0,205.0,151.0,254.0,154.0,256.0,367.0,253.0,178.0,165.0,278.0,184.0,275.0,267.0,157.0,163.0,362.0,274.0,253.0,266.0,258.0,175.0,159.0,289.0,268.0,257.0,268.0,174.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
