,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
Accumulated time steps,0.0,1000.0,1492.0,1759.0,2028.0,2289.0,2448.0,2720.0,2983.0,3337.0,3499.0,3759.0,4021.0,4302.0,4793.0,5057.0,5339.0,5504.0,5762.0,6133.0,6600.0,6766.0,7096.0,7362.0,7517.0,7673.0,8035.0,8308.0,8569.0,8952.0,9125.0,9399.0,9555.0,9812.0,10077.0,10248.0,10537.0,10810.0,10967.0,11217.0,11377.0,11633.0,11783.0,12049.0,12324.0,12589.0,12747.0,13011.0,13194.0,13460.0,13732.0,14003.0,14277.0,14550.0,14709.0,15063.0,15319.0,15587.0,15737.0,16012.0,16182.0,16639.0,16908.0,17061.0,17227.0,17393.0,17557.0,17727.0,17889.0,18147.0,18420.0,18895.0,19305.0,19660.0,19839.0
Episode reward,0.0,-57.939671779165884,73.21493923544897,85.30442257644859,85.70623558575315,86.0697030365981,91.47230581324567,86.95984700534592,86.91126952785518,83.41689066227522,91.38994917530101,86.82314051731878,87.66022101365117,86.15625611403932,75.27642417176237,88.33281927421851,86.4960871661857,91.83532099094421,87.75652840795568,82.01344351543645,77.41171577400888,90.80380774012896,83.18799229074637,87.43154845976946,91.63242592824639,91.6970566773391,81.59031877496321,86.67467000974875,86.33630071279897,80.40901513479822,90.61051005467073,87.5958580800654,92.2663790568294,87.27977302042964,84.82925543028969,90.90745737132225,85.9234963599598,86.43725466349593,91.49942794476381,85.86074698779653,92.1477804625104,86.80851009726503,91.94732420387756,87.52303960512371,87.16185369493107,87.10738736818986,91.97035929679814,86.35279236811387,88.80971030062787,87.49086654230528,86.41217305616327,86.74609911917526,86.55539862761974,86.15796368838726,91.5316699214314,81.8513232312814,86.81650739551469,85.93274787039928,92.25170003634851,86.41525045517756,90.5003539955438,75.8468348453337,85.66241212561913,91.91406379759766,91.03999117810892,91.42582866022924,91.16280350418653,90.81624290331904,91.19798914144943,86.80947708850266,85.70757444978621,77.31806263867037,77.14404927479532,81.40661790151333,90.5056911927541
Episode feedback,0.8,0.3046092181316541,0.16496944976584635,0.15789473624851602,0.13432835770773002,0.14230769176035504,0.09493670825989425,0.09963099594232105,0.11450381635685566,0.09915014136218091,0.07453416102773813,0.09652509615241275,0.09578544024603279,0.08571428540816327,0.05918367334860475,0.030418250834911596,0.0462633450310913,0.048780487507436056,0.02334630341110388,0.02162162156318481,0.023605150163937445,0.018181818071625347,0.02127659568001035,0.007547169782840869,0.006493506451340867,0.012903225723204995,0.008310249284459142,0.0036764705747188583,0.007692307662721894,0.0026178010402675366,0.005813953454570038,0.0036630036495860674,0.0,0.0,0.007575757547061524,0.01176470581314879,0.010416666630497685,0.0036764705747188583,0.012820512738330047,0.0,0.0,0.00784313722414456,0.0,0.0037735848914204344,0.0036496350231765146,0.0,0.0,0.0038022813543639494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591715972830083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,78.1779248714447,112.25345253944397,130.99566197395325,149.1133050918579,167.10891890525818,178.02114486694336,195.8737494945526,213.3805022239685,237.20391488075256,248.1112060546875,265.1368684768677,282.1481862068176,300.1497242450714,329.36576795578003,344.34265780448914,361.0067172050476,371.1954035758972,385.7629761695862,406.5773506164551,432.62925481796265,442.3405923843384,460.6667094230652,475.5491135120392,484.52885365486145,493.58760714530945,512.9370176792145,527.6155977249146,542.5812940597534,563.0261967182159,572.8493304252625,587.6738572120667,596.7275593280792,610.6170887947083,624.9084014892578,634.626651763916,650.606584072113,665.7260253429413,674.829035282135,688.2909381389618,697.3531696796417,711.5758323669434,720.3555490970612,734.9048609733582,749.8026700019836,764.1179294586182,773.2806529998779,787.7088313102722,798.0331921577454,812.8224129676819,827.6800587177277,842.6605343818665,857.3121547698975,872.0611522197723,881.1538026332855,900.0234477519989,915.6678745746613,930.2329416275024,938.6776983737946,953.5235526561737,963.3521816730499,987.2064275741577,1001.7944796085358,1010.7565124034882,1020.0187630653381,1029.2840354442596,1038.6831970214844,1048.148300409317,1057.5287249088287,1071.4373829364777,1086.3792173862457,1111.6781554222107,1133.3082165718079,1152.2669882774353,1162.3711280822754
total minutes,0.0,1.3029654145240783,1.8708908756573994,2.1832610328992206,2.485221751530965,2.7851486484209698,2.9670190811157227,3.264562491575877,3.5563417037328082,3.953398581345876,4.135186767578125,4.418947807947794,4.702469770113627,5.002495404084524,5.489429465929667,5.739044296741485,6.016778620084127,6.186590059598287,6.42938293615977,6.776289176940918,7.210487580299377,7.37234320640564,7.67777849038442,7.925818558533987,8.075480894247692,8.226460119088491,8.548950294653574,8.793593295415242,9.043021567662556,9.3837699453036,9.54748884042104,9.794564286867777,9.945459322134655,10.176951479911803,10.415140024820964,10.577110862731933,10.84344306786855,11.095433755715687,11.247150588035584,11.471515635649363,11.62255282799403,11.859597206115723,12.005925818284352,12.248414349555969,12.496711166699727,12.735298824310302,12.8880108833313,13.12848052183787,13.30055320262909,13.547040216128032,13.79466764529546,14.044342239697775,14.288535912831625,14.534352536996206,14.68589671055476,15.000390795866648,15.261131242911022,15.503882360458373,15.64462830622991,15.892059210936228,16.055869694550832,16.453440459569297,16.696574660142264,16.84594187339147,17.000312717755637,17.154733924070992,17.31138661702474,17.469138340155283,17.62547874848048,17.857289715607962,18.10632028977076,18.527969257036844,18.8884702761968,19.204449804623923,19.37285213470459
cummulative feedback,0.0,304.0,385.0,427.0,463.0,500.0,515.0,542.0,572.0,607.0,619.0,644.0,669.0,693.0,722.0,730.0,743.0,751.0,757.0,765.0,776.0,779.0,786.0,788.0,789.0,791.0,794.0,795.0,797.0,798.0,799.0,800.0,800.0,800.0,802.0,804.0,807.0,808.0,810.0,810.0,810.0,812.0,812.0,813.0,814.0,814.0,814.0,815.0,815.0,815.0,815.0,815.0,815.0,815.0,815.0,815.0,815.0,815.0,815.0,815.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,491.0,266.0,268.0,260.0,158.0,271.0,262.0,353.0,161.0,259.0,261.0,280.0,490.0,263.0,281.0,164.0,257.0,370.0,466.0,165.0,329.0,265.0,154.0,155.0,361.0,272.0,260.0,382.0,172.0,273.0,155.0,256.0,264.0,170.0,288.0,272.0,156.0,249.0,159.0,255.0,149.0,265.0,274.0,264.0,157.0,263.0,182.0,265.0,271.0,270.0,273.0,272.0,158.0,353.0,255.0,267.0,149.0,274.0,169.0,456.0,268.0,152.0,165.0,165.0,163.0,169.0,161.0,257.0,272.0,474.0,409.0,354.0,178.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
