,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0,951.0,956.0,961.0,966.0,971.0
Accumulated time steps,0.0,501.0,1411.0,1794.0,2112.0,2418.0,2735.0,3052.0,3368.0,3755.0,4063.0,4368.0,4717.0,5015.0,5322.0,5622.0,5931.0,6289.0,6611.0,6920.0,7230.0,7576.0,7881.0,8176.0,8463.0,8796.0,9099.0,9392.0,9680.0,9982.0,10265.0,10567.0,10867.0,11162.0,11468.0,11763.0,12053.0,12401.0,12698.0,12984.0,13291.0,13586.0,13940.0,14247.0,14542.0,14903.0,15197.0,15492.0,15783.0,16062.0,16358.0,16638.0,16941.0,17318.0,17618.0,17918.0,18208.0,18506.0,18798.0,19096.0,19698.0,19983.0,20261.0,20559.0,21067.0,21362.0,21646.0,21930.0,22203.0,22492.0,22784.0,23095.0,23386.0,23674.0,23973.0,24274.0,24577.0,24930.0,25229.0,25523.0,25810.0,26181.0,26464.0,26816.0,27109.0,27393.0,27684.0,27984.0,28274.0,28573.0,28880.0,29184.0,29475.0,29750.0,30092.0,30385.0,30667.0,30965.0,31280.0,31575.0,31943.0,32246.0,32588.0,32884.0,33175.0,33472.0,33761.0,34055.0,34330.0,34624.0,34915.0,35194.0,35491.0,35780.0,36083.0,36378.0,36659.0,36966.0,37297.0,37593.0,37879.0,38175.0,38466.0,38835.0,39129.0,39409.0,39694.0,39992.0,40289.0,40592.0,40901.0,41190.0,41540.0,41827.0,42116.0,42413.0,42688.0,42974.0,43271.0,43560.0,43842.0,44126.0,44425.0,44709.0,45000.0,45298.0,45661.0,45954.0,46255.0,46670.0,46956.0,47242.0,47538.0,47822.0,48097.0,48390.0,48671.0,48944.0,49232.0,49531.0,49814.0,50112.0,50412.0,50710.0,51013.0,51289.0,51585.0,51875.0,52173.0,52649.0,52955.0,53248.0,53525.0,53875.0,54163.0,54435.0,54734.0,55040.0,55316.0,55597.0,55899.0,56223.0,56494.0,56779.0,57068.0,57366.0,57691.0,58015.0,58310.0,58604.0,58904.0,59192.0,59497.0,59781.0,60071.0,60361.0
Episode reward,0.0,407.1959823109739,178.1246538947275,201.68182045671213,167.02755815196838,137.173323349977,180.3047486184745,165.30275852457842,156.2645645488921,335.891731944675,174.1846225363085,135.55828517669232,133.8926086314599,182.1725142311977,178.5118711785483,133.35269254448886,167.04572953044735,291.29334838331425,167.25119764784176,167.02765811494046,134.9297398199829,178.14385007530683,139.81642057707234,130.27807042885016,158.23268084047066,187.3305656445398,167.43375931272863,117.56176052612577,156.44544751281893,170.39978923891937,164.2060536726431,152.9839042740599,168.78103942528688,196.63620489321383,140.867249807952,116.4775724700082,130.39123951557974,118.27851708223007,131.49827818168382,169.16146416095106,142.02072439742358,140.95220077602704,131.88558918695145,170.49059915689358,138.75058320792908,185.3222412748298,154.99929663796328,181.10559617064538,127.80099366794008,171.83664409947713,181.58960665564643,137.22381201688773,177.5182541653325,535.5888337886248,186.5035962745217,160.2917320468245,123.97307357006058,143.72749200472515,168.6771584241892,127.3842272295552,137.3005890425951,123.65494981492756,142.78192407406289,168.1929867693748,196.04832712990012,169.69478499938438,173.46918282498714,126.01536551463339,170.52056779666373,160.79104671351297,129.53806005807675,168.59713755322338,168.3948139767452,140.82825935020773,132.35043931549637,144.103673337492,172.15927850905976,282.8009640387903,130.14818783490338,180.36223914767433,124.51433461831904,165.33400558875852,123.08854800352891,138.62519962643103,169.47035598749412,122.30934802607322,130.2098590354623,159.74257295272878,139.43466448762928,165.83759413736644,194.1829243890203,193.04899427064538,122.90101438263095,156.65863017510713,135.8588655586498,155.4050434424659,132.0088155697607,164.47789919642844,179.53446022471394,133.1937633535169,125.66733276929355,159.88404549837796,170.65634403465847,182.25739647229102,168.09255528248386,185.81165249731038,169.11793964462535,195.69031777988855,125.30685715868087,170.19419555346215,152.7846935536791,121.31014406977174,139.13712222318713,179.0063794998571,167.56060860917543,169.83147345548028,114.45067908196252,219.35617206140577,134.73006281112526,167.03456499861295,130.6850348970701,176.47955478241855,120.59479511897194,188.83921735939325,168.25786773419495,165.76542154378367,159.55332625778095,167.16049840372037,129.22870467324685,187.86114126864396,144.8903345072759,163.91830246000748,163.60414431882455,136.83907192667525,174.19355254769465,148.16008095681892,168.82740063745746,121.20729145418021,155.30430823159875,185.0990750383576,134.43444119188285,172.03363756521924,167.21667818352802,134.60674277567705,180.1040402189436,170.05001063084026,305.84966467349466,162.53139625426482,172.53658328923834,133.3947706529551,159.325190652693,156.11194337155155,128.07826661185425,169.2571137187913,176.43777380384614,135.284709916099,125.7338283751643,137.47979803913194,124.38096879763594,155.2836589815276,133.27392705261425,136.33952664754293,160.3602097719255,193.53667566840917,158.60975857880257,135.75833777475682,130.176750472527,170.65841100049457,166.2595058055027,162.0397943954296,175.43748597185302,122.08782756796697,125.99434562063351,134.86758803767427,172.96328915312785,128.83707004739645,174.60086261927827,183.4926799502372,169.20681015339213,160.13622308224174,167.06407522395446,197.20906461438972,121.45384883075107,132.0470925674522,185.02819154631675,132.48039248944042,163.4300984030686,125.1425698438559,227.2842368820181,197.48260496642163,125.19389641928598,160.6108928551025,175.70471061645256,178.69294044480327,177.11030979437464,126.51145799854481
Episode feedback,0.8,0.767999998464,0.507692299881657,0.4583333269675927,0.578124990966797,0.40677965412237876,0.4776119331699712,0.499999991935484,0.43333332611111125,0.7862595359827517,0.6249999902343751,0.4482758543400715,0.5263157802400741,0.6406249899902345,0.5312499916992189,0.49122806155740245,0.403225799947971,0.6829268237160421,0.6499999891666669,0.4426229435635583,0.5087719208987382,0.4218749934082032,0.42105262419205924,0.4545454462809919,0.5344827494054699,0.4090909028925621,0.4576271108876761,0.43137254056132274,0.5263157802400741,0.4999999916666668,0.46666665888888903,0.5789473582640815,0.3499999941666668,0.31818181336088164,0.28813558833668496,0.3653846083579883,0.5964912176054172,0.3962264076183697,0.41818181057851256,0.4426229435635583,0.46551723335315115,0.5762711766733699,0.4107142783801022,0.316666661388889,0.42857142091836753,0.3174603124212649,0.44642856345663284,0.35483870395421446,0.37037036351166,0.40983605885514657,0.4687499926757814,0.33928570822704096,0.3593749943847657,0.5298507423145468,0.4603174530108341,0.3793103382877528,0.5283018768244929,0.3559321973570814,0.3499999941666668,0.3962264076183697,0.5263157802400741,0.43396225596297633,0.5517241284185496,0.41379309631391215,0.5074626789930944,0.6065573671056169,0.5081967129803818,0.3773584834460664,0.5593220244182708,0.47368420221606666,0.5185185089163239,0.41935483194588985,0.38333332694444455,0.33333332748538025,0.49122806155740245,0.43859648353339503,0.32203389284688316,0.533898300560184,0.29629629080932796,0.49999999218750013,0.3090909034710745,0.35483870395421446,0.43137254056132274,0.41379309631391215,0.44999999250000017,0.45283018013527965,0.6037735735137062,0.31034482223543414,0.49999999107142873,0.46551723335315115,0.39393938797061534,0.5151515073461893,0.43396225596297633,0.3157894681440444,0.3684210461680518,0.22413792717003575,0.46551723335315115,0.46551723335315115,0.2968749953613282,0.37037036351166,0.47169810430758297,0.3275862012485138,0.3499999941666668,0.4218749934082032,0.4999999913793105,0.3333333280423281,0.3559321973570814,0.35384614840236694,0.3846153772189351,0.44999999250000017,0.32727272132231416,0.3846153772189351,0.3275862012485138,0.29508196237570555,0.3666666605555557,0.2999999950000001,0.47058822606689754,0.4117646998269897,0.4999999907407409,0.2586206851961951,0.37037036351166,0.27419354396462026,0.3529411695501732,0.3437499946289064,0.31034482223543414,0.3666666605555557,0.3928571358418369,0.31034482223543414,0.31481480898491093,0.23809523431594867,0.2586206851961951,0.29310344322235443,0.18333333027777785,0.30357142315051033,0.15873015621063244,0.40983605885514657,0.4915254153978743,0.2884615329142013,0.3928571358418369,0.30645160796045795,0.24999999553571436,0.22033897931628849,0.4237288063774779,0.2586206851961951,0.2622950776672938,0.3559321973570814,0.46835442445120984,0.34482758026159344,0.19999999666666674,0.2909090856198348,0.30357142315051033,0.32142856568877565,0.33962263510145974,0.3050847405917841,0.23333332944444451,0.2678571380739797,0.13461538202662726,0.32142856568877565,0.4423076838017753,0.3859649055093876,0.11111110905349798,0.285714280612245,0.35087718682671604,0.4218749934082032,0.28070174946137283,0.19642856792091845,0.1886792417230332,0.25423728382648675,0.49122806155740245,0.3749999933035716,0.32258063995837677,0.2884615329142013,0.26415093841224646,0.21153845747041428,0.23728813157138762,0.23076922633136104,0.39999999333333347,0.19402984785030078,0.42105262419205924,0.19642856792091845,0.41379309631391215,0.2968749953613282,0.1999999960000001,0.33333332716049396,0.30158729680020163,0.2363636320661158,0.31034482223543414,0.22641509006763982,0.35616437868267975,0.30303029843893486,0.3137254840445984,0.2758620642092748,0.32203389284688316,0.2786885200214997,0.2622950776672938,0.23076922633136104
total seconds,0.0,20.52561616897583,52.990254402160645,65.72419738769531,77.12145900726318,88.02254247665405,98.28821134567261,111.22282767295837,121.34837794303894,135.12372016906738,147.02454924583435,158.1599464416504,169.4421420097351,179.2749638557434,188.1726496219635,198.23851323127747,207.31973958015442,220.52816677093506,230.65576314926147,240.46854901313782,249.6689486503601,260.17596077919006,269.3834068775177,277.9164366722107,286.8520805835724,296.83272337913513,305.405725479126,314.8619577884674,323.2898371219635,332.2293612957001,342.11136198043823,350.6093873977661,360.8328375816345,369.85098004341125,378.3448848724365,385.3711607456207,393.56207060813904,403.26949071884155,411.9289162158966,420.89764857292175,429.5176508426666,437.7064483165741,449.2471902370453,457.6635642051697,466.21053814888,476.2528409957886,485.3115186691284,494.248215675354,500.8094654083252,508.52065539360046,516.3874986171722,524.0416061878204,531.3681678771973,542.5633504390717,551.7488911151886,559.6509735584259,567.6835081577301,575.9373681545258,583.156008720398,590.1416494846344,608.0128185749054,617.1579473018646,626.9331209659576,635.0257911682129,650.8224439620972,660.2504498958588,669.001624584198,677.9675030708313,688.0656745433807,698.1793758869171,706.6999921798706,715.4560313224792,723.4625294208527,731.8751473426819,741.6118266582489,750.9881823062897,759.2708585262299,769.9447360038757,778.1617136001587,787.1364402770996,795.4714283943176,806.6102197170258,815.0188744068146,825.2547535896301,833.5068509578705,842.4087707996368,849.8814690113068,858.6705675125122,867.1334686279297,874.658703327179,883.1029782295227,891.8661239147186,900.3545560836792,907.8231225013733,917.3725481033325,925.3171031475067,932.058340549469,939.8504688739777,947.535448551178,954.9094772338867,965.6541655063629,973.0640347003937,981.7375018596649,988.7770714759827,995.7821469306946,1003.6770050525665,1012.5641684532166,1020.0378062725067,1027.1205596923828,1034.8368060588837,1042.4870643615723,1050.1600496768951,1057.7612838745117,1065.092116355896,1072.9535298347473,1080.709447145462,1088.9681918621063,1099.0739405155182,1107.9473407268524,1114.809180021286,1120.9760632514954,1127.9766631126404,1136.7798364162445,1145.7662103176117,1152.954162120819,1159.5654237270355,1166.9079990386963,1173.1612915992737,1180.57896566391,1187.5476191043854,1195.2616910934448,1202.180323600769,1210.4752287864685,1217.7317416667938,1224.848209619522,1233.1021239757538,1241.5301706790924,1248.2400076389313,1255.769912481308,1263.3908240795135,1269.7898755073547,1275.7338738441467,1283.7788860797882,1290.4052395820618,1296.9117155075073,1303.5691945552826,1313.1422970294952,1320.8380053043365,1327.5934183597565,1339.423475265503,1346.1651816368103,1352.9264421463013,1359.9328920841217,1366.4795348644257,1372.103334903717,1379.025869846344,1387.6565828323364,1393.2241196632385,1400.9039316177368,1409.0343308448792,1414.9741117954254,1420.8804485797882,1427.4655401706696,1434.4867568016052,1440.913113117218,1446.2977919578552,1452.4929728507996,1458.1107432842255,1465.3763301372528,1476.396961927414,1484.345588684082,1491.755111694336,1498.931974887848,1506.9040520191193,1514.1305134296417,1519.9945821762085,1527.16259598732,1533.047031879425,1539.255669593811,1545.340746164322,1550.8412375450134,1558.460119485855,1564.0496878623962,1570.2591214179993,1577.4244108200073,1583.2690761089325,1590.3641662597656,1597.1933970451355,1605.0095083713531,1611.6450185775757,1618.3506536483765,1625.2425401210785,1630.9920885562897,1637.4747970104218,1644.6869163513184,1651.8053827285767
total minutes,0.0,0.34209360281626383,0.8831709067026774,1.095403289794922,1.285357650121053,1.467042374610901,1.6381368557612102,1.8537137945493063,2.0224729657173155,2.2520620028177896,2.450409154097239,2.6359991073608398,2.8240357001622516,2.9879160642623903,3.136210827032725,3.303975220521291,3.4553289930025737,3.675469446182251,3.844262719154358,4.0078091502189634,4.1611491441726685,4.336266012986501,4.489723447958628,4.631940611203512,4.780868009726206,4.947212056318919,5.0900954246521,5.247699296474456,5.388163952032725,5.537156021595001,5.701856033007304,5.843489789962769,6.013880626360575,6.164183000723521,6.305748081207275,6.422852679093679,6.559367843468984,6.721158178647359,6.8654819369316105,7.014960809548696,7.1586275140444435,7.295107471942901,7.487453170617422,7.627726070086161,7.770175635814667,7.93754734992981,8.088525311152141,8.2374702612559,8.346824423472087,8.475344256560009,8.606458310286204,8.734026769797007,8.856136131286622,9.04272250731786,9.19581485191981,9.327516225973765,9.461391802628835,9.598956135908763,9.719266812006632,9.83569415807724,10.133546976248423,10.285965788364411,10.448885349432627,10.583763186136881,10.84704073270162,11.00417416493098,11.1500270764033,11.299458384513855,11.46776124238968,11.63632293144862,11.778333202997844,11.924267188707988,12.057708823680878,12.197919122378032,12.360197110970814,12.516469705104829,12.654514308770498,12.832412266731263,12.969361893335979,13.118940671284994,13.257857139905294,13.443503661950428,13.583647906780243,13.754245893160503,13.891780849297842,14.040146179993947,14.164691150188446,14.311176125208537,14.45222447713216,14.577645055452983,14.718382970492046,14.864435398578644,15.00590926806132,15.130385375022888,15.289542468388875,15.421951719125111,15.534305675824482,15.66417448123296,15.792257475852967,15.915157953898111,16.094236091772714,16.21773391167323,16.36229169766108,16.479617857933043,16.596369115511575,16.727950084209443,16.876069474220277,17.000630104541777,17.118675994873048,17.247280100981396,17.374784406026205,17.50266749461492,17.62935473124186,17.751535272598268,17.88255883057912,18.011824119091035,18.149469864368438,18.31789900859197,18.465789012114207,18.580153000354766,18.682934387524924,18.79961105187734,18.94633060693741,19.096103505293527,19.21590270201365,19.326090395450592,19.44846665064494,19.552688193321227,19.676316094398498,19.792460318406423,19.921028184890748,20.036338726679485,20.17458714644114,20.295529027779896,20.414136826992035,20.551702066262564,20.692169511318205,20.804000127315522,20.929498541355134,21.05651373465856,21.163164591789247,21.26223123073578,21.39631476799647,21.506753993034362,21.615195258458456,21.726153242588044,21.885704950491586,22.013966755072275,22.12655697266261,22.32372458775838,22.436086360613505,22.54877403577169,22.66554820140203,22.774658914407095,22.86838891506195,22.983764497439065,23.127609713872275,23.22040199438731,23.348398860295614,23.483905514081318,23.58290186325709,23.681340809663137,23.791092336177826,23.908112613360085,24.015218551953634,24.104963199297586,24.20821621417999,24.301845721403758,24.42293883562088,24.606616032123565,24.7390931447347,24.8625851949056,24.982199581464133,25.115067533651988,25.235508557160696,25.33324303627014,25.452709933121998,25.550783864657085,25.65426115989685,25.7556791027387,25.847353959083556,25.97433532476425,26.067494797706605,26.170985356966654,26.29040684700012,26.387817935148874,26.50606943766276,26.61988995075226,26.750158472855887,26.860750309626262,26.972510894139607,27.08737566868464,27.183201475938162,27.29124661684036,27.411448605855306,27.530089712142946
cummulative feedback,0.0,384.0,417.0,450.0,487.0,511.0,543.0,574.0,600.0,703.0,743.0,769.0,799.0,840.0,874.0,902.0,927.0,1011.0,1050.0,1077.0,1106.0,1133.0,1157.0,1182.0,1213.0,1240.0,1267.0,1289.0,1319.0,1349.0,1377.0,1410.0,1431.0,1452.0,1469.0,1488.0,1522.0,1543.0,1566.0,1593.0,1620.0,1654.0,1677.0,1696.0,1720.0,1740.0,1765.0,1787.0,1807.0,1832.0,1862.0,1881.0,1904.0,1975.0,2004.0,2026.0,2054.0,2075.0,2096.0,2117.0,2147.0,2170.0,2202.0,2226.0,2260.0,2297.0,2328.0,2348.0,2381.0,2408.0,2436.0,2462.0,2485.0,2504.0,2532.0,2557.0,2576.0,2639.0,2655.0,2687.0,2704.0,2726.0,2748.0,2772.0,2799.0,2823.0,2855.0,2873.0,2901.0,2928.0,2954.0,2988.0,3011.0,3029.0,3050.0,3063.0,3090.0,3117.0,3136.0,3156.0,3181.0,3200.0,3221.0,3248.0,3277.0,3298.0,3319.0,3342.0,3362.0,3389.0,3407.0,3427.0,3446.0,3464.0,3486.0,3504.0,3528.0,3556.0,3583.0,3598.0,3618.0,3635.0,3653.0,3675.0,3693.0,3715.0,3737.0,3755.0,3772.0,3787.0,3802.0,3819.0,3830.0,3847.0,3857.0,3882.0,3911.0,3926.0,3948.0,3967.0,3981.0,3994.0,4019.0,4034.0,4050.0,4071.0,4108.0,4128.0,4140.0,4156.0,4173.0,4191.0,4209.0,4227.0,4241.0,4256.0,4263.0,4281.0,4304.0,4326.0,4332.0,4348.0,4368.0,4395.0,4411.0,4422.0,4432.0,4447.0,4475.0,4496.0,4516.0,4531.0,4545.0,4556.0,4570.0,4582.0,4606.0,4619.0,4643.0,4654.0,4678.0,4697.0,4707.0,4725.0,4744.0,4757.0,4775.0,4787.0,4813.0,4833.0,4849.0,4865.0,4884.0,4901.0,4917.0,4929.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
