,0,1
Accumulated time steps,0.0,104.0
Episode reward,0.0,387.3944244508293
Episode feedback,0.8,0.7058823460207614
total seconds,0.0,30.356533527374268
total minutes,0.0,0.5059422254562378
cummulative feedback,0.0,72.0
e,0.1,0.1
buffer size,100.0,100.0
human model,1.0,1.0
tau,0.00016,0.00016
