,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
Accumulated time steps,0.0,52.0,100.0,147.0,191.0,237.0,281.0,328.0,381.0,426.0,467.0,505.0,544.0,583.0,622.0,660.0,700.0,739.0,779.0,817.0,853.0,889.0,926.0,962.0,997.0,1032.0,1069.0,1106.0,1145.0,1183.0,1222.0,1261.0,1298.0,1334.0,1369.0,1405.0,1441.0,1478.0,1514.0,1549.0,1584.0,1620.0,1659.0,1695.0,1731.0,1766.0,1804.0,1842.0,1882.0,1921.0,1959.0,1997.0,2036.0,2075.0,2113.0,2151.0,2190.0,2230.0,2273.0,2316.0,2358.0,2398.0,2437.0,2477.0,2515.0,2553.0,2597.0,2644.0,2693.0,2742.0,3953.0,4641.0,4747.0,4820.0,6032.0,6616.0,7063.0,7488.0,7773.0,9095.0,21616.0,21685.0,21763.0,21823.0,21874.0,21929.0,21987.0,22044.0,22101.0,22162.0,22222.0,22281.0,22997.0,23814.0,24243.0,25051.0,25347.0,25456.0,25569.0,25682.0,25822.0,25906.0,26803.0
Episode reward,0.0,299.98654420675564,285.5038408706444,254.58003155768577,239.98284099912158,246.31981850688433,231.33496959416232,261.0378616710028,282.3687237811886,237.6640108808985,214.51207246382108,197.28423445619273,208.1382224946998,211.12723844127234,205.36915197701876,200.94248186619785,217.79130572669294,202.5274445812314,215.5293158932844,201.6703916161118,188.338199869363,189.6176014727173,196.26714586968825,190.12655255239395,180.4442005782078,183.07761073523508,200.64771096219891,196.57775996345765,207.91728416221798,200.43994473854121,206.70170102194126,206.85697072647488,189.73896800235275,188.65092422490034,180.6401369925963,189.07408850432859,192.7065765748438,197.61721818891513,187.55257618070087,186.0745547713222,185.79476354605106,192.4468728000017,209.45309244803246,186.8250098414808,191.61453260420834,181.93760929543436,203.6598287649857,200.93207151471523,216.19968884650058,207.52719888311418,202.25241992731594,202.27543221396837,208.29844721689267,208.9943493788911,203.53842309693897,205.57925159618517,209.99520816520874,216.61136699756324,235.73233641773402,228.7981728640556,226.16662571014314,211.8938406731649,206.5918362759944,213.90685792898051,200.39922987707672,199.51700679835693,245.15499950041445,250.0649603377556,269.62814746234386,268.40176459809095,1506.3783006618444,5966.143631997518,517.6856140283091,391.6540001877504,1462.901791408153,4229.240217910771,3540.263674098256,3163.9619035170863,1774.4620305770031,1877.1885602987272,815.9468228994483,330.70085352796127,363.2682261315985,254.85507883327577,258.3822856622489,286.09000435852397,282.00933462285303,272.19290000158543,301.45927444918385,325.1795443004109,312.74648701954555,281.78805727183226,5996.593850149244,4937.491487652746,938.2849706182367,5436.30218829506,1096.5717833405267,424.79201051700335,578.8263709268974,559.9537670291498,644.4459873865583,406.1638737123671,7275.3674200594105
Episode feedback,0.8,0.7999999840000004,0.6595744540516074,0.8478260685255203,0.8372092828555981,0.7999999822222227,0.7674418426176316,0.8695651984877131,0.8461538298816571,0.8181817995867773,0.8499999787500006,0.8918918677867064,0.7631578746537402,0.7631578746537402,0.7894736634349037,0.8918918677867064,0.8205127994740309,0.7631578746537402,0.6410256245890866,0.7837837626004389,0.7428571216326537,0.7714285493877557,0.7222222021604945,0.6857142661224496,0.7941176237024229,0.676470568339101,0.8611110871913588,0.7499999791666673,0.7105262970914132,0.7297297100073051,0.6315789307479229,0.6315789307479229,0.4999999861111115,0.7999999771428579,0.7941176237024229,0.5714285551020413,0.7714285493877557,0.6388888711419759,0.7142856938775517,0.7647058598615925,0.6470588044982705,0.7428571216326537,0.6578947195290864,0.7999999771428579,0.7714285493877557,0.7647058598615925,0.6756756574141715,0.6216216048210378,0.7948717744904674,0.6315789307479229,0.7297297100073051,0.567567552227904,0.6578947195290864,0.6315789307479229,0.5945945785244708,0.7567567363038721,0.6842105083102499,0.717948699539777,0.5476190345804992,0.5476190345804992,0.6341463259964311,0.7435897245233405,0.6315789307479229,0.5384615246548328,0.6486486311176046,0.5945945785244708,0.48837208166576557,0.28260868950850676,0.5416666553819447,0.6041666540798614,0.3571428554421769,0.25036390065449216,0.4095238056235828,0.3611111060956791,0.32227487998921855,0.3104631212513497,0.25112107567013214,0.2759433955756052,0.23943661887522316,0.17757009290476608,0.028846153790680475,0.02941176427335641,0.025974025636700968,0.03389830451019823,0.0,0.018518518175582997,0.035087718682671604,0.03571428507653063,0.017857142538265314,0.016666666388888893,0.016949152255099114,0.017241379013079674,0.02937062932955157,0.013480392140342657,0.02336448592671849,0.012391573714508582,0.01694915248491813,0.018518518347050757,0.008928571348852042,0.008928571348852042,0.014388489105118784,0.02409638525185078,0.013392857127909759
total seconds,0.0,25.797922134399414,51.09498953819275,79.43829846382141,108.92110419273376,138.49954771995544,168.17325568199158,198.71014046669006,236.19464826583862,263.23214054107666,285.13516664505005,306.2938539981842,326.0375671386719,346.15655517578125,366.58568596839905,388.09114933013916,411.61451292037964,433.0247323513031,454.3315312862396,474.765095949173,493.90420174598694,513.2794425487518,532.5589802265167,552.0659244060516,571.6274425983429,589.0565762519836,609.6657521724701,629.4926905632019,651.3429055213928,671.9986538887024,692.5608670711517,712.3988208770752,731.5072135925293,750.540629863739,769.0035519599915,786.5144312381744,805.2246611118317,823.56161236763,841.8535764217377,860.6186757087708,879.6634922027588,899.0605595111847,920.7454559803009,940.1490647792816,958.7546074390411,978.1499865055084,996.8848667144775,1015.6783492565155,1036.4008481502533,1057.1996612548828,1077.6541843414307,1097.9475371837616,1118.9555387496948,1137.9628148078918,1157.6080741882324,1178.2516748905182,1197.561530828476,1217.826518535614,1239.8455922603607,1261.6713440418243,1283.9670629501343,1304.720206975937,1324.6435067653656,1345.367641210556,1365.5337977409363,1383.7192559242249,1406.1833453178406,1428.7034826278687,1453.6699006557465,1480.2752628326416,2050.4593119621277,2356.58633351326,2408.855389356613,2442.1246082782745,2996.499256849289,3281.775993824005,3483.2693951129913,3673.855843067169,3799.108742237091,4379.248904466629,9609.1551861763,9639.179308652878,9670.744797229767,9695.86530637741,9717.283978700638,9740.191188335419,9764.668026924133,9788.038656234741,9811.939204454422,9837.87294626236,9864.083392858505,9890.087519645691,10188.981948375702,10532.635186195374,10702.128284454346,11025.507137060165,11148.344951868057,11194.699998378754,11242.267255544662,11289.215837478638,11346.996605157852,11383.307520151138,11750.882237195969
total minutes,0.0,0.4299653689066569,0.8515831589698791,1.3239716410636901,1.8153517365455627,2.308325795332591,2.8028875946998597,3.3118356744448345,3.9365774710973103,4.387202342351277,4.7522527774175005,5.104897566636404,5.433959452311198,5.769275919596354,6.109761432806651,6.468185822168986,6.860241882006327,7.217078872521719,7.572192188103994,7.912751599152883,8.231736695766449,8.55465737581253,8.875983003775278,9.20109874010086,9.527124043305715,9.817609604199728,10.161095869541168,10.491544842720032,10.855715092023214,11.199977564811707,11.54268111785253,11.873313681284587,12.191786893208821,12.509010497728983,12.816725865999858,13.108573853969574,13.420411018530528,13.726026872793833,14.030892940362294,14.343644595146179,14.661058203379314,14.984342658519745,15.345757599671682,15.669151079654693,15.979243457317352,16.302499775091807,16.614747778574625,16.927972487608592,17.27334746917089,17.619994354248046,17.960903072357176,18.29912561972936,18.64925897916158,18.966046913464865,19.293467903137206,19.63752791484197,19.959358847141267,20.297108642260234,20.664093204339345,21.027855734030407,21.399451049168906,21.74533678293228,22.07739177942276,22.422794020175935,22.758896629015606,23.06198759873708,23.436389088630676,23.81172471046448,24.227831677595773,24.671254380544028,34.17432186603546,39.276438891887665,40.14758982261022,40.70207680463791,49.94165428082148,54.69626656373342,58.054489918549855,61.23093071778615,63.31847903728485,72.98748174111049,160.15258643627166,160.65298847754795,161.17907995382944,161.59775510629018,161.95473297834397,162.3365198055903,162.74446711540222,163.13397760391234,163.53232007424037,163.96454910437265,164.40138988097507,164.83479199409484,169.8163658062617,175.5439197699229,178.36880474090577,183.7584522843361,185.80574919780096,186.57833330631257,187.37112092574438,188.15359729131063,189.1166100859642,189.72179200251898,195.84803728659946
cummulative feedback,0.0,40.0,71.0,110.0,146.0,182.0,215.0,255.0,299.0,335.0,369.0,402.0,431.0,460.0,490.0,523.0,555.0,584.0,609.0,638.0,664.0,691.0,717.0,741.0,768.0,791.0,822.0,849.0,876.0,903.0,927.0,951.0,969.0,997.0,1024.0,1044.0,1071.0,1094.0,1119.0,1145.0,1167.0,1193.0,1218.0,1246.0,1273.0,1299.0,1324.0,1347.0,1378.0,1402.0,1429.0,1450.0,1475.0,1499.0,1521.0,1549.0,1575.0,1603.0,1626.0,1649.0,1675.0,1704.0,1728.0,1749.0,1773.0,1795.0,1816.0,1829.0,1855.0,1884.0,1959.0,2131.0,2174.0,2200.0,2268.0,2449.0,2561.0,2678.0,2746.0,2803.0,2818.0,2820.0,2822.0,2824.0,2824.0,2825.0,2827.0,2829.0,2830.0,2831.0,2832.0,2833.0,2854.0,2865.0,2875.0,2885.0,2890.0,2892.0,2893.0,2894.0,2896.0,2898.0,2910.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tau,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016
