,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
Accumulated time steps,0.0,766.0,1033.0,1307.0,1743.0,1902.0,2156.0,2419.0,2588.0,2756.0,2907.0,3157.0,3317.0,3572.0,3949.0,4208.0,4460.0,4717.0,4902.0,5152.0,5306.0,5470.0,5751.0,5899.0,6157.0,6312.0,6466.0,6708.0,6993.0,7276.0,7454.0,7610.0,7765.0,8140.0,8403.0,8559.0,8714.0,8868.0,9022.0,9272.0,9540.0,9702.0,9965.0,10229.0,10503.0,10656.0,10809.0,11076.0,11228.0,11381.0,11540.0,11799.0,11959.0,12205.0,12459.0,12620.0,12773.0,13026.0,13184.0,13453.0,13613.0,13959.0,14225.0,14512.0,14775.0,14932.0,15089.0,15246.0,15502.0,15658.0,15923.0,16178.0,16431.0,16682.0,17258.0,17422.0,17888.0,18157.0,18435.0,18590.0,18857.0,19107.0,19266.0,19523.0,19797.0,20062.0
Episode reward,0.0,58.884345815288725,85.54255157621051,84.93345273801282,75.48998219359366,90.49938328146888,84.7882512709684,83.85678597325906,90.01060825776057,89.73892133481218,91.4386594352411,86.7532982756503,91.12284580946236,85.27423011223375,77.08894555378423,86.30082804792039,84.9383717061164,86.40916318889082,87.85544775875431,87.07252821571441,91.59114289014306,90.20238580034822,83.0813125849211,91.42656864334293,83.9828762905232,91.11740209518794,91.7649282391423,86.49806167328886,84.3215717338849,83.26582264931275,89.22237456340144,91.29439206866365,90.87966482921448,80.24029256963564,84.28129056223193,90.65411406645921,90.93434505501412,91.11673611235437,90.65863066895973,84.79139771786637,83.92878777413002,90.68911574679373,85.08452805560054,85.33995441772551,84.55545298044274,91.07093064626403,91.1938951799968,84.35023261985981,91.28202304426236,90.96145969298726,89.99865461875416,84.41394169263367,90.66672219505993,84.75214576339877,85.81401429055431,90.24224180126004,90.93375793438689,84.54187041209083,90.54789095453869,85.50787896237263,90.53917001294181,77.915803762087,83.50750765168061,82.84704190584489,83.66344884646524,90.54932037544943,90.60754087081877,89.35712669468104,85.7253730705361,90.84644889945233,85.64209394529874,85.53124748589886,84.73525301721195,84.68922551568748,64.52478467320013,89.68265028581173,69.78922493695104,83.17690865636135,83.73880126334195,90.47986446002467,84.23584959442454,84.6020931917198,90.64982977264762,85.18497184468545,83.23380727088677,85.31692625946255
Episode feedback,0.8,0.27617801010971466,0.17669172865905367,0.13919413868427055,0.09195402277711719,0.08227848049190835,0.11067193632145479,0.08396946532836082,0.053571428252551026,0.0538922152461544,0.059999999600000006,0.07228915633618813,0.05031446509236186,0.05511811001922004,0.07180851044731779,0.04263565874947419,0.05179282847891303,0.011718749954223633,0.01086956515831758,0.020080321204496702,0.013071895339399377,0.006134969287515526,0.007142857117346939,0.02721088416863344,0.015564202274069253,0.006493506451340867,0.026143790678798753,0.0041493775761436615,0.01056338024449514,0.0,0.005649717482204986,0.0064516128616024975,0.006493506451340867,0.005347593568589322,0.0,0.0064516128616024975,0.012987012902681734,0.006535947669699688,0.0,0.00401606424089934,0.0037453183380325157,0.0,0.0038167938785618554,0.0,0.0036630036495860674,0.0,0.0,0.0037593984821075246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253952506929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003787878773530762
total seconds,0.0,51.302064180374146,68.71137261390686,85.78057909011841,111.0334403514862,120.65011692047119,136.3270673751831,151.77642154693604,161.73529410362244,171.45174264907837,180.4117295742035,194.80719566345215,204.15305089950562,218.62549114227295,239.92604303359985,254.38318347930908,268.6587643623352,282.46407890319824,292.68220567703247,306.2328770160675,314.8201129436493,323.9094820022583,338.6951916217804,347.2083466053009,361.07455015182495,369.7971897125244,378.54952239990234,391.3517556190491,406.5740067958832,421.4020664691925,431.3172161579132,439.94563913345337,448.5898280143738,468.05499291419983,482.0109465122223,490.682569026947,499.3855128288269,507.99115014076233,516.425576210022,529.7609398365021,543.927000284195,552.9032557010651,566.8270463943481,580.7004270553589,595.2359395027161,603.7367668151855,612.2505300045013,626.4495477676392,634.9518554210663,643.4882287979126,652.2459628582001,665.9786033630371,674.7550227642059,688.0422372817993,701.6372010707855,710.490485906601,719.0814926624298,732.5426776409149,741.2442376613617,755.255651473999,764.075432062149,782.0445137023926,796.1405327320099,811.3540966510773,825.3378701210022,834.2177574634552,842.9648470878601,851.70179438591,865.3238062858582,873.8645906448364,887.9542083740234,901.5530729293823,915.007346868515,928.2112004756927,957.6986465454102,966.8705263137817,990.4877841472626,1004.7254498004913,1019.3824708461761,1027.8987457752228,1041.851319551468,1055.1657161712646,1063.9770205020905,1077.349122285843,1091.564867258072,1105.6075766086578
total minutes,0.0,0.8550344030062358,1.1451895435651143,1.42967631816864,1.8505573391914367,2.010835282007853,2.272117789586385,2.5296070257822674,2.695588235060374,2.857529044151306,3.006862159570058,3.246786594390869,3.4025508483250935,3.643758185704549,3.998767383893331,4.239719724655151,4.4776460727055865,4.707734648386637,4.878036761283875,5.103881283601125,5.247001882394155,5.398491366704305,5.644919860363006,5.786805776755015,6.0179091691970825,6.16328649520874,6.309158706665039,6.5225292603174845,6.776233446598053,7.023367774486542,7.1886202692985535,7.33242731889089,7.476497133572896,7.800916548569997,8.033515775203705,8.178042817115784,8.32309188048045,8.466519169012706,8.6070929368337,8.829348997275035,9.065450004736583,9.215054261684418,9.447117439905803,9.678340450922649,9.920598991711934,10.062279446919758,10.204175500075022,10.440825796127319,10.582530923684438,10.724803813298543,10.870766047636668,11.099643389383951,11.2459170460701,11.467370621363322,11.69395335117976,11.841508098443349,11.98469154437383,12.209044627348582,12.354070627689362,12.587594191233316,12.73459053436915,13.03407522837321,13.269008878866831,13.522568277517955,13.75563116868337,13.903629291057587,14.049414118131002,14.195029906431834,14.422063438097636,14.564409844080608,14.799236806233724,15.025884548823038,15.250122447808584,15.47018667459488,15.96164410909017,16.11450877189636,16.50812973578771,16.74542416334152,16.989707847436268,17.131645762920378,17.364188659191132,17.586095269521078,17.732950341701507,17.95581870476405,18.19274778763453,18.42679294347763
cummulative feedback,0.0,211.0,258.0,296.0,336.0,349.0,377.0,399.0,408.0,417.0,426.0,444.0,452.0,466.0,493.0,504.0,517.0,520.0,522.0,527.0,529.0,530.0,532.0,536.0,540.0,541.0,545.0,546.0,549.0,549.0,550.0,551.0,552.0,554.0,554.0,555.0,557.0,558.0,558.0,559.0,560.0,560.0,561.0,561.0,562.0,562.0,562.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,565.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,764.0,266.0,273.0,435.0,158.0,253.0,262.0,168.0,167.0,150.0,249.0,159.0,254.0,376.0,258.0,251.0,256.0,184.0,249.0,153.0,163.0,280.0,147.0,257.0,154.0,153.0,241.0,284.0,282.0,177.0,155.0,154.0,374.0,262.0,155.0,154.0,153.0,153.0,249.0,267.0,161.0,262.0,263.0,273.0,152.0,152.0,266.0,151.0,152.0,158.0,258.0,159.0,245.0,253.0,160.0,152.0,252.0,157.0,268.0,159.0,345.0,265.0,286.0,262.0,156.0,156.0,156.0,255.0,155.0,264.0,254.0,252.0,250.0,575.0,163.0,465.0,268.0,277.0,154.0,266.0,249.0,158.0,256.0,273.0,264.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
