,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Accumulated time steps,0.0,1000.0,1999.0,2202.0,2556.0,3070.0,4069.0,4440.0,4784.0,5137.0,5712.0,6534.0,6800.0,6982.0,7440.0,7691.0,8409.0,8831.0,8979.0,9232.0,9752.0,9904.0,10052.0,10490.0,10654.0,11011.0,11161.0,11538.0,11943.0,12285.0,12656.0,12839.0,12991.0,13416.0,13831.0,14181.0,14521.0,14943.0,15274.0,15426.0,15775.0,15926.0,16087.0,16502.0,16746.0,17169.0,17516.0,17931.0,18386.0,18633.0,18872.0,19111.0,19542.0,19700.0,19874.0
Episode reward,0.0,-57.19721326383818,-56.91996196007174,87.48489701828204,79.80330356169277,70.74584073200758,-70.10347519122428,79.9652897961271,81.63864485927726,78.70773504718412,69.16010208273174,48.160918352597264,83.79258361603365,88.19631883306789,70.47720901174476,85.3212137518887,55.4284056102631,71.90950685680124,90.57337801750477,87.20604668064635,66.41468669613434,89.92277878456267,92.67634906453351,73.85902673336925,91.79402208110962,79.62794254261323,90.38975225505952,77.27473572884429,81.52975611788554,80.42091317482324,84.91814792929222,87.07368267612706,90.33352006935971,72.7812251692872,74.43077276128187,78.53153010837761,78.15212276569255,74.24011088204449,80.04532472294962,90.34843742559016,78.62525847612125,90.47671588654823,89.31227212456757,74.53615068533918,85.42546493004694,74.18076491362922,78.80472598166472,74.23819812161878,71.36782431609515,85.20705275299497,85.54648963404235,85.56417224335567,73.54270742023598,89.6416959844609,87.97259365597944
Episode feedback,0.8,0.2755511019283055,0.14128256498869482,0.11881188059994119,0.07365439072619152,0.10721247542453709,0.00801603205609616,0.040540540430971515,0.04081632641161421,0.03693181807689824,0.020905923308526267,0.015834348336377164,0.02641509423994304,0.011049723695857881,0.01969365422386509,0.015999999936,0.011157601100198604,0.004750593812943958,0.01360544208431672,0.007936507905013858,0.0,0.0,0.01360544208431672,0.004576659028428698,0.006134969287515526,0.008426966268463579,0.0,0.00797872338303531,0.002475247518625625,0.00879765393314471,0.002702702695398101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,73.75453305244446,134.04591131210327,145.802903175354,164.72066140174866,194.8109791278839,244.38850283622742,263.5908007621765,281.4210207462311,299.6208577156067,328.87713646888733,369.90868186950684,383.7639710903168,393.8069336414337,416.8436949253082,429.9747483730316,465.5487895011902,486.74932384490967,494.50899171829224,507.33744597435,533.2817420959473,541.8294913768768,550.0218515396118,572.7011966705322,581.8109555244446,600.1087188720703,608.5017108917236,628.0702066421509,649.0142393112183,665.9168817996979,684.5965294837952,694.1751248836517,702.3761115074158,723.6711051464081,744.4402813911438,762.402747631073,779.385427236557,800.7039520740509,817.6787869930267,826.1216192245483,844.05539727211,852.4239835739136,861.2079634666443,881.8535757064819,894.3734445571899,915.6640114784241,933.091372013092,953.6455316543579,975.8163900375366,988.0885198116302,999.8784880638123,1011.8127202987671,1032.4826877117157,1040.6799144744873,1049.6266598701477
total minutes,0.0,1.229242217540741,2.234098521868388,2.4300483862559,2.745344356695811,3.2468496521313983,4.073141713937123,4.393180012702942,4.690350345770518,4.993680961926779,5.4812856078147885,6.165144697825114,6.396066184838613,6.563448894023895,6.947394915421804,7.166245806217193,7.759146491686503,8.112488730748494,8.241816528638203,8.4556240995725,8.888029034932455,9.030491522947948,9.167030858993531,9.545019944508871,9.696849258740743,10.001811981201172,10.141695181528727,10.46783677736918,10.816903988520304,11.098614696661631,11.409942158063252,11.569585414727529,11.706268525123596,12.061185085773468,12.40733802318573,12.706712460517883,12.989757120609283,13.345065867900848,13.627979783217112,13.768693653742472,14.067589954535167,14.20706639289856,14.353466057777405,14.697559595108032,14.906224075953165,15.261066857973734,15.551522866884868,15.894092194239299,16.26360650062561,16.468141996860503,16.664641467730203,16.863545338312786,17.20804479519526,17.344665241241454,17.493777664502463
cummulative feedback,0.0,275.0,416.0,440.0,466.0,521.0,529.0,544.0,558.0,571.0,583.0,596.0,603.0,605.0,614.0,618.0,626.0,628.0,630.0,632.0,632.0,632.0,634.0,636.0,637.0,640.0,640.0,643.0,644.0,647.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,202.0,353.0,513.0,998.0,370.0,343.0,352.0,574.0,821.0,265.0,181.0,457.0,250.0,717.0,421.0,147.0,252.0,519.0,151.0,147.0,437.0,163.0,356.0,149.0,376.0,404.0,341.0,370.0,182.0,151.0,424.0,414.0,349.0,339.0,421.0,330.0,151.0,348.0,150.0,160.0,414.0,243.0,422.0,346.0,414.0,454.0,246.0,238.0,238.0,430.0,157.0,173.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
