,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Accumulated time steps,0.0,1000.0,1999.0,2694.0,2970.0,3518.0,4517.0,4975.0,5342.0,5605.0,5862.0,6014.0,6270.0,6440.0,6699.0,7047.0,7313.0,7592.0,7935.0,8099.0,8376.0,8536.0,8689.0,9051.0,9317.0,9464.0,9821.0,10088.0,10244.0,10617.0,10872.0,11140.0,11312.0,11480.0,11636.0,11793.0,12062.0,12316.0,12472.0,12878.0,13144.0,13300.0,13768.0,14036.0,14192.0,14501.0,14767.0,15029.0,15357.0,15777.0,15926.0,16255.0,16677.0,16920.0,17353.0,17511.0,17751.0,18000.0,18245.0,18573.0,18901.0,19050.0,19341.0,19687.0
Episode reward,0.0,-75.25990377717274,-62.240711317739944,63.982811331761575,85.6904263676846,70.49966720749252,-68.44084785732909,75.47967069331249,81.25391629974396,86.93766283713036,85.76310116016455,90.90481935330136,86.72206066154895,90.38682345312374,85.89040981438225,80.99348635290949,86.72644309200736,84.41047661657726,79.2196755738604,89.57682530441662,85.45427679256306,90.96471255953679,91.5777686327052,79.19582019563117,86.51929636908004,91.56826869673588,77.73913074507597,81.92321146600466,91.40634594931151,78.73259510608551,86.90278445609968,84.34524598724477,90.20126181615625,90.58495282123495,91.24255065690222,91.46723207011046,85.54297613445775,86.98802487862481,91.46038616853285,75.44195274457888,84.72975477695235,91.37926735904345,73.93686067102837,84.82492986604667,91.42061853672824,80.12445506682388,84.79141064550623,85.29895614893111,79.72779245777963,73.82152079867208,90.68062671232197,79.14339844093337,72.55574584851314,85.23784911124835,72.83534480684156,89.50445428343255,85.0993740915493,83.79066798548207,85.11413447557582,79.68430756055335,79.37637661595572,90.65978606775474,80.87742216720889,78.50282895344037
Episode feedback,0.8,0.007014028049084141,0.13326653293259866,0.1195965416144142,0.06181818159338843,0.07495429602384955,0.00901803606310818,0.05251641126364024,0.03825136601570665,0.038167938785618555,0.02734374989318848,0.019867549537300997,0.01568627444828912,0.01183431945660166,0.01162790693167478,0.0028818443720984312,0.007547169782840869,0.010791366867656953,0.014619882998187476,0.012269938575031052,0.018115941963348037,0.0,0.0,0.0027700830948197146,0.0037735848914204344,0.0068493150215800346,0.005617977512309052,0.0037593984821075246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038314176098413117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,47.06811261177063,109.92416667938232,151.7654435634613,166.23860812187195,196.48434925079346,246.1550920009613,270.23638105392456,289.2520570755005,303.2497329711914,316.9424695968628,325.4692847728729,338.9870386123657,348.1056590080261,361.4411497116089,379.50760674476624,393.0855507850647,407.3392617702484,424.7889015674591,433.7665250301361,447.99139308929443,456.44345116615295,464.5642206668854,482.74296021461487,496.30240869522095,504.4795649051666,522.1631715297699,535.5621864795685,544.2340631484985,562.6457643508911,575.9721286296844,589.8295092582703,599.061660528183,608.2617149353027,616.695728302002,625.3021039962769,639.4297814369202,652.8768970966339,661.6742460727692,682.4747431278229,696.5795283317566,704.8663084506989,728.2793345451355,741.9865849018097,750.3670508861542,766.2759709358215,780.2831878662109,793.9369871616364,810.6187634468079,832.0346083641052,840.3476920127869,857.2392044067383,878.5021817684174,891.3482348918915,913.2682204246521,921.9629909992218,934.8958611488342,948.0560393333435,960.5205018520355,976.8705971240997,992.9315252304077,1001.0256445407867,1015.3803467750549,1032.271068096161
total minutes,0.0,0.7844685435295105,1.8320694446563721,2.5294240593910216,2.7706434686978656,3.274739154179891,4.1025848666826885,4.503939684232076,4.820867617925008,5.054162216186524,5.282374493281046,5.424488079547882,5.6497839768727625,5.801760983467102,6.024019161860148,6.325126779079437,6.551425846417745,6.788987696170807,7.079815026124319,7.229442083835602,7.466523218154907,7.607390852769216,7.742737011114756,8.045716003576915,8.271706811587016,8.407992748419444,8.702719525496166,8.926036441326142,9.070567719141643,9.377429405848185,9.599535477161407,9.83049182097117,9.98436100880305,10.137695248921712,10.2782621383667,10.42170173327128,10.65716302394867,10.881281618277232,11.027904101212819,11.37457905213038,11.609658805529277,11.747771807511647,12.13798890908559,12.366443081696827,12.506117514769237,12.771266182263693,13.004719797770182,13.232283119360606,13.510312724113465,13.867243472735087,14.00579486687978,14.287320073445638,14.641703029473623,14.855803914864858,15.221137007077536,15.36604984998703,15.581597685813904,15.800933988889058,16.00867503086726,16.281176618734996,16.54885875384013,16.683760742346447,16.923005779584248,17.20451780160268
cummulative feedback,0.0,7.0,140.0,223.0,240.0,281.0,290.0,314.0,328.0,338.0,345.0,348.0,352.0,354.0,357.0,358.0,360.0,363.0,368.0,370.0,375.0,375.0,375.0,376.0,377.0,378.0,380.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,694.0,275.0,547.0,998.0,457.0,366.0,262.0,256.0,151.0,255.0,169.0,258.0,347.0,265.0,278.0,342.0,163.0,276.0,159.0,152.0,361.0,265.0,146.0,356.0,266.0,155.0,372.0,254.0,267.0,171.0,167.0,155.0,156.0,268.0,253.0,155.0,405.0,265.0,155.0,467.0,267.0,155.0,308.0,265.0,261.0,327.0,419.0,148.0,328.0,421.0,242.0,432.0,157.0,239.0,248.0,244.0,327.0,327.0,148.0,290.0,345.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
