,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Accumulated time steps,0.0,348.0,1347.0,1608.0,2607.0,3162.0,4161.0,4704.0,4967.0,5416.0,5786.0,5943.0,6198.0,6741.0,7118.0,7387.0,7651.0,8054.0,8423.0,8852.0,9017.0,9574.0,9841.0,10540.0,10976.0,11318.0,11574.0,11737.0,11988.0,12422.0,12694.0,13058.0,13412.0,13754.0,14098.0,14530.0,14697.0,14860.0,15292.0,15587.0,15840.0,16092.0,16346.0,16803.0,17155.0,17499.0,17945.0,18227.0,18572.0,18835.0,18996.0,19360.0,19639.0,19895.0
Episode reward,0.0,84.693991620799,-66.07653129050522,87.0215549773003,-59.86180942106061,73.56106863698152,-62.10430336935783,71.2015021843182,86.80849468169352,76.9107818404141,81.14059385098659,91.38523074181556,85.59212050532284,70.87431890228834,79.4312110095699,85.94372302279369,85.4551405283942,74.97021638558932,76.43076448643077,72.84413589647004,91.14851260200948,68.37362654341965,85.0137040905971,58.25578038953356,73.42218524146703,79.45785214972518,84.1848256549504,89.758688738905,84.96806852460811,72.92479007465116,84.95214706669454,77.85768802183803,78.32674530162912,79.10778156575867,79.22762969153791,73.46416163106133,89.29769316508211,89.74831808441137,73.39262595515359,80.68021819547371,84.56445804812246,84.69845858367864,84.83183420594118,71.24826295028836,78.52011633548445,79.22020932839506,72.31331533527873,81.98431969655792,79.14132842189352,83.93218602005057,89.97883467873152,77.3421264215789,82.28895921759629,84.6423626561722
Episode feedback,0.8,0.459537570926192,0.012024048084144241,0.21923076838757397,0.03106212421737262,0.13176895283074197,0.013026052091156261,0.07564575631799676,0.030534351028494843,0.015624999965122769,0.01897018965048729,0.012820512738330047,0.015748031434062868,0.007380073787121635,0.02127659568809416,0.0037313432696591668,0.011406844063091847,0.002487562182866761,0.005434782593927222,0.0,0.006097560938429507,0.003597122295688629,0.007518796964215049,0.0042979942631833894,0.0,0.0,0.0,0.0,0.0,0.0,0.0036900368867526317,0.00275482092905008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,22.66535520553589,70.37644100189209,85.8874671459198,134.49786901474,164.4349935054779,211.13111424446106,238.60377502441406,252.19513368606567,274.39749479293823,293.0358302593231,301.3978292942047,314.1994676589966,341.0406565666199,360.4694023132324,374.49168729782104,388.24665808677673,408.59608340263367,427.8912765979767,449.7673964500427,458.67542457580566,485.8335440158844,499.5176086425781,533.5370790958405,556.1119639873505,573.7238667011261,586.8764939308167,595.4810178279877,608.2310223579407,629.2761249542236,643.0094759464264,661.2450425624847,679.0967586040497,696.6738018989563,713.9165368080139,734.9406082630157,743.8191027641296,752.5766463279724,774.0199210643768,789.0664768218994,802.0849063396454,815.3660559654236,828.9173264503479,851.7913479804993,869.5295436382294,886.7675032615662,909.1289472579956,923.8619718551636,941.2321698665619,955.2482028007507,964.1206941604614,982.85919880867,997.5007607936859,1011.0407900810242
total minutes,0.0,0.37775592009226483,1.1729406833648681,1.43145778576533,2.2416311502456665,2.7405832250912985,3.518851904074351,3.9767295837402346,4.2032522281010944,4.573291579882304,4.883930504322052,5.023297154903412,5.23665779431661,5.684010942776998,6.007823371887207,6.241528121630351,6.470777634779612,6.809934723377228,7.131521276632944,7.4961232741673784,7.644590409596761,8.097225733598073,8.325293477376302,8.892284651597341,9.268532733122507,9.562064445018768,9.781274898846943,9.924683630466461,10.137183705965677,10.487935415903728,10.716824599107106,11.020750709374745,11.318279310067494,11.611230031649272,11.898608946800232,12.24901013771693,12.396985046068828,12.542944105466207,12.900332017739613,13.151107947031656,13.368081772327423,13.589434266090393,13.815288774172465,14.196522466341655,14.492159060637157,14.779458387692769,15.152149120966593,15.397699530919393,15.687202831109365,15.920803380012511,16.068678236007692,16.380986646811166,16.625012679894766,16.850679834683735
cummulative feedback,0.0,159.0,171.0,228.0,259.0,332.0,345.0,386.0,394.0,401.0,408.0,410.0,414.0,418.0,426.0,427.0,430.0,431.0,433.0,433.0,434.0,436.0,438.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,442.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,346.0,998.0,260.0,998.0,554.0,998.0,542.0,262.0,448.0,369.0,156.0,254.0,542.0,376.0,268.0,263.0,402.0,368.0,428.0,164.0,556.0,266.0,698.0,435.0,341.0,255.0,162.0,250.0,433.0,271.0,363.0,353.0,341.0,343.0,431.0,166.0,162.0,431.0,294.0,252.0,251.0,253.0,456.0,351.0,343.0,445.0,281.0,344.0,262.0,160.0,363.0,278.0,255.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
