,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
Accumulated time steps,0.0,1000.0,1263.0,1568.0,1866.0,2441.0,2682.0,3034.0,3209.0,3368.0,3518.0,3783.0,3936.0,4270.0,4430.0,4689.0,4839.0,5099.0,5445.0,5718.0,5965.0,6114.0,6269.0,6435.0,6583.0,6847.0,7146.0,7304.0,7551.0,7699.0,7943.0,8097.0,8243.0,8609.0,8765.0,9134.0,9384.0,9625.0,9860.0,10016.0,10163.0,10314.0,10555.0,10709.0,10861.0,11113.0,11378.0,11650.0,11996.0,12179.0,12352.0,12613.0,12760.0,13007.0,13365.0,13632.0,13886.0,14149.0,14433.0,14716.0,15063.0,15321.0,15473.0,15742.0,16003.0,16147.0,16333.0,16484.0,16827.0,17102.0,17250.0,17501.0,17657.0,17808.0,18049.0,18309.0,18468.0,18618.0,18773.0,19068.0,19215.0,19370.0,19630.0,19982.0,20161.0
Episode reward,0.0,-52.96589774709523,84.70927615745248,84.52246279641219,84.19581495132402,66.60230875823754,87.91794317526124,80.72763790982775,89.58240679361141,91.12774242941781,91.23105860748706,85.78306450009646,91.60039636901624,82.09450326318782,91.0623862879548,85.43402613037719,91.44857379692785,86.11852265189125,80.52388740533456,83.08012545682863,86.78021238328196,91.48663015535381,90.9320336877197,90.62812121260743,90.75357968813476,83.6240596846045,80.90481134744633,90.49724142108968,85.34729310150924,91.31817051160296,87.5703507975702,91.34826622576333,91.77796955309283,82.62149360201197,90.38962578579152,79.04127438856298,84.63219969251892,87.16721971043378,85.85348666528151,91.13162311981186,91.09103544600045,92.23272423294037,87.43264939944432,90.28661330544008,91.28633478432104,84.65393962706992,84.8533174533127,84.79003006367384,79.9340981387532,88.47732222399117,89.25345210448329,84.69664241196222,91.34243329563839,84.67921384583991,79.03643595043883,84.26068152782415,86.71929738492234,82.95716541960817,83.55956814288845,82.45853207305366,78.8964354985775,84.32160408506458,91.52904452356984,84.50855121773728,84.0328781171871,91.44980440132485,87.11931478572956,90.66521819370573,78.49714784558572,82.4817099196,90.98661569781851,86.62326719956863,91.35837900372212,91.1868120857108,85.68477360748078,82.69445752713924,91.0877384823929,90.755243599648,91.13896835787043,84.5576081325178,92.42528476176285,90.65258214700738,84.6866287643461,80.34145020740894,88.99141390186864
Episode feedback,0.8,0.28156312597037764,0.12977099187110308,0.18749999938322368,0.11111111073699963,0.10452961654263133,0.12916666612847222,0.08547008522658095,0.0977011488637865,0.0759493666079154,0.060402684158371245,0.07196969669708449,0.09210526255193906,0.11711711676541406,0.03144654068272616,0.04651162772669912,0.033557046754650696,0.05405405384535114,0.028985507162360848,0.0441176468966263,0.040650406338819486,0.01351351342220599,0.0194805193540226,0.02424242409550046,0.0340136052107918,0.015209125417455798,0.013422818746903292,0.0,0.008130081267763897,0.01360544208431672,0.0,0.006535947669699688,0.020689655029726518,0.010958904079564647,0.012903225723204995,0.016304347781781664,0.00401606424089934,0.008333333298611112,0.00854700851048287,0.012903225723204995,0.0,0.0,0.004166666649305556,0.0,0.0,0.003984063729147156,0.0,0.007380073773505263,0.0,0.0,0.0,0.003846153831360947,0.0,0.0,0.0,0.0,0.0,0.0038167938785618554,0.0,0.0035460992782053217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005617977496528217
total seconds,0.0,77.70206022262573,96.02452158927917,118.95792078971863,139.2501721382141,176.28584384918213,193.6472761631012,217.78109788894653,229.89871883392334,240.61915493011475,250.5540657043457,267.53316736221313,278.0742218494415,300.19636702537537,310.020388841629,325.07789516448975,334.12592792510986,349.3493881225586,368.42074155807495,383.92559814453125,398.0114064216614,406.5594365596771,415.54318380355835,425.05591440200806,434.01749897003174,448.5830090045929,464.90987253189087,473.83421063423157,487.2570164203644,495.79884934425354,508.98178029060364,517.7098424434662,526.3654570579529,546.0265741348267,555.006870508194,574.8393580913544,588.2993233203888,601.424911737442,614.3536536693573,623.4320228099823,631.8173356056213,640.248782157898,653.3263733386993,662.023015499115,670.6806230545044,684.4959366321564,698.9135582447052,713.5845036506653,732.1664445400238,742.3225603103638,752.0381798744202,766.1404807567596,774.4827229976654,788.1925871372223,807.1428279876709,821.4913377761841,835.1468966007233,849.4324402809143,864.6692552566528,879.9489035606384,898.4261219501495,912.3643968105316,920.9697182178497,935.4845662117004,949.4793746471405,957.6193494796753,967.9477190971375,976.5272965431213,994.88849401474,1009.928537607193,1018.2506620883942,1031.8793020248413,1040.6587901115417,1049.2480046749115,1062.396601676941,1076.359913110733,1085.2884149551392,1093.7532713413239,1102.59716796875,1118.3855860233307,1126.7471022605896,1135.5782504081726,1149.5814168453217,1168.2588925361633,1178.4026420116425
total minutes,0.0,1.2950343370437623,1.6004086931546528,1.9826320131619772,2.3208362023035685,2.9380973974863687,3.2274546027183533,3.6296849648157754,3.8316453138987225,4.010319248835246,4.175901095072429,4.458886122703552,4.634570364157359,5.003272783756256,5.167006480693817,5.4179649194081625,5.5687654654184975,5.822489802042643,6.1403456926345825,6.398759969075521,6.633523440361023,6.775990609327952,6.925719730059305,7.084265240033468,7.233624982833862,7.476383483409881,7.748497875531514,7.897236843903859,8.12095027367274,8.26331415573756,8.48302967151006,8.628497374057769,8.772757617632548,9.100442902247112,9.250114508469899,9.58065596818924,9.80498872200648,10.023748528957366,10.239227561155955,10.390533713499705,10.530288926760356,10.670813035964965,10.888772888978322,11.03371692498525,11.17801038424174,11.40826561053594,11.64855930407842,11.89307506084442,12.202774075667064,12.372042671839397,12.53396966457367,12.76900801261266,12.908045383294423,13.136543118953705,13.452380466461182,13.691522296269735,13.919114943345388,14.157207338015239,14.411154254277546,14.665815059343974,14.97376869916916,15.206073280175527,15.349495303630828,15.591409436861674,15.824656244119009,15.960322491327922,16.13246198495229,16.275454942385355,16.581474900245667,16.832142293453217,16.970844368139904,17.19798836708069,17.344313168525694,17.48746674458186,17.706610027949015,17.939331885178884,18.08814024925232,18.229221189022063,18.376619466145833,18.639759767055512,18.779118371009826,18.926304173469543,19.15969028075536,19.47098154226939,19.640044033527374
cummulative feedback,0.0,281.0,315.0,372.0,405.0,465.0,496.0,526.0,543.0,555.0,564.0,583.0,597.0,636.0,641.0,653.0,658.0,672.0,682.0,694.0,704.0,706.0,709.0,713.0,718.0,722.0,726.0,726.0,728.0,730.0,730.0,731.0,734.0,738.0,740.0,746.0,747.0,749.0,751.0,753.0,753.0,753.0,754.0,754.0,754.0,755.0,755.0,757.0,757.0,757.0,757.0,758.0,758.0,758.0,758.0,758.0,758.0,759.0,759.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,761.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,262.0,304.0,297.0,574.0,240.0,351.0,174.0,158.0,149.0,264.0,152.0,333.0,159.0,258.0,149.0,259.0,345.0,272.0,246.0,148.0,154.0,165.0,147.0,263.0,298.0,157.0,246.0,147.0,243.0,153.0,145.0,365.0,155.0,368.0,249.0,240.0,234.0,155.0,146.0,150.0,240.0,153.0,151.0,251.0,264.0,271.0,345.0,182.0,172.0,260.0,146.0,246.0,357.0,266.0,253.0,262.0,283.0,282.0,346.0,257.0,151.0,268.0,260.0,143.0,185.0,150.0,342.0,274.0,147.0,250.0,155.0,150.0,240.0,259.0,158.0,149.0,154.0,294.0,146.0,154.0,259.0,351.0,178.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
