,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11812.0,12811.0,13764.0,14763.0,15762.0,16761.0,17573.0,18572.0,19173.0
Episode reward,0.0,-64.11139276021565,-65.91882213008226,-64.22591512931983,-62.27386671746428,-66.8684603093693,-49.94603516547865,-72.43666673966622,-72.07373709183956,-71.80580812549576,-16.858259353043778,-70.19352453021773,61.917190028732556,-11.297978838703429,84.6009284193945,-31.016507041546426,-32.62430082619603,-29.932488248563125,87.5453683226397,-14.913150967993912,89.47204904946294
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,40.788235902786255,83.19772815704346,125.25612998008728,167.3898434638977,209.3793351650238,251.28617548942566,292.98545122146606,334.56604981422424,375.83760356903076,417.5511426925659,459.4596722126007,494.0130832195282,536.90181183815,577.9435811042786,3643.238335609436,3685.6325793266296,3729.4613931179047,3764.5145559310913,3808.24849319458,3836.0519371032715
total minutes,0.0,0.6798039317131043,1.386628802617391,2.087602166334788,2.789830724398295,3.48965558608373,4.188102924823761,4.883090853691101,5.5761008302370705,6.263960059483846,6.959185711542765,7.657661203543345,8.233551386992136,8.948363530635834,9.632393018404644,60.72063892682393,61.427209655443825,62.15768988529841,62.74190926551819,63.47080821990967,63.93419895172119
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,821.0,998.0,952.0,998.0,998.0,998.0,811.0,998.0,600.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
