,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Accumulated time steps,0.0,554.0,1186.0,1550.0,2007.0,2273.0,2436.0,3224.0,3858.0,4469.0,4733.0,5248.0,5784.0,6201.0,6702.0,6933.0,7438.0,7782.0,8128.0,8569.0,9043.0,9762.0,10318.0,10718.0,11118.0,11635.0,12178.0,12965.0,13682.0,14061.0,14767.0,15449.0,15857.0,16470.0,17469.0,18417.0,19040.0,20039.0
Episode reward,0.0,74.33352939513418,67.41772120782696,82.90326737707208,77.66500644520346,87.2618086700692,91.13399508680403,65.69642584864232,72.21726931655544,71.77284978174634,88.72664879007543,79.0493368067032,83.82483811220075,82.1544011652321,80.67653124810343,90.15612258009352,79.73185010677147,84.12103782773806,86.25453865477654,83.44079485203585,84.41327898867821,77.25134851605645,80.23449226059523,82.47433978579303,90.24021212123434,85.69810987715343,81.01534998034558,78.02529564268448,76.16188947101197,89.25604160683581,74.67623245129982,78.30864007326056,89.68642795826179,81.20855816924858,-32.380025513535585,74.75086258082408,82.6400822429124,-19.434886057296318
Episode feedback,0.8,0.35144927472563536,0.2345483356029345,0.23691459989830688,0.16666666630116958,0.1622641503310787,0.13580246829751563,0.13087674697474366,0.12480252744896915,0.07377049168234345,0.07984790844164294,0.06420233450544292,0.05420560737531662,0.038461538369082844,0.051999999896,0.030434782476370513,0.021825396782092468,0.02623906697889485,0.017391304297416508,0.02499999994318182,0.01057082450196443,0.008356545949364143,0.010810810791331872,0.0075187969736371,0.0,0.005813953477104741,0.0036900368935608176,0.0012722646294245996,0.0,0.005291005277007922,0.002836879428600171,0.0,0.0,0.0,0.00200400801402404,0.0,0.0,0.0
total seconds,0.0,36.16146755218506,75.40132904052734,98.25881242752075,126.73745322227478,144.09184741973877,155.01903533935547,200.4518506526947,237.42156052589417,271.1111466884613,286.1280333995819,313.612220287323,342.1578347682953,364.03720712661743,390.63189244270325,403.192875623703,429.11916041374207,447.09715461730957,465.07162523269653,487.90032386779785,511.79242157936096,547.3094301223755,575.1993937492371,595.4764127731323,615.6052558422089,641.3879113197327,668.630907535553,707.7506606578827,743.4004149436951,762.8190746307373,797.718576669693,831.4241707324982,852.2188258171082,882.4380428791046,934.2533485889435,981.8278205394745,1013.0382328033447,1063.0686149597168
total minutes,0.0,0.6026911258697509,1.2566888173421225,1.6376468737920125,2.112290887037913,2.4015307903289793,2.583650588989258,3.3408641775449115,3.957026008764903,4.5185191114743555,4.7688005566596985,5.22687033812205,5.702630579471588,6.067286785443624,6.510531540711721,6.71988126039505,7.151986006895701,7.451619243621826,7.751193753878275,8.131672064463297,8.52987369298935,9.121823835372926,9.586656562487285,9.924606879552206,10.260087597370148,10.689798521995545,11.143848458925882,11.795844344298045,12.390006915728252,12.713651243845622,13.29530961116155,13.857069512208303,14.203647096951803,14.707300714651744,15.570889143149058,16.36379700899124,16.883970546722413,17.717810249328615
cummulative feedback,0.0,194.0,342.0,428.0,504.0,547.0,569.0,672.0,751.0,796.0,817.0,850.0,879.0,895.0,921.0,928.0,939.0,948.0,954.0,965.0,970.0,976.0,982.0,985.0,985.0,988.0,990.0,991.0,991.0,993.0,995.0,995.0,995.0,995.0,997.0,997.0,997.0,997.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,552.0,631.0,363.0,456.0,265.0,162.0,787.0,633.0,610.0,263.0,514.0,535.0,416.0,500.0,230.0,504.0,343.0,345.0,440.0,473.0,718.0,555.0,399.0,399.0,516.0,542.0,786.0,716.0,378.0,705.0,681.0,407.0,612.0,998.0,947.0,622.0,998.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
