,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Accumulated time steps,0.0,460.0,1459.0,1724.0,1986.0,2359.0,3358.0,4357.0,5356.0,6355.0,7340.0,7784.0,8228.0,8490.0,8839.0,9309.0,9564.0,9918.0,10181.0,10539.0,10812.0,11454.0,11708.0,12066.0,12683.0,12936.0,13280.0,13537.0,13887.0,14321.0,14581.0,14837.0,15181.0,15438.0,15783.0,16308.0,16829.0,17120.0,17653.0,17997.0,18344.0,18600.0,18855.0,19378.0,19665.0
Episode reward,0.0,81.53756630545581,-64.62396432665409,86.07337925353318,87.17020595098268,81.53997139352882,-63.71924509348453,-50.326861978926765,-62.14714812768925,-64.7691440019747,43.5070384162909,76.16785566288104,75.40628052984943,86.60478463662697,82.01876827544798,69.49562642508185,83.0670127618348,80.6449526048057,85.44494616889908,78.90162767680623,82.7916320626725,67.15545420699601,86.93038766945013,77.73880313102511,60.65429296145687,84.19227169381035,78.6325843901405,84.21735224196335,78.34854795359055,72.12919340855917,84.30397533544331,84.36054504292856,78.81953475838586,83.58493258762027,78.77441465383643,67.06077483789358,67.19765153967737,80.66987427345873,65.83859953184238,78.34202338107642,78.60656755531022,83.76940855167588,84.4260712391951,66.85419564836386,81.570544329245
Episode feedback,0.8,0.49999999890829694,0.013026052091156261,0.1515151509412305,0.11111111068539804,0.08870967718088797,0.02304609216127646,0.08216432857498564,0.04609218432255292,0.01703406811920434,0.019308943069807984,0.024830699718215124,0.011286681690097784,0.0076628352196826234,0.0,0.0021321961575006478,0.0,0.008498583545329792,0.0038167938785618554,0.005602240880665992,0.0036764705747188583,0.0,0.0039525691543376715,0.005602240880665992,0.0,0.0,0.0,0.0,0.0,0.0,0.00772200769219302,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758501783593,0.0018796992445870315,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,30.92099165916443,81.17320084571838,96.06994247436523,110.45550322532654,130.12859559059143,180.49463438987732,231.628741979599,280.9155478477478,328.717072725296,374.81692242622375,395.9960744380951,416.9309813976288,430.285187959671,447.5296070575714,470.8095495700836,483.64675855636597,500.98995542526245,514.4783089160919,532.9188821315765,547.0510575771332,578.8594524860382,592.1000101566315,610.7292046546936,641.1964650154114,653.981929063797,671.0141453742981,683.9147052764893,701.683434009552,723.9503042697906,737.6503150463104,751.0912089347839,768.4564838409424,781.4445955753326,798.5434699058533,823.8552684783936,849.4731273651123,864.4432339668274,890.8145384788513,907.6547155380249,925.2544083595276,938.1485846042633,951.2105448246002,976.8275172710419,991.5676760673523
total minutes,0.0,0.5153498609860738,1.352886680761973,1.6011657079060873,1.8409250537554422,2.1688099265098573,3.008243906497955,3.8604790329933167,4.681925797462464,5.478617878754934,6.246948707103729,6.599934573968252,6.94884968996048,7.17141979932785,7.458826784292857,7.84682582616806,8.060779309272766,8.349832590421041,8.574638481934866,8.88198136885961,9.117517626285553,9.64765754143397,9.868333502610524,10.178820077578226,10.686607750256856,10.89969881772995,11.183569089571636,11.398578421274822,11.6947239001592,12.06583840449651,12.294171917438508,12.518186815579732,12.807608064015707,13.02407659292221,13.309057831764221,13.73092114130656,14.157885456085205,14.407387232780456,14.846908974647523,15.127578592300415,15.420906805992127,15.635809743404389,15.853509080410003,16.28045862118403,16.52612793445587
cummulative feedback,0.0,229.0,242.0,282.0,311.0,344.0,367.0,449.0,495.0,512.0,531.0,542.0,547.0,549.0,549.0,550.0,550.0,553.0,554.0,556.0,557.0,557.0,558.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,563.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,458.0,998.0,264.0,261.0,372.0,998.0,998.0,998.0,998.0,984.0,443.0,443.0,261.0,348.0,469.0,254.0,353.0,262.0,357.0,272.0,641.0,253.0,357.0,616.0,252.0,343.0,256.0,349.0,433.0,259.0,255.0,343.0,256.0,344.0,524.0,520.0,290.0,532.0,343.0,346.0,255.0,254.0,522.0,286.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
