,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Accumulated time steps,0.0,1000.0,1366.0,1642.0,1912.0,2911.0,3180.0,3450.0,4184.0,4563.0,4938.0,5209.0,5482.0,5926.0,6199.0,6377.0,6921.0,7310.0,7575.0,7934.0,8103.0,8453.0,8735.0,8993.0,9338.0,9598.0,9887.0,10061.0,10421.0,10813.0,11083.0,11340.0,11619.0,11872.0,12121.0,12547.0,12804.0,13051.0,13420.0,13703.0,13949.0,14195.0,14797.0,15136.0,15520.0,15873.0,16153.0,16683.0,17121.0,17553.0,17904.0,18332.0,18849.0,19142.0,19485.0
Episode reward,0.0,-68.92528105430478,83.45571296503853,86.506599883575,87.2299560748661,-55.245466412309725,85.16692522657277,85.56614875145362,56.733353259235834,78.6038676010513,80.9964337903003,84.64315851042971,84.13835151522883,76.83996926367547,85.77361660855536,89.10680870003726,68.95846293255971,76.15270119467819,86.67228716690799,80.77976027844274,90.20997806585756,80.98479713001176,83.33275501713452,86.73610281586387,78.4460735239262,85.87988021356095,82.36161848118188,89.86584604902558,80.34211619216279,76.7263780579603,88.00337102729941,86.36065238857813,83.7803769595574,84.93754607037546,85.18290169807096,73.60752548997155,83.70353370151437,85.03061410246879,78.8269001681121,81.47824220817479,85.57108847057869,85.45054371944966,64.33606337292636,81.3016747174447,79.92269210342366,83.58872024647832,85.02891711684306,67.1977625837398,73.60627765929061,73.10612995482148,79.00328612625415,73.64876075227427,67.89007079051731,80.23174087935796,79.60566642912194
Episode feedback,0.8,0.0100200400701202,0.35342465656595984,0.15272727217190082,0.15613382841585938,0.06913827648382938,0.05970149231454667,0.05204460947195313,0.019099590696999194,0.026455026385039614,0.02673796784294661,0.033333333209876546,0.029411764597750866,0.018058690704156454,0.018382352873594292,0.005649717482204986,0.011049723736556678,0.01804123706690403,0.011363636320592287,0.01396648040791486,0.011904761833900228,0.0,0.014234875394181938,0.01167315170555194,0.0029069767357355327,0.0,0.0,0.0,0.0,0.0025575447504922128,0.003717472105139509,0.0,0.0035971222892189846,0.0,0.0,0.0,0.0,0.0,0.005434782593927222,0.0,0.0,0.0,0.0,0.00295857987290361,0.0,0.0,0.0,0.0018903591646685083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,47.97016263008118,71.41720938682556,86.81961560249329,101.83794832229614,152.01525950431824,165.93390154838562,179.52206349372864,214.95295763015747,233.59564638137817,252.45070219039917,266.0373876094818,280.1917815208435,303.23013162612915,317.50096464157104,327.24415850639343,354.13805961608887,373.7783167362213,387.30442547798157,405.2645752429962,414.2346866130829,431.72512555122375,446.4548804759979,459.5080292224884,476.5160436630249,489.79549646377563,504.40345573425293,513.8257625102997,532.0650236606598,551.6017465591431,565.1885888576508,578.0727422237396,592.4844243526459,605.3841528892517,618.6096816062927,639.6437211036682,653.0994436740875,665.8919386863708,685.0281853675842,699.6434001922607,712.3806357383728,725.1983156204224,755.7412264347076,773.3697474002838,793.1537277698517,810.7100079059601,825.0723285675049,852.2721540927887,874.7625682353973,896.8181536197662,914.4446229934692,936.0960872173309,962.5670590400696,977.1739356517792,994.5188403129578
total minutes,0.0,0.7995027105013529,1.1902868231137593,1.446993593374888,1.6972991387049357,2.533587658405304,2.765565025806427,2.992034391562144,3.582549293835958,3.8932607730229694,4.20751170317332,4.43395646015803,4.669863025347392,5.0538355271021524,5.291682744026184,5.45406930843989,5.902300993601481,6.229638612270355,6.4550737579663595,6.75440958738327,6.903911443551381,7.195418759187063,7.4409146745999655,7.65846715370814,7.941934061050415,8.163258274396261,8.40672426223755,8.563762708504994,8.86775039434433,9.193362442652385,9.41980981429418,9.634545703728994,9.87474040587743,10.08973588148753,10.310161360104878,10.660728685061137,10.884990727901458,11.098198978106181,11.417136422793071,11.660723336537679,11.873010595639547,12.086638593673706,12.595687107245128,12.88949579000473,13.219228796164195,13.511833465099334,13.751205476125081,14.204535901546478,14.579376137256622,14.946969226996105,15.240743716557821,15.601601453622182,16.042784317334494,16.286232260862985,16.57531400521596
cummulative feedback,0.0,10.0,139.0,181.0,223.0,292.0,308.0,322.0,336.0,346.0,356.0,365.0,373.0,381.0,386.0,387.0,393.0,400.0,403.0,408.0,410.0,410.0,414.0,417.0,418.0,418.0,418.0,418.0,418.0,419.0,420.0,420.0,421.0,421.0,421.0,421.0,421.0,421.0,423.0,423.0,423.0,423.0,423.0,424.0,424.0,424.0,424.0,425.0,425.0,425.0,425.0,425.0,425.0,425.0,425.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,365.0,275.0,269.0,998.0,268.0,269.0,733.0,378.0,374.0,270.0,272.0,443.0,272.0,177.0,543.0,388.0,264.0,358.0,168.0,349.0,281.0,257.0,344.0,259.0,288.0,173.0,359.0,391.0,269.0,256.0,278.0,252.0,248.0,425.0,256.0,246.0,368.0,282.0,245.0,245.0,601.0,338.0,383.0,352.0,279.0,529.0,437.0,431.0,350.0,427.0,516.0,292.0,342.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
