,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
Accumulated time steps,0.0,504.0,772.0,1046.0,1394.0,1651.0,1804.0,2058.0,2263.0,2412.0,2575.0,2721.0,2876.0,3032.0,3186.0,3454.0,3703.0,3877.0,4134.0,4319.0,4565.0,4833.0,4986.0,5250.0,5406.0,5673.0,5825.0,6091.0,6264.0,6848.0,7209.0,7471.0,7627.0,7887.0,8036.0,8202.0,8355.0,8539.0,8820.0,8978.0,9137.0,9298.0,9561.0,9861.0,10118.0,10272.0,10568.0,10722.0,10999.0,11262.0,11433.0,11727.0,11891.0,12266.0,12532.0,12699.0,12983.0,13332.0,13701.0,13856.0,14010.0,14180.0,14470.0,14623.0,14991.0,15172.0,15445.0,15603.0,15874.0,16068.0,16480.0,16635.0,16800.0,17066.0,17232.0,17396.0,17544.0,17708.0,17995.0,18278.0,18542.0,18800.0,19057.0,19218.0,19496.0,19747.0,20006.0
Episode reward,0.0,70.48051383267813,85.15821556632018,85.33853161653519,81.01944016731431,85.7624951336297,91.55400362210646,86.45486774192199,86.82729615593877,91.79394934994976,90.24657062274531,91.68423528494176,91.1731508955975,90.83695498249895,91.2921778357858,85.57850775293244,85.79235306411573,88.90154828509002,85.56674237214409,87.79768848605329,86.96495537165453,85.54971056839209,90.86915862580952,84.62946398650918,90.83462424701163,83.64043640236646,90.88957689437176,86.17463204404899,89.16027645472252,67.09308079771546,78.63351084540665,84.60764514331017,90.95670223543225,85.15017118257308,91.5398442547633,89.3128568817411,90.57150445795222,89.0087302900209,83.48897832582908,90.39091283427595,90.2265306137737,90.07236381892164,84.10454423709248,81.0856588948674,85.1356401857365,90.81286862329152,81.28817301383731,90.54062294633643,84.11595462816042,84.21892108330444,89.85622595317665,79.94522899039154,90.53465775654232,78.23010881860081,83.55397031410483,89.6947862756268,82.14718097443094,77.05041647510782,76.84580399115538,91.57695045947219,90.41707071191144,88.60571645266506,81.84564398280108,90.77001524494091,77.24627906539766,87.85495922752472,83.36328877920934,90.27331416802407,82.84224231896432,86.64987849635469,73.6212766926962,90.45589459944021,90.4999302267221,84.48892168608047,88.96126002162143,89.55288277601596,90.94575475242188,90.45209298735485,82.13450512769518,82.74341867950378,85.22363235691634,85.29904950879447,84.87636735801534,90.33437969852636,83.2592587374466,84.17302447145171,84.42942629084357
Episode feedback,0.8,0.33864541765210077,0.23220973695801597,0.20879120802640583,0.19596541730269332,0.15234374940490722,0.13157894650277008,0.1264822129388055,0.10294117596597463,0.12162162079985392,0.09259259202103338,0.07586206844233057,0.07142857096474954,0.09677419292403747,0.07843137203639626,0.056179775070487735,0.08064516096514047,0.04624277429917471,0.02734374989318848,0.016304347737476372,0.06530612218242399,0.04494382005639019,0.02631578930055402,0.06083650166982319,0.02580645144640999,0.026315789374752672,0.013245033024867332,0.015094339565681738,0.011627906909140076,0.020583190359205507,0.008333333310185185,0.011494252829523936,0.0,0.0,0.006756756711102995,0.01212121204775023,0.0,0.005464480844456389,0.0035714285586734697,0.01273885342204552,0.0,0.0,0.0038167938785618554,0.01003344478249684,0.003906249984741211,0.006535947669699688,0.0,0.013071895339399377,0.007246376785339214,0.0,0.0,0.003412969271628091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,41.647690296173096,64.10182929039001,84.97326397895813,110.72587370872498,128.53658509254456,139.24116492271423,156.27627682685852,169.81630420684814,180.2383418083191,190.82963609695435,200.18607711791992,210.20556044578552,220.48642230033875,230.34457755088806,246.36456561088562,261.85153889656067,272.3362958431244,287.20152401924133,297.83148312568665,312.8139114379883,328.6981716156006,338.0324854850769,355.5846800804138,365.83307099342346,382.77972650527954,392.1591246128082,408.1546747684479,418.4918222427368,451.01501870155334,471.3922576904297,486.3455984592438,495.41586995124817,509.86948823928833,518.7436676025391,528.6193468570709,537.417638540268,547.7341437339783,563.6024403572083,573.2930517196655,582.3390560150146,591.6706471443176,606.0663783550262,622.6330542564392,636.8200881481171,645.8407738208771,661.958737373352,670.9906644821167,686.1830821037292,700.6729645729065,710.4342422485352,726.3175001144409,735.8210525512695,755.9165544509888,770.6022412776947,780.0223824977875,795.388087272644,814.5731143951416,834.4053807258606,843.244215965271,852.0064160823822,861.5256221294403,877.3723759651184,886.1503367424011,906.1188251972198,916.3954148292542,931.5785868167877,940.6232929229736,955.4029915332794,966.5448620319366,988.5453269481659,997.5535504817963,1006.8637528419495,1021.4468994140625,1030.953356742859,1040.3159365653992,1048.9860756397247,1058.1062355041504,1073.8958241939545,1089.3448073863983,1103.8422491550446,1117.9441094398499,1131.940277338028,1141.2138085365295,1156.3745636940002,1170.315945148468,1184.3737196922302
total minutes,0.0,0.694128171602885,1.0683638215065003,1.416221066315969,1.8454312284787495,2.142276418209076,2.320686082045237,2.6046046137809755,2.8302717367808023,3.003972363471985,3.180493934949239,3.3364346186319986,3.5034260074297587,3.674773705005646,3.839076292514801,4.10607609351476,4.364192314942678,4.5389382640520735,4.786692066987356,4.9638580520947775,5.213565190633138,5.47830286026001,5.633874758084615,5.926411334673563,6.097217849890391,6.379662108421326,6.5359854102134705,6.802577912807465,6.974863704045614,7.516916978359222,7.856537628173828,8.10575997432073,8.256931165854136,8.49782480398814,8.64572779337565,8.810322447617848,8.9569606423378,9.128902395566305,9.39337400595347,9.554884195327759,9.705650933583577,9.861177452405293,10.101106305917105,10.377217570940653,10.613668135801952,10.764012897014618,11.0326456228892,11.183177741368612,11.436384701728821,11.677882742881774,11.840570704142253,12.105291668574015,12.263684209187826,12.598609240849813,12.843370687961578,13.000373041629791,13.256468121210734,13.57621857325236,13.90675634543101,14.05407026608785,14.20010693470637,14.358760368824004,14.622872932751973,14.769172279040019,15.101980419953664,15.273256913820903,15.526309780279796,15.67705488204956,15.923383192221324,16.10908103386561,16.4757554491361,16.62589250802994,16.781062547365824,17.024114990234374,17.182555945714316,17.338598942756654,17.483101260662078,17.635103925069174,17.89826373656591,18.155746789773307,18.397370819250742,18.632401823997498,18.865671288967132,19.02023014227549,19.272909394900005,19.505265752474468,19.739561994870503
cummulative feedback,0.0,170.0,232.0,289.0,357.0,396.0,416.0,448.0,469.0,487.0,502.0,513.0,524.0,539.0,551.0,566.0,586.0,594.0,601.0,604.0,620.0,632.0,636.0,652.0,656.0,663.0,665.0,669.0,671.0,683.0,686.0,689.0,689.0,689.0,690.0,692.0,692.0,693.0,694.0,696.0,696.0,696.0,697.0,700.0,701.0,702.0,702.0,704.0,706.0,706.0,706.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,502.0,267.0,273.0,347.0,256.0,152.0,253.0,204.0,148.0,162.0,145.0,154.0,155.0,153.0,267.0,248.0,173.0,256.0,184.0,245.0,267.0,152.0,263.0,155.0,266.0,151.0,265.0,172.0,583.0,360.0,261.0,155.0,259.0,148.0,165.0,152.0,183.0,280.0,157.0,158.0,160.0,262.0,299.0,256.0,153.0,295.0,153.0,276.0,262.0,170.0,293.0,163.0,374.0,265.0,166.0,283.0,348.0,368.0,154.0,153.0,169.0,289.0,152.0,367.0,180.0,272.0,157.0,270.0,193.0,411.0,154.0,164.0,265.0,165.0,163.0,147.0,163.0,286.0,282.0,263.0,257.0,256.0,160.0,277.0,250.0,258.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
