,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Accumulated time steps,0.0,1000.0,1947.0,2569.0,3207.0,3479.0,3725.0,4331.0,4552.0,4885.0,5058.0,5389.0,5958.0,6389.0,6806.0,7237.0,7482.0,8103.0,8825.0,9299.0,9678.0,10050.0,11049.0,11827.0,12665.0,13147.0,13866.0,14792.0,15195.0,15751.0,16230.0,17229.0,17791.0,18226.0,19225.0,20224.0
Episode reward,0.0,-72.3742765782529,53.01461400624289,68.95338486465627,69.46546441169474,86.82214345767997,89.24436786318545,73.18167748138809,91.01187793408891,89.27501399247156,94.2607076513097,86.7311457960455,79.1382561766813,79.56200682449388,85.82254179579746,85.01340891685196,87.29123352945308,77.18659664932112,80.02777894391913,84.43549984381805,90.14148638577299,85.50908855873085,-27.6826796018303,77.1806018010297,78.31096603630107,84.31306846767556,78.22169762287558,66.02708934402419,85.8942296008083,83.76615910557382,85.23262708063088,-23.75676205911404,83.43915655508944,87.53478763442376,-21.09387810639508,-25.261652946385468
Episode feedback,0.8,0.007014028049084141,0.2642706128284666,0.16747181937605182,0.17425431683790532,0.12177121726283684,0.1346938770012495,0.08099173540331944,0.09090909049586778,0.09939759006205545,0.023255813818280152,0.057575757401285586,0.05457746469264531,0.04651162779881017,0.03605769222101516,0.03023255806922661,0.02459016383364687,0.03225806446409989,0.013869625500874306,0.012684989402357317,0.015873015831023768,0.002695417782492135,0.00400801602804808,0.006435006426724573,0.00358422938639877,0.004158004149359659,0.001392757658227357,0.0032432432397370343,0.002487562182866761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,47.45554828643799,112.31629681587219,150.2034068107605,188.62498378753662,204.46770358085632,219.309907913208,252.14558267593384,264.92802453041077,283.51997208595276,293.0291848182678,310.67147421836853,340.72981119155884,363.5807454586029,385.2666654586792,407.7840898036957,420.80077147483826,452.7749352455139,488.63569927215576,512.8617944717407,532.3874552249908,551.5767197608948,600.997175693512,639.5984160900116,680.5647230148315,704.6342980861664,740.3244588375092,787.444274187088,810.1359491348267,840.1184990406036,865.4654221534729,916.2549557685852,944.5768904685974,966.6720917224884,1016.155800819397,1065.712522983551
total minutes,0.0,0.7909258047739665,1.8719382802645366,2.503390113512675,3.143749729792277,3.4077950596809385,3.6551651318868,4.20242637793223,4.415467075506846,4.725332868099213,4.88381974697113,5.177857903639476,5.678830186525981,6.059679090976715,6.421111090977987,6.7964014967282615,7.0133461912473045,7.546248920758566,8.143928321202596,8.547696574529011,8.873124253749847,9.192945329348246,10.016619594891866,10.659973601500193,11.342745383580526,11.743904968102774,12.338740980625152,13.124071236451467,13.502265818913777,14.00197498401006,14.424423702557881,15.27091592947642,15.742948174476624,16.11120152870814,16.935930013656616,17.761875383059184
cummulative feedback,0.0,7.0,257.0,361.0,472.0,505.0,538.0,587.0,607.0,640.0,644.0,663.0,694.0,714.0,729.0,742.0,748.0,768.0,778.0,784.0,790.0,791.0,795.0,800.0,803.0,805.0,806.0,809.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,946.0,621.0,637.0,271.0,245.0,605.0,220.0,332.0,172.0,330.0,568.0,430.0,416.0,430.0,244.0,620.0,721.0,473.0,378.0,371.0,998.0,777.0,837.0,481.0,718.0,925.0,402.0,555.0,478.0,998.0,561.0,434.0,998.0,998.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
