,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Accumulated time steps,0.0,1000.0,1999.0,2613.0,2946.0,3367.0,3890.0,4889.0,5888.0,6508.0,6985.0,7250.0,7779.0,8131.0,8756.0,9010.0,9539.0,9797.0,10055.0,10506.0,10863.0,11222.0,11740.0,12261.0,12699.0,12952.0,13389.0,13909.0,14355.0,14617.0,14874.0,15310.0,15742.0,16109.0,16722.0,17243.0,17790.0,18055.0,18308.0,18741.0,19266.0,19610.0,19885.0
Episode reward,0.0,-55.066933449813845,-68.33414656528555,69.74320648969027,85.94707286745434,85.7122800531065,63.83924080029038,-36.4770188079079,-78.34573590985774,55.59830794517868,84.81824772376865,89.18034647878612,72.92077735004648,81.94665118931137,68.13032414982618,83.2561109545683,65.41849035941732,86.81466360232216,83.76225476815003,69.73331107776518,81.90082813550232,81.62634982273912,67.04118518217993,66.84352898166476,72.59986972071849,84.13049950027514,71.67092104105265,66.80382298024644,72.03716337317834,83.86901762420027,83.57699826330588,71.99426781626417,72.89988245556852,77.06713203282234,60.11940237313623,67.22284575493495,65.32221699117031,86.85650216204219,84.43115738043252,72.65561498055202,66.75852989520092,78.58102423026709,82.73415597885966
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,43.71217632293701,86.7468409538269,113.3304877281189,128.26870822906494,146.7780613899231,170.15221858024597,212.99373149871826,255.93565917015076,282.5470449924469,303.1109576225281,315.0350205898285,338.11958718299866,354.0386002063751,381.1153771877289,392.8174514770508,415.84535789489746,427.66160559654236,439.4163439273834,459.0268077850342,474.90022563934326,490.9186749458313,513.4370942115784,535.9004507064819,555.1155183315277,566.5928039550781,585.7498264312744,608.4512233734131,627.992870092392,639.9269461631775,651.6843121051788,670.6782550811768,689.4680347442627,705.5758323669434,731.9745209217072,754.4520590305328,778.1719946861267,790.2845692634583,801.7600853443146,822.0346593856812,846.8805868625641,863.4238405227661,876.9944179058075
total minutes,0.0,0.7285362720489502,1.4457806825637818,1.888841462135315,2.137811803817749,2.446301023165385,2.8358703096707663,3.5498955249786377,4.2655943195025126,4.709117416540781,5.051849293708801,5.250583676497142,5.635326453049978,5.9006433367729185,6.351922953128815,6.546957524617513,6.930755964914957,7.1276934266090395,7.323605732123057,7.650446796417237,7.915003760655721,8.181977915763856,8.557284903526305,8.931674178441366,9.251925305525463,9.443213399251302,9.762497107187906,10.140853722890219,10.4665478348732,10.665449102719625,10.86140520175298,11.177970918019613,11.491133912404377,11.759597206115723,12.199575348695118,12.574200983842214,12.969533244768778,13.171409487724304,13.36266808907191,13.700577656428019,14.114676447709401,14.390397342046102,14.616573631763458
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,613.0,332.0,420.0,522.0,998.0,998.0,619.0,476.0,264.0,528.0,351.0,624.0,253.0,528.0,257.0,257.0,450.0,356.0,358.0,517.0,520.0,437.0,252.0,436.0,519.0,445.0,261.0,256.0,435.0,431.0,366.0,612.0,520.0,546.0,264.0,252.0,432.0,524.0,343.0,274.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
