,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1382.0,1995.0,2749.0,3748.0,4747.0,5746.0,6745.0,7744.0,8743.0,9742.0,10741.0,11740.0,12739.0,13738.0,14737.0,15736.0,16735.0,17734.0,18733.0
Episode reward,0.0,-59.53656208081963,77.3778472330417,65.3541283653347,32.71192093763963,-94.71510696856386,-1.3139979988938828,-4.351223786874964,-65.53595909408175,-67.37629583261635,-50.222785419406144,-81.01018905153168,-85.52990124259004,-81.33256479571628,-80.5101650862101,-81.37991300215191,-80.87557188205005,-81.44703197508004,-81.08790006467329,-81.0777703648061,-80.41203922815014
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.54260587692261,63.77616477012634,92.81911015510559,127.80207920074463,174.3028004169464,221.06625032424927,267.41100668907166,313.6189033985138,359.98357677459717,406.14402318000793,452.40884280204773,498.7447922229767,545.2196004390717,591.7468259334564,638.0236282348633,684.2748079299927,730.6674914360046,776.7493209838867,823.2912089824677,870.1042673587799
total minutes,0.0,0.7590434312820434,1.0629360795021057,1.5469851692517598,2.130034653345744,2.9050466736157734,3.6844375054041545,4.456850111484528,5.226981723308564,5.9997262795766195,6.769067053000132,7.540147380034129,8.312413203716279,9.086993340651194,9.862447098890941,10.633727137247721,11.404580132166545,12.177791523933411,12.945822016398113,13.721520149707795,14.501737789313
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,381.0,612.0,753.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
