,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
Accumulated time steps,0.0,633.0,1008.0,1358.0,1644.0,1901.0,2156.0,2342.0,2505.0,2681.0,2960.0,3310.0,3464.0,3816.0,4057.0,4248.0,4498.0,4651.0,4902.0,5254.0,5510.0,5761.0,6016.0,6176.0,6352.0,6513.0,6767.0,6937.0,7348.0,7502.0,7762.0,7923.0,8087.0,8353.0,8604.0,8902.0,9146.0,9298.0,9579.0,9734.0,10008.0,10159.0,10427.0,10684.0,10853.0,11014.0,11274.0,11433.0,11707.0,11962.0,12258.0,12411.0,12562.0,12719.0,12876.0,13037.0,13197.0,13352.0,13570.0,13725.0,13993.0,14149.0,14411.0,14578.0,14860.0,15023.0,15185.0,15344.0,15616.0,15984.0,16250.0,16406.0,16564.0,16747.0,17010.0,17166.0,17323.0,17475.0,17747.0,17900.0,18246.0,18501.0,18789.0,18947.0,19109.0,19392.0,19567.0,19824.0,20013.0
Episode reward,0.0,70.1175185995702,80.18163799813695,81.37263143111045,82.5828304241628,85.99113554519843,86.2901629254933,88.5019053750845,90.5552088051065,89.73139443592541,83.55016621548737,81.52689183308081,91.31747510499875,81.26386932354487,86.96774587737153,87.72052513487947,86.46070417589274,91.99944226655623,84.87971805004051,81.1295816319726,85.74387918006647,85.98178841144583,85.1796237135122,90.87163278627061,89.26768076584712,90.82519295265116,86.21751854721401,90.10990918376147,77.77619715943999,91.36931404434418,85.32094983993919,90.21573602794524,90.90811210603931,84.11015585553426,84.72120473067669,80.9761031665589,83.5655958337037,90.6039574007522,83.04864694118564,91.39987231552995,83.47574334365962,90.61722217344544,84.33893223139673,84.29046595802367,89.19829563064074,90.61018776670846,86.01635403286578,90.04230206150757,83.09485975008722,84.14395551254215,80.82496583465706,90.78266299566201,90.81802901604412,90.6776672480944,90.03641362956573,90.17127409833344,90.44722273499723,91.18748379974885,85.36350641604888,90.30216173401458,84.47849714630493,90.05683227357295,84.48859386941021,89.43925901040342,82.29805561152328,90.53199393072542,90.88620634114595,90.83039242428742,83.82824980387818,77.45422704318727,83.7995249240027,90.49086688590816,90.41447878768086,88.07236166347816,84.22134600353203,90.61359525348543,91.29515597471404,90.87380543002696,83.72543686993909,90.49623704114728,75.69551899101965,85.64767620423234,81.59600872543008,90.02252963460877,90.81689846709132,83.60312590825686,89.07597067182039,85.01283911794583,88.99629677320212
Episode feedback,0.8,0.4167987315106201,0.3128342237624753,0.16905444077634832,0.10175438560787935,0.12499999951171875,0.11023622003844008,0.08648648601899196,0.06790123414875782,0.05142857113469388,0.07913669036281766,0.08882521464519996,0.04575163368789782,0.045584045454176506,0.024999999895833333,0.021052631468144047,0.03614457816809406,0.02631578930055402,0.023999999904,0.019943019886202222,0.02745098028450596,0.015999999936,0.019685039292578584,0.006289308136545232,0.0057142856816326535,0.0187499998828125,0.015810276617350686,0.01775147918490249,0.004878048768590125,0.006535947669699688,0.01544401538438604,0.0,0.012269938575031052,0.007547169782840869,0.015999999936,0.0,0.004115226320513472,0.006622516512433666,0.0035714285586734697,0.0,0.0036630036495860674,0.0,0.007490636676065031,0.003906249984741211,0.0,0.0,0.0,0.0,0.0036630036495860674,0.0,0.0033898304969836256,0.006578947325138505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,63.770485162734985,100.2359893321991,128.41014790534973,149.4156584739685,168.30043625831604,186.27116012573242,198.87886667251587,209.70614218711853,221.3083565235138,239.24770379066467,262.155907869339,271.975759267807,292.95239782333374,307.16208243370056,318.79386925697327,333.8801066875458,343.35374903678894,358.3450264930725,378.6137664318085,393.5838534832001,408.22592067718506,423.02068996429443,432.59300351142883,443.02632689476013,452.7119369506836,467.42998909950256,477.61759185791016,500.37069606781006,509.5146653652191,524.3228266239166,533.6947984695435,543.5319323539734,559.0314753055573,573.6648817062378,590.2197382450104,604.1272492408752,613.1901454925537,629.0688889026642,638.3139510154724,653.6364228725433,662.638810634613,677.9350447654724,692.3298625946045,702.123663187027,711.3923563957214,726.2347168922424,735.5006592273712,751.0684938430786,765.5455667972565,782.1122372150421,791.1923117637634,800.1273345947266,809.5380954742432,818.7699007987976,828.1800670623779,837.7112710475922,847.2516059875488,860.0053708553314,869.5280065536499,884.7214574813843,894.0063881874084,909.7206430435181,920.1835515499115,936.5457606315613,946.3873178958893,955.987978219986,965.6451933383942,981.0545053482056,1002.179883480072,1017.2929513454437,1026.813690662384,1036.3398838043213,1046.9482898712158,1061.8045043945312,1071.0500600337982,1080.513175725937,1089.7284858226776,1105.466423034668,1114.8159637451172,1134.4101247787476,1149.45379114151,1165.7259237766266,1175.190626859665,1184.9358267784119,1200.8572902679443,1211.0221552848816,1225.946807384491,1236.7770147323608
total minutes,0.0,1.0628414193789164,1.6705998222033183,2.1401691317558287,2.4902609745661417,2.805007270971934,3.104519335428874,3.3146477778752645,3.4951023697853087,3.6884726087252298,3.9874617298444113,4.369265131155649,4.5329293211301165,4.882539963722229,5.119368040561676,5.313231154282888,5.56466844479243,5.722562483946482,5.972417108217875,6.310229440530141,6.559730891386668,6.803765344619751,7.050344832738241,7.209883391857147,7.383772114912669,7.54519894917806,7.790499818325043,7.960293197631836,8.339511601130168,8.491911089420318,8.738713777065277,8.894913307825725,9.05886553923289,9.31719125509262,9.56108136177063,9.83699563741684,10.06878748734792,10.219835758209229,10.48448148171107,10.638565850257873,10.893940381209056,11.04398017724355,11.298917412757874,11.538831043243409,11.702061053117117,11.856539273262024,12.10391194820404,12.258344320456187,12.517808230717977,12.759092779954274,13.035203953584036,13.186538529396056,13.335455576578775,13.492301591237386,13.646165013313293,13.803001117706298,13.96185451745987,14.12086009979248,14.333422847588857,14.492133442560831,14.745357624689738,14.90010646979014,15.162010717391968,15.336392525831858,15.609096010526022,15.773121964931487,15.9331329703331,16.0940865556399,16.35090842247009,16.7029980580012,16.95488252242406,17.113561511039734,17.27233139673869,17.449138164520264,17.696741739908855,17.850834333896636,18.008552928765614,18.16214143037796,18.424440383911133,18.58026606241862,18.906835412979127,19.157563185691835,19.42876539627711,19.58651044766108,19.748930446306865,20.014288171132407,20.18370258808136,20.432446789741515,20.61295024553935
cummulative feedback,0.0,263.0,380.0,439.0,468.0,500.0,528.0,544.0,555.0,564.0,586.0,617.0,624.0,640.0,646.0,650.0,659.0,663.0,669.0,676.0,683.0,687.0,692.0,693.0,694.0,697.0,701.0,704.0,706.0,707.0,711.0,711.0,713.0,715.0,719.0,719.0,720.0,721.0,722.0,722.0,723.0,723.0,725.0,726.0,726.0,726.0,726.0,726.0,727.0,727.0,728.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,631.0,374.0,349.0,285.0,256.0,254.0,185.0,162.0,175.0,278.0,349.0,153.0,351.0,240.0,190.0,249.0,152.0,250.0,351.0,255.0,250.0,254.0,159.0,175.0,160.0,253.0,169.0,410.0,153.0,259.0,160.0,163.0,265.0,250.0,297.0,243.0,151.0,280.0,154.0,273.0,150.0,267.0,256.0,168.0,160.0,259.0,158.0,273.0,254.0,295.0,152.0,150.0,156.0,156.0,160.0,159.0,154.0,217.0,154.0,267.0,155.0,261.0,166.0,281.0,162.0,161.0,158.0,271.0,367.0,265.0,155.0,157.0,182.0,262.0,155.0,156.0,151.0,271.0,152.0,345.0,254.0,287.0,157.0,161.0,282.0,174.0,256.0,188.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
