,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
Accumulated time steps,0.0,915.0,1267.0,1440.0,1708.0,1861.0,2239.0,2960.0,3203.0,3463.0,3805.0,4053.0,4213.0,4389.0,4542.0,4793.0,4953.0,5203.0,5361.0,5526.0,5686.0,5840.0,5991.0,6255.0,6419.0,6572.0,6831.0,6993.0,7154.0,7408.0,7673.0,7842.0,8001.0,8152.0,8310.0,8463.0,8619.0,8774.0,8948.0,9220.0,9380.0,9654.0,9817.0,9992.0,10261.0,10426.0,10580.0,10736.0,10907.0,11185.0,11446.0,11596.0,11861.0,12123.0,12275.0,12544.0,12716.0,12974.0,13130.0,13279.0,13559.0,13734.0,14012.0,14168.0,14328.0,14504.0,14659.0,14824.0,14976.0,15142.0,15299.0,15460.0,15734.0,15889.0,16148.0,16302.0,16558.0,16728.0,16914.0,17176.0,17442.0,17755.0,18025.0,18300.0,18454.0,18610.0,18891.0,19163.0,19332.0,19489.0,19848.0,20131.0
Episode reward,0.0,58.86914283375895,81.03956363700922,89.66008342817068,84.75895675639504,90.87918723306446,77.8122479065298,55.957669963895846,86.12389081198705,85.13367227046996,79.86917390898178,85.4748247679472,90.37468993291542,88.97702058166524,90.78217817463509,86.5037418121994,90.37207771350415,85.46070264464475,90.0644572536747,90.78265939012134,90.69773343350725,91.41056240918383,90.92406435421121,84.46196902119654,89.27817402992002,90.55738275860423,83.9810989381705,89.54650742965377,90.0731568860408,85.29951080033199,85.20193394055029,90.71275501070656,90.21912893270476,90.75024171958108,89.67309594476205,90.51621624886725,90.20451993282168,90.54811586449455,88.64479783926957,83.31950820371611,90.58914867958842,83.36896369794717,90.07305567227345,88.26010847741921,83.41006191450532,90.67808083476527,90.90777872898192,90.21221063249006,89.45473749636191,81.89054863773507,84.71517228732245,91.54308865366897,83.07891782535287,84.49469614006648,91.18021598418774,81.5959084440187,89.02531291525243,84.41377381831458,90.1786834873172,90.82975461002286,82.4627086568333,88.37021215898632,82.78815009518235,90.19237428438447,90.03049025690716,88.14572390502389,90.35940331515185,88.46668567523213,90.37907901833434,89.51780891428596,90.60930942027953,90.48942105661182,83.23220305659058,90.07071994078527,84.58218167101204,89.86563496597475,83.57622069245103,88.8888400868437,87.25164650567098,83.68682847229591,82.96542366913145,79.45458813628863,83.5309139178967,83.15119178178904,90.59612077771199,90.1676154701712,81.88465706823456,84.17583798499508,89.76063894050785,90.27064777579625,76.21763978215438,80.31663025521135
Episode feedback,0.8,0.41949616602464823,0.17948717897582,0.16279069672796107,0.14981273352130062,0.1513157884781856,0.13527851423003046,0.05277777770447531,0.06611570220613346,0.06949806922973718,0.049853372287820025,0.06882591065252668,0.05031446509236186,0.05142857113469388,0.02631578930055402,0.055999999776,0.018867924409635695,0.052208835131691424,0.05732484039920484,0.01829268281528852,0.02515723254618093,0.006535947669699688,0.0066666666222222224,0.007604562708727899,0.006134969287515526,0.006578947325138505,0.0038759689772249264,0.0,0.0187499998828125,0.011857707463013014,0.003787878773530762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005780346787396839,0.0,0.0,0.0036630036495860674,0.012345678936137784,0.005747126403752147,0.0037313432696591668,0.0,0.0,0.0064516128616024975,0.0,0.007220216580432431,0.0,0.0,0.003787878773530762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,83.32901883125305,108.85099864006042,121.47885036468506,140.61008954048157,151.91644620895386,177.44533944129944,219.0447723865509,234.2956817150116,250.323668718338,270.5211410522461,285.78991889953613,295.80606269836426,306.59177708625793,315.77972412109375,330.9046747684479,340.27258920669556,355.253618478775,365.039021730423,374.68868589401245,384.2830650806427,393.2227864265442,402.0828058719635,416.6611533164978,426.02612352371216,435.04487109184265,449.515496969223,458.66736578941345,468.14755964279175,482.2527997493744,496.97878885269165,506.7797393798828,515.9170708656311,524.6213166713715,533.533399105072,542.3613319396973,551.3639976978302,560.3304619789124,570.2790079116821,585.1084117889404,594.0490427017212,609.3001408576965,618.63636302948,628.7087552547455,643.4702897071838,652.8855667114258,661.8267459869385,671.0304229259491,680.7313570976257,696.5510001182556,710.9191792011261,719.5698003768921,734.2129278182983,748.6120655536652,757.4707918167114,772.6064383983612,782.5636174678802,796.859760761261,805.7762444019318,814.699957370758,830.0644037723541,840.2422091960907,855.5330719947815,864.429032087326,873.5907535552979,883.9959623813629,892.8521778583527,902.4477236270905,911.4294447898865,920.7359821796417,929.8031077384949,938.9501492977142,954.2559180259705,963.341148853302,977.4243776798248,986.3583226203918,1000.3473179340363,1010.025318145752,1020.5020101070404,1034.5397827625275,1049.5703475475311,1066.612661600113,1081.3123688697815,1096.2927186489105,1105.4085953235626,1114.5186138153076,1129.6277587413788,1144.5714864730835,1154.3352589607239,1163.4468829631805,1182.7459499835968,1198.3692264556885
total minutes,0.0,1.388816980520884,1.8141833106676737,2.024647506078084,2.3435014923413595,2.531940770149231,2.9574223240216573,3.650746206442515,3.9049280285835266,4.1720611453056335,4.508685684204101,4.763165314992269,4.930101044972738,5.109862951437632,5.2629954020182295,5.515077912807465,5.671209820111593,5.920893641312917,6.083983695507049,6.244811431566874,6.404717751344045,6.55371310710907,6.701380097866059,6.944352555274963,7.100435392061869,7.25074785153071,7.491924949487051,7.644456096490225,7.802459327379863,8.037546662489573,8.282979814211528,8.446328989664714,8.598617847760519,8.743688611189524,8.892223318417868,9.039355532328289,9.189399961630503,9.338841032981872,9.50465013186137,9.751806863149007,9.900817378362019,10.155002347628276,10.310606050491334,10.478479254245759,10.724504828453064,10.881426111857097,11.030445766448974,11.183840382099152,11.345522618293762,11.60918333530426,11.848652986685435,11.992830006281535,12.236882130304972,12.476867759227753,12.624513196945191,12.87677397330602,13.042726957798005,13.280996012687684,13.42960407336553,13.578332622845968,13.834406729539236,14.004036819934845,14.258884533246357,14.407150534788768,14.559845892588298,14.733266039689381,14.880869630972544,15.04079539378484,15.190490746498108,15.34559970299403,15.496718462308248,15.649169154961903,15.904265300432842,16.0556858142217,16.290406294663747,16.43930537700653,16.672455298900605,16.8337553024292,17.00836683511734,17.24232971270879,17.492839125792184,17.776877693335216,18.02187281449636,18.271545310815174,18.423476588726043,18.575310230255127,18.827129312356313,19.076191441218057,19.23892098267873,19.390781382719677,19.712432499726614,19.972820440928142
cummulative feedback,0.0,383.0,446.0,474.0,514.0,537.0,588.0,626.0,642.0,660.0,677.0,694.0,702.0,711.0,715.0,729.0,732.0,745.0,754.0,757.0,761.0,762.0,763.0,765.0,766.0,767.0,768.0,768.0,771.0,774.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,776.0,776.0,776.0,777.0,779.0,780.0,781.0,781.0,781.0,782.0,782.0,784.0,784.0,784.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,913.0,351.0,172.0,267.0,152.0,377.0,720.0,242.0,259.0,341.0,247.0,159.0,175.0,152.0,250.0,159.0,249.0,157.0,164.0,159.0,153.0,150.0,263.0,163.0,152.0,258.0,161.0,160.0,253.0,264.0,168.0,158.0,150.0,157.0,152.0,155.0,154.0,173.0,271.0,159.0,273.0,162.0,174.0,268.0,164.0,153.0,155.0,170.0,277.0,260.0,149.0,264.0,261.0,151.0,268.0,171.0,257.0,155.0,148.0,279.0,174.0,277.0,155.0,159.0,175.0,154.0,164.0,151.0,165.0,156.0,160.0,273.0,154.0,258.0,153.0,255.0,169.0,185.0,261.0,265.0,312.0,269.0,274.0,153.0,155.0,280.0,271.0,168.0,156.0,358.0,282.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
