,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
Accumulated time steps,0.0,930.0,1324.0,1587.0,1888.0,2150.0,2513.0,2889.0,3045.0,3396.0,3547.0,3725.0,3892.0,4166.0,4557.0,4814.0,5060.0,5319.0,5463.0,5634.0,5914.0,6074.0,6339.0,6499.0,6654.0,7014.0,7167.0,7417.0,7580.0,7940.0,8203.0,8501.0,8758.0,8920.0,9079.0,9239.0,9394.0,9562.0,9718.0,9910.0,10176.0,10453.0,10613.0,10761.0,10920.0,11211.0,11464.0,11841.0,12092.0,12359.0,12616.0,12777.0,13039.0,13297.0,13564.0,13716.0,13985.0,14145.0,14306.0,14459.0,14726.0,14994.0,15264.0,15525.0,15803.0,15973.0,16144.0,16301.0,16463.0,16625.0,16776.0,16931.0,17194.0,17350.0,17511.0,17669.0,17827.0,17981.0,18249.0,18413.0,18723.0,19000.0,19155.0,19315.0,19475.0,19759.0,19922.0,20118.0
Episode reward,0.0,64.37097732077322,74.87535065510693,86.33843899231232,82.09927019323611,85.65707660491184,79.50797846619031,81.60167738495973,91.25105728104059,80.61998542892263,91.18880569099701,90.65011564422862,90.75757870067237,86.31265214752113,79.79771642959132,85.67215657685833,86.95210377842415,83.71836353493862,91.84747593751023,89.62137174203815,85.33433821134159,90.55397685173213,84.9645215545638,90.43002276164498,91.23671575238062,78.50994732555111,90.94574044283002,85.21221817827764,90.17558669611164,78.16637349097996,85.11342039274417,82.01208909304974,85.09905354486357,89.84434102459505,90.36893837451413,90.37740527727462,90.89098983201022,90.0865688081241,90.45714728688611,87.04910271100076,84.09701346678982,83.25095439264263,90.33002323414215,91.24903214903779,90.66989259498634,83.52215845147907,82.66963997034748,78.39885312848973,84.33852882775373,84.26274594400684,84.81809904605451,90.07491449019543,85.01925172007127,84.8932515178906,84.09491945729705,90.3907387195862,83.53345820652444,89.76949215476856,89.66423753219175,90.4797664786386,83.76605636693517,83.61177437947282,83.78346748263162,83.72748869497138,80.22938615354148,88.24375136805413,88.83673395235404,90.45897783326576,89.85376234094251,90.60012177854605,90.42694796530307,90.23137511161947,84.0369710149034,90.30829365166409,89.95421755836706,90.46820322607536,90.38332978569193,90.47354087459206,83.3412308569111,90.15615597458587,79.93035806453452,82.96461348399922,90.10328498132402,89.85075216220582,89.77980516440856,81.31551449917637,90.27952915666901,86.63140212108533
Episode feedback,0.8,0.449353447791645,0.14249363831426556,0.14885496126391237,0.12666666624444445,0.09578544024603279,0.13259668471658376,0.09333333308444444,0.09032258006243497,0.06857142837551021,0.1466666656888889,0.08474576223307478,0.05421686714327188,0.05494505474379101,0.053846153708086784,0.04296874983215332,0.044897959000416494,0.015503875908899706,0.027972027776419387,0.02352941162629758,0.04659498191184595,0.018867924409635695,0.04545454528236915,0.03773584881927139,0.0194805193540226,0.0083565459377255,0.019736841975415514,0.00401606424089934,0.03086419734034446,0.019498607188026165,0.0,0.010101010066999967,0.011718749954223633,0.02484472034257938,0.0126582277679859,0.0,0.0,0.0,0.0064516128616024975,0.0,0.0037735848914204344,0.003623188392669607,0.006289308136545232,0.0,0.0126582277679859,0.0034482758501783593,0.0,0.00265957446101177,0.0,0.0,0.003906249984741211,0.0,0.0,0.003891050568517313,0.0037593984821075246,0.0,0.0,0.0,0.0,0.0,0.0037593984821075246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,99.93276262283325,128.66757822036743,148.41197299957275,169.14370727539062,186.85147285461426,211.85091471672058,236.19671511650085,246.70730876922607,268.9082851409912,280.3014953136444,292.6616008281708,303.76537585258484,321.9909043312073,348.9507944583893,366.5453374385834,382.9501497745514,399.40449047088623,409.0390691757202,420.50553917884827,439.0214877128601,449.2276532649994,466.9572491645813,477.18639969825745,486.9282593727112,508.0633409023285,517.7175464630127,532.2738537788391,542.4299430847168,563.5662143230438,578.3481492996216,595.3697700500488,610.0781037807465,620.0832252502441,629.7315165996552,639.014719247818,648.3028268814087,658.1146109104156,667.2441191673279,678.2787456512451,693.3595941066742,708.9587881565094,718.4720089435577,727.2833712100983,736.6776645183563,753.3192503452301,767.9021055698395,788.547441482544,802.9085733890533,817.780946969986,832.4469258785248,841.9899740219116,856.7032516002655,871.3713941574097,886.6494634151459,895.6039428710938,910.8278031349182,920.0286629199982,929.4328765869141,938.525331735611,953.855406999588,968.8946709632874,984.2048923969269,998.9277713298798,1014.6080310344696,1024.6940696239471,1034.7111322879791,1044.0475661754608,1053.4135024547577,1062.785014629364,1071.808928012848,1081.0333726406097,1095.726601600647,1104.9494783878326,1114.5012171268463,1123.7267303466797,1133.274334192276,1142.5489828586578,1157.4787273406982,1167.1433019638062,1184.786996126175,1200.4798593521118,1209.7275748252869,1219.1895589828491,1228.906737089157,1244.9559860229492,1254.5614931583405,1265.8888974189758
total minutes,0.0,1.6655460437138876,2.1444596370061237,2.4735328833262127,2.819061787923177,3.114191214243571,3.5308485786120096,3.9366119186083477,4.111788479487101,4.481804752349854,4.67169158856074,4.877693347136179,5.062756264209748,5.366515072186788,5.815846574306488,6.109088957309723,6.382502496242523,6.656741507848104,6.817317819595337,7.008425652980804,7.317024795214335,7.487127554416657,7.782620819409688,7.953106661637624,8.115470989545186,8.467722348372142,8.628625774383545,8.871230896313985,9.040499051411947,9.392770238717397,9.639135821660359,9.922829500834148,10.167968396345774,10.334720420837403,10.495525276660919,10.650245320796966,10.805047114690145,10.968576848506927,11.120735319455465,11.304645760854084,11.555993235111236,11.81597980260849,11.974533482392628,12.121389520168304,12.277961075305939,12.555320839087168,12.798368426163991,13.1424573580424,13.381809556484223,13.629682449499766,13.874115431308747,14.033166233698527,14.278387526671091,14.52285656929016,14.777491056919098,14.926732381184896,15.18046338558197,15.333811048666636,15.490547943115235,15.642088862260183,15.897590116659801,16.14824451605479,16.403414873282113,16.64879618883133,16.910133850574493,17.078234493732452,17.245185538132986,17.400792769591014,17.556891707579293,17.713083577156066,17.863482133547464,18.017222877343496,18.26211002667745,18.41582463979721,18.57502028544744,18.728778839111328,18.88790556987127,19.042483047644296,19.29131212234497,19.452388366063435,19.74644993543625,20.00799765586853,20.162126247088114,20.319825983047487,20.481778951485953,20.74926643371582,20.909358219305673,21.098148290316264
cummulative feedback,0.0,417.0,473.0,512.0,550.0,575.0,623.0,658.0,672.0,696.0,718.0,733.0,742.0,757.0,778.0,789.0,800.0,804.0,808.0,812.0,825.0,828.0,840.0,846.0,849.0,852.0,855.0,856.0,861.0,868.0,868.0,871.0,874.0,878.0,880.0,880.0,880.0,880.0,881.0,881.0,882.0,883.0,884.0,884.0,886.0,887.0,887.0,888.0,888.0,888.0,889.0,889.0,889.0,890.0,891.0,891.0,891.0,891.0,891.0,891.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,928.0,393.0,262.0,300.0,261.0,362.0,375.0,155.0,350.0,150.0,177.0,166.0,273.0,390.0,256.0,245.0,258.0,143.0,170.0,279.0,159.0,264.0,159.0,154.0,359.0,152.0,249.0,162.0,359.0,262.0,297.0,256.0,161.0,158.0,159.0,154.0,167.0,155.0,191.0,265.0,276.0,159.0,147.0,158.0,290.0,252.0,376.0,250.0,266.0,256.0,160.0,261.0,257.0,266.0,151.0,268.0,159.0,160.0,152.0,266.0,267.0,269.0,260.0,277.0,169.0,170.0,156.0,161.0,161.0,150.0,154.0,262.0,155.0,160.0,157.0,157.0,153.0,267.0,163.0,309.0,276.0,154.0,159.0,159.0,283.0,162.0,195.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
