,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Accumulated time steps,0.0,577.0,1576.0,1842.0,2841.0,3840.0,4290.0,5026.0,6025.0,6486.0,7041.0,8040.0,8498.0,8862.0,9311.0,9755.0,10392.0,10748.0,11275.0,11800.0,12060.0,12418.0,12709.0,13556.0,14199.0,14996.0,15281.0,15633.0,16179.0,16546.0,16899.0,17339.0,17873.0,18132.0,18521.0,19138.0,19421.0
Episode reward,0.0,71.08727734241147,-67.60461269420132,85.9107678972817,-64.92831912518236,-65.52144474178357,80.69147668447422,59.26898677423087,-54.252022584497816,76.76748992699343,71.80466703574055,-58.74384689444104,78.57286053656823,81.08947589895885,75.81592202530875,71.60913727494756,54.99577151918818,77.73664301706108,63.475361362919834,64.04705494369765,82.04474102549297,78.1369348363737,85.53455226687636,61.70311636796372,63.377466500437144,46.17256359456693,79.95477026341271,76.49416503876562,62.26153682455161,74.74192159270542,77.06330515429606,70.58934997897832,63.61920536819532,82.9824510725181,72.49926875466613,58.10400371613234,80.15983651959513
Episode feedback,0.8,0.3513043472151229,0.012024048084144241,0.08301886761124956,0.012024048084144241,0.012024048084144241,0.07572383056631664,0.04217687069091582,0.013026052091156261,0.026086956465028354,0.018050541483663283,0.012024048084144241,0.010940919013258383,0.008264462787150241,0.0,0.0022573363380195568,0.001572327041552945,0.002816901400515771,0.0,0.0,0.0,0.002801120440332996,0.0034482758501783593,0.0011820330955295117,0.0015576323963276753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.470892906188965,94.64291381835938,109.05510115623474,159.1789379119873,206.90178179740906,231.1296935081482,269.27323484420776,316.215292930603,338.15299558639526,364.3429777622223,411.3361885547638,433.4283661842346,451.507600069046,473.3931984901428,495.836927652359,527.4923896789551,546.0551331043243,572.281733751297,599.0181419849396,612.9639015197754,631.3930702209473,646.7211730480194,689.3407483100891,721.643960237503,762.1661250591278,777.2581841945648,795.4973819255829,823.2710075378418,842.1398501396179,860.5600697994232,883.2083230018616,910.3343901634216,924.2275156974792,944.2168395519257,975.6890285015106,990.7266261577606
total minutes,0.0,0.7411815484364828,1.5773818969726563,1.817585019270579,2.652982298533122,3.4483630299568175,3.8521615584691364,4.487887247403463,5.270254882176717,5.635883259773254,6.0723829627037045,6.855603142579397,7.223806103070577,7.525126667817434,7.889886641502381,8.263948794205984,8.791539827982584,9.100918885072073,9.53802889585495,9.983635699748993,10.21606502532959,10.523217837015787,10.77868621746699,11.489012471834819,12.027399337291717,12.702768750985463,12.954303069909413,13.258289698759715,13.72118345896403,14.035664168993632,14.342667829990386,14.720138716697694,15.172239836057027,15.403791928291321,15.736947325865428,16.26148380835851,16.512110435962676
cummulative feedback,0.0,202.0,214.0,236.0,248.0,260.0,294.0,325.0,338.0,350.0,360.0,372.0,377.0,380.0,380.0,381.0,382.0,383.0,383.0,383.0,383.0,384.0,385.0,386.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,575.0,998.0,265.0,998.0,998.0,449.0,735.0,998.0,460.0,554.0,998.0,457.0,363.0,448.0,443.0,636.0,355.0,526.0,524.0,259.0,357.0,290.0,846.0,642.0,796.0,284.0,351.0,545.0,366.0,352.0,439.0,533.0,258.0,388.0,616.0,282.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
