,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Accumulated time steps,0.0,587.0,855.0,1854.0,2213.0,2471.0,3195.0,3467.0,3717.0,4240.0,4580.0,4831.0,5078.0,5324.0,5575.0,5727.0,5971.0,6120.0,6461.0,6728.0,6989.0,7150.0,7321.0,7492.0,7746.0,7994.0,8249.0,8509.0,8656.0,8813.0,9145.0,9495.0,9663.0,9822.0,10199.0,10351.0,10590.0,10921.0,11171.0,11319.0,11594.0,11926.0,12253.0,12502.0,12749.0,13083.0,13248.0,13486.0,13921.0,14249.0,14404.0,14650.0,14887.0,15233.0,15654.0,15802.0,16128.0,16546.0,16695.0,17031.0,17269.0,17534.0,17690.0,18016.0,18267.0,18624.0,18792.0,19036.0,19277.0,19602.0,19839.0
Episode reward,0.0,70.01320675151592,86.83186811725945,-64.02175356041526,81.20560469375103,87.18851290412131,59.88432001994258,85.83621870619096,86.25289207162318,71.91909092459856,81.35140362974974,86.01489064432852,86.00129444277617,86.0558871288961,83.64799396175492,91.40511447441011,86.34382804271623,91.6744055011286,81.66506219730674,84.5618721442044,86.55328515696084,90.59786090998652,90.13774559117945,90.85848961904276,87.55731462172709,85.87377698327353,86.63141037192106,83.02712484702546,90.24849716113339,88.9302259547088,78.03129838171274,81.19177988069595,92.0222477341858,91.88772137476825,77.29052687313163,91.55684038289554,85.72511438665356,77.2371725465687,84.33197474862409,91.40364821460496,81.80873092515661,78.60171151938779,78.90301872189134,86.95732471283392,83.46293329942812,77.95896390110767,87.02139598241413,85.20116957324693,72.06878449308564,79.41822656811472,89.60829296286988,83.7093213144612,85.24095187760012,76.48226740610853,71.86012644162415,90.57218475371482,79.49984699898317,73.42991169187093,90.37815666898928,78.91843590155818,85.2482297348962,83.12361779060117,89.4990729569904,79.53459080451663,84.3802029642136,75.35841655080984,88.21151859659733,83.94733682338016,84.36844127281486,79.32388921818969,85.25764633968757
Episode feedback,0.8,0.32136752081817516,0.2659176020003086,0.014028056098168281,0.09497206677382104,0.07392996080182895,0.06777316726449077,0.09594095905556842,0.06425702785438944,0.04022988498040252,0.03539822998407602,0.031999999872,0.024390243803291693,0.024489795818409,0.007999999968,0.019867549537300997,0.03292181056410778,0.01351351342220599,0.011764705847750865,0.018796992410537623,0.003846153831360947,0.0,0.005882352906574395,0.01176470581314879,0.0039525691543376715,0.0,0.011811023575547152,0.0,0.0,0.0,0.003021148027126441,0.0028653295046838696,0.0,0.00632911388399295,0.00265957446101177,0.006622516512433666,0.004201680654614787,0.0,0.00401606424089934,0.00680272104215836,0.0,0.0,0.003067484653167225,0.004032258048257024,0.0,0.003003002993984976,0.006097560938429507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,35.28252911567688,51.77903389930725,98.3879165649414,116.90345001220703,129.9916865825653,166.35650062561035,180.51291060447693,193.61832404136658,219.9906725883484,237.31804418563843,250.57437539100647,263.5605344772339,276.69155621528625,289.75718450546265,298.0713565349579,310.9608631134033,319.0892798900604,336.9254152774811,350.9160304069519,364.6960127353668,373.44230341911316,382.9250738620758,392.21611309051514,405.6346662044525,418.88482999801636,432.49163579940796,446.3958897590637,454.4851305484772,463.29890632629395,480.39531540870667,498.5035500526428,507.50554895401,516.2932999134064,535.6587026119232,544.0852270126343,556.2254357337952,572.9203193187714,585.6116244792938,593.5780019760132,607.5504095554352,624.7428131103516,641.923496723175,655.0550436973572,668.0588335990906,685.2848334312439,694.4838058948517,707.0288293361664,728.77960729599,745.7618482112885,754.5196759700775,767.6733376979828,780.4924716949463,798.6152100563049,819.8186876773834,827.8156845569611,844.5509159564972,865.7265453338623,874.0714526176453,890.7366971969604,902.8119738101959,916.1596114635468,924.7762126922607,941.4142525196075,954.5440099239349,972.9093294143677,982.1011121273041,994.825591802597,1007.1769926548004,1023.0671832561493,1035.1327211856842
total minutes,0.0,0.588042151927948,0.8629838983217876,1.63979860941569,1.9483908335367839,2.166528109709422,2.7726083437601727,3.0085485100746157,3.2269720673561095,3.6665112098058064,3.955300736427307,4.176239589850108,4.392675574620565,4.611525936921438,4.829286408424378,4.967855942249298,5.1826810518900555,5.31815466483434,5.615423587958018,5.848600506782532,6.07826687892278,6.224038390318553,6.38208456436793,6.536935218175253,6.7605777700742085,6.981413833300272,7.2081939299901325,7.439931495984395,7.574752175807953,7.721648438771566,8.00658859014511,8.30839250087738,8.458425815900167,8.604888331890105,8.927645043532054,9.068087116877239,9.270423928896586,9.54867198864619,9.760193741321563,9.892966699600219,10.125840159257253,10.41238021850586,10.698724945386251,10.91758406162262,11.134313893318176,11.421413890520732,11.574730098247528,11.78381382226944,12.1463267882665,12.429364136854808,12.575327932834625,12.794555628299713,13.008207861582438,13.310253500938416,13.663644794623057,13.796928075949351,14.075848599274954,14.428775755564372,14.56785754362742,14.845611619949342,15.046866230169933,15.26932685772578,15.412936878204345,15.69023754199346,15.909066832065582,16.21515549023946,16.3683518687884,16.580426530043283,16.78628321091334,17.051119720935823,17.252212019761405
cummulative feedback,0.0,188.0,259.0,273.0,307.0,326.0,375.0,401.0,417.0,438.0,450.0,458.0,464.0,470.0,472.0,475.0,483.0,485.0,489.0,494.0,495.0,495.0,496.0,498.0,499.0,499.0,502.0,502.0,502.0,502.0,503.0,504.0,504.0,505.0,506.0,507.0,508.0,508.0,509.0,510.0,510.0,510.0,511.0,512.0,512.0,513.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,585.0,267.0,998.0,358.0,257.0,723.0,271.0,249.0,522.0,339.0,250.0,246.0,245.0,250.0,151.0,243.0,148.0,340.0,266.0,260.0,160.0,170.0,170.0,253.0,247.0,254.0,259.0,146.0,156.0,331.0,349.0,167.0,158.0,376.0,151.0,238.0,330.0,249.0,147.0,274.0,331.0,326.0,248.0,246.0,333.0,164.0,237.0,434.0,327.0,154.0,245.0,236.0,345.0,420.0,147.0,325.0,417.0,148.0,335.0,237.0,264.0,155.0,325.0,250.0,356.0,167.0,243.0,240.0,324.0,236.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
