,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Accumulated time steps,0.0,1000.0,1999.0,2432.0,3431.0,4000.0,4447.0,4799.0,5200.0,5678.0,6045.0,6493.0,6897.0,7159.0,7416.0,7971.0,8248.0,8617.0,9003.0,9404.0,9861.0,10373.0,10902.0,11440.0,11792.0,12519.0,12963.0,13408.0,13681.0,14148.0,14539.0,15100.0,15808.0,16427.0,16688.0,17424.0,17683.0,18076.0,18337.0,18597.0,19216.0
Episode reward,0.0,-47.378828541672696,-68.46970894852831,76.20554781973658,-62.369127822535006,79.9795335376378,74.30401264229864,86.41127877113955,69.50667524461495,78.11795427905119,80.15448462637879,76.47245426676209,77.5654430457032,83.59154307422743,84.67122179196843,75.37868755077574,87.07213757929087,79.94364241802839,78.14681390649179,83.57900780951675,75.49367287580444,78.54263740223536,65.28368478143514,63.89307125632625,77.6168325628109,50.29112072322514,71.51021130416373,70.48031193029578,85.43586690134043,75.51977804762652,74.64233983609273,63.69082636936293,53.01542039820822,59.944426835265396,83.22680552918635,51.78330783342751,83.65903353398988,74.44715395398217,83.21580251873345,83.3947288012641,59.942384506725226
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.248889207839966,91.48124146461487,111.92280983924866,157.78805565834045,184.30147218704224,205.6182701587677,222.37842774391174,241.99653124809265,264.76981139183044,282.3850429058075,303.858957529068,323.2526013851166,336.26063776016235,348.9681520462036,375.1234769821167,388.56223344802856,405.99899411201477,424.4437220096588,443.6256573200226,465.4228312969208,489.76278805732727,514.8170506954193,540.5831379890442,557.7093887329102,591.8270416259766,612.9846875667572,634.1861171722412,647.6794123649597,669.7891473770142,688.5901103019714,714.9458882808685,748.2935738563538,777.3487365245819,790.3072559833527,824.6358871459961,837.4088382720947,856.300360918045,869.2266454696655,882.0155098438263,911.0970742702484
total minutes,0.0,0.7541481534639994,1.524687357743581,1.8653801639874776,2.6298009276390077,3.0716912031173704,3.426971169312795,3.7063071290651957,4.033275520801544,4.412830189863841,4.706417381763458,5.0643159588178,5.387543356418609,5.604343962669373,5.816135867436727,6.252057949701945,6.476037224133809,6.766649901866913,7.074062033494314,7.393760955333709,7.757047188282013,8.162713134288788,8.580284178256989,9.00971896648407,9.295156478881836,9.863784027099609,10.216411459445954,10.569768619537353,10.794656872749329,11.16315245628357,11.476501838366191,11.915764804681142,12.471559564272562,12.955812275409698,13.171787599722544,13.743931452433268,13.956813971201578,14.271672681967418,14.48711075782776,14.700258497397105,15.184951237837474
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,432.0,998.0,568.0,446.0,351.0,400.0,477.0,366.0,447.0,403.0,261.0,256.0,554.0,276.0,368.0,385.0,400.0,456.0,511.0,528.0,537.0,351.0,726.0,443.0,444.0,272.0,466.0,390.0,560.0,707.0,618.0,260.0,735.0,258.0,392.0,260.0,259.0,618.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
