,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Accumulated time steps,0.0,907.0,1168.0,1333.0,1889.0,2340.0,3025.0,3595.0,4068.0,4683.0,5385.0,5789.0,6375.0,7217.0,7603.0,8099.0,8511.0,9500.0,9887.0,10696.0,11170.0,11653.0,12306.0,12853.0,13387.0,13627.0,14022.0,14674.0,15611.0,16057.0,16761.0,17452.0,18064.0,19063.0,19369.0,20279.0
Episode reward,0.0,51.22472962064318,86.90802570994524,90.86700976444136,74.68648653899355,79.46954243794173,66.66523291355621,72.28804743754955,80.35124181239927,74.09066173925824,73.47696336100992,81.48163522488488,80.61846741032626,74.76392424508099,89.1246329444873,82.79758737962173,89.65220295591955,71.39582999760775,90.26027590929598,75.33345719647573,83.44813310907838,88.00225811755868,80.49979858075324,85.03443391925632,82.28888433897356,92.1766110762204,86.28330086812905,81.35621600122153,68.12367987027667,85.86654201029232,74.7234093053885,78.42441825837886,83.09101490047365,-29.467522171845673,90.54321166987845,72.14618097576283
Episode feedback,0.8,0.2475138118812002,0.2653846143639053,0.15243902346073768,0.2216216212223034,0.17333333294814815,0.1271929822701857,0.10896309295437066,0.08686440659562626,0.07328990216076563,0.08701854481167112,0.04714640186812307,0.04444444436847104,0.026159334094935392,0.031168831087873165,0.02020202016120804,0.01703163012887681,0.011133603227597568,0.010362694273671777,0.008663366325911675,0.004228329800785772,0.002074688792376164,0.0030674846578719562,0.0,0.0018761726043599013,0.0,0.002538071059548043,0.0015360983079322607,0.001068376067234641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,59.20831608772278,77.87218832969666,88.14711213111877,123.90053129196167,151.14916849136353,190.27014803886414,222.0631308555603,248.17141580581665,280.86448860168457,318.7175843715668,340.08630299568176,370.5368432998657,414.0594744682312,435.5274202823639,463.21715569496155,485.967515707016,537.8623404502869,558.3548347949982,600.6773607730865,626.1345708370209,651.1172235012054,684.1959023475647,711.7430143356323,738.4466090202332,750.8337986469269,771.0137507915497,803.0785024166107,850.0734112262726,872.3097860813141,906.8886330127716,940.907173871994,971.115275144577,1019.7192993164062,1035.3218078613281,1080.0026307106018
total minutes,0.0,0.9868052681287129,1.2978698054949442,1.4691185355186462,2.065008854866028,2.519152808189392,3.171169133981069,3.701052180926005,4.136190263430278,4.681074810028076,5.311959739526113,5.668105049928029,6.175614054997762,6.900991241137187,7.2587903380393985,7.720285928249359,8.099458595116934,8.964372340838114,9.30591391324997,10.01128934621811,10.435576180617014,10.85195372502009,11.403265039126078,11.862383572260539,12.307443483670552,12.513896644115448,12.850229179859161,13.384641706943512,14.167890187104543,14.538496434688568,15.11481055021286,15.6817862311999,16.18525458574295,16.995321655273436,17.25536346435547,18.000043845176698
cummulative feedback,0.0,224.0,293.0,318.0,441.0,519.0,606.0,668.0,709.0,754.0,815.0,834.0,860.0,882.0,894.0,904.0,911.0,922.0,926.0,933.0,935.0,936.0,938.0,938.0,939.0,939.0,940.0,941.0,942.0,942.0,942.0,942.0,942.0,942.0,942.0,942.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,905.0,260.0,164.0,555.0,450.0,684.0,569.0,472.0,614.0,701.0,403.0,585.0,841.0,385.0,495.0,411.0,988.0,386.0,808.0,473.0,482.0,652.0,546.0,533.0,239.0,394.0,651.0,936.0,445.0,703.0,690.0,611.0,998.0,305.0,909.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
