,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Accumulated time steps,0.0,1000.0,1722.0,2537.0,3263.0,3815.0,4293.0,5073.0,5412.0,5757.0,6020.0,6308.0,6581.0,6834.0,7087.0,7523.0,7779.0,8134.0,8745.0,9043.0,9514.0,9793.0,9954.0,10388.0,10639.0,10894.0,11235.0,11577.0,11740.0,12015.0,12459.0,12891.0,13321.0,13877.0,14045.0,14321.0,14595.0,14962.0,15243.0,15639.0,15815.0,16201.0,16368.0,16643.0,16912.0,17203.0,17496.0,17780.0,17948.0,18416.0,18879.0,19162.0,19485.0,19658.0,19928.0
Episode reward,0.0,-63.322984332052606,69.84893782768741,86.2160904517148,90.6520967496052,84.62660880451203,89.77715435943766,77.38003436336163,79.88355833605178,79.84598595446926,84.87091505307937,83.04090767503257,85.86552216961613,84.9949295152375,86.01356190097381,75.2679134957331,86.0562472139589,77.57758940443591,65.16293604003239,79.56822788266001,76.49924987973101,84.48032226696911,89.79683312091923,72.0371717844088,84.70865339040073,84.28202255316762,78.31045970047555,78.07111594346506,89.45149244303961,82.2783848503352,71.4691717134909,71.7844931624629,72.23074632455601,63.075600993132504,90.53630070515217,85.59869960811805,84.8405609935472,80.99638909814455,83.94018791131651,77.1267267594787,90.16241516743001,78.22099402372007,90.49552407198341,85.6881868966601,85.98673657240356,82.3472682557184,83.999521838751,83.2354365046219,90.44855345895472,76.12037561912813,76.3114570124931,83.36364192119896,79.03281168107179,90.37392731294712,85.99832205729994
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.16756248474121,74.35426545143127,108.0960021018982,138.23312211036682,161.33677768707275,181.45522117614746,214.0495467185974,229.26248741149902,244.21660947799683,255.73537158966064,268.35148906707764,280.3784394264221,291.5144855976105,302.80652356147766,321.4142327308655,332.696533203125,347.9408679008484,373.59064626693726,386.64191913604736,406.8640167713165,419.2269608974457,426.736900806427,445.3887560367584,456.66432547569275,468.4134085178375,483.0483980178833,497.7767913341522,505.4022378921509,517.3801815509796,536.4195704460144,554.772230386734,573.0103781223297,596.4351131916046,604.3651552200317,617.1120908260345,629.3633282184601,645.3891413211823,657.818249464035,675.2922186851501,683.5056772232056,700.7998888492584,708.8100228309631,721.2132997512817,733.2452235221863,746.2945942878723,759.3731625080109,772.0865840911865,779.8176708221436,799.9197475910187,819.6787121295929,832.1718442440033,846.2821338176727,854.2786247730255,866.5005185604095
total minutes,0.0,0.7027927080790202,1.2392377575238547,1.8016000350316366,2.303885368506114,2.6889462947845457,3.0242536862691245,3.567492445309957,3.821041456858317,4.0702768246332806,4.262256193161011,4.4725248177846275,4.672973990440369,4.858574759960175,5.046775392691294,5.356903878847758,5.544942220052083,5.79901446501414,6.226510771115621,6.444031985600789,6.781066946188608,6.987116014957428,7.112281680107117,7.423145933945974,7.611072091261546,7.806890141963959,8.050806633631389,8.296279855569203,8.423370631535848,8.62300302584966,8.94032617410024,9.2462038397789,9.550172968705494,9.940585219860077,10.07275258700053,10.285201513767243,10.489388803641,10.756485688686372,10.963637491067251,11.25487031141917,11.391761287053425,11.679998147487641,11.813500380516052,12.020221662521362,12.220753725369772,12.438243238131205,12.656219375133514,12.868109734853109,12.996961180369059,13.331995793183644,13.661311868826548,13.869530737400055,14.104702230294546,14.237977079550426,14.441675309340159
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,721.0,814.0,725.0,551.0,477.0,779.0,338.0,344.0,262.0,287.0,272.0,252.0,252.0,435.0,255.0,354.0,610.0,297.0,470.0,278.0,160.0,433.0,250.0,254.0,340.0,341.0,162.0,274.0,443.0,431.0,429.0,555.0,167.0,275.0,273.0,366.0,280.0,395.0,175.0,385.0,166.0,274.0,268.0,290.0,292.0,283.0,167.0,467.0,462.0,282.0,322.0,172.0,269.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
