,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Accumulated time steps,0.0,1000.0,1999.0,2514.0,3018.0,4017.0,4524.0,5340.0,5998.0,6617.0,7367.0,7970.0,8221.0,8927.0,9363.0,9981.0,10750.0,11031.0,11466.0,12178.0,12699.0,12944.0,13203.0,13588.0,13943.0,14624.0,15048.0,15389.0,15726.0,16407.0,17002.0,17524.0,17948.0,18333.0,18769.0,19364.0,19874.0
Episode reward,0.0,-69.85397345993721,-62.28893407728179,71.53769704652598,71.0559985962879,-58.36065318563368,73.80422924122966,53.35381601283006,65.20808214770167,63.967372977638576,59.013932647851846,64.61316379358483,86.97978785426201,60.61609045431697,74.52669127063695,67.67088931286943,62.54150138989098,85.0252520606677,75.39379863841266,53.663879698219176,64.00246212193126,86.8129171910817,85.07139488834906,77.80125130132821,79.47547099146345,53.070544432822366,70.96903258622957,76.83565908925966,76.86162152217247,53.06735838681635,59.019328903679124,64.32636040749179,70.86902499622448,72.94564864023967,70.28985750046348,58.94177726977689,64.80646582876187
Episode feedback,0.8,0.22745490959172854,0.2745490979212935,0.1167315172826235,0.06163021856534748,0.01803607212621636,0.045454545364714334,0.022085889543452895,0.02435312020646405,0.012944983797823651,0.014686248311500337,0.006644518261387843,0.003999999984,0.004255319142900256,0.0022988505694279296,0.009724473241937644,0.0013020833316379123,0.007142857117346939,0.0,0.0014064697589219835,0.0019230769193786983,0.0,0.0,0.0,0.00282485874908232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,69.02712106704712,142.1290624141693,172.833669424057,198.96849083900452,247.8781135082245,273.8449807167053,314.8615074157715,347.58264422416687,379.0897397994995,417.2632005214691,446.5077738761902,459.7719085216522,495.6508717536926,517.9586772918701,548.6484777927399,587.328423500061,601.584016084671,622.9201920032501,656.6916511058807,681.5074422359467,693.7133252620697,706.8946516513824,726.1646945476532,743.840325832367,775.7633247375488,796.0561790466309,812.4903564453125,828.4946599006653,861.518119096756,890.5648455619812,915.6541860103607,937.2908947467804,957.0054836273193,979.1768200397491,1008.6605648994446,1034.6068320274353
total minutes,0.0,1.1504520177841187,2.368817706902822,2.880561157067617,3.3161415139834087,4.131301891803742,4.564083011945089,5.247691790262858,5.7930440704027815,6.318162329991659,6.954386675357819,7.441796231269836,7.662865142027537,8.260847862561544,8.632644621531169,9.144141296545664,9.788807058334351,10.02640026807785,10.382003200054168,10.944860851764679,11.35845737059911,11.561888754367828,11.78157752752304,12.102744909127553,12.397338763872783,12.929388745625813,13.267602984110514,13.541505940755208,13.808244331677754,14.358635318279266,14.84274742603302,15.260903100172678,15.62151491244634,15.950091393788655,16.319613667329154,16.811009414990743,17.243447200457254
cummulative feedback,0.0,227.0,501.0,561.0,592.0,610.0,633.0,651.0,667.0,675.0,686.0,690.0,691.0,694.0,695.0,701.0,702.0,704.0,704.0,705.0,706.0,706.0,706.0,706.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,514.0,503.0,998.0,506.0,815.0,657.0,618.0,749.0,602.0,250.0,705.0,435.0,617.0,768.0,280.0,434.0,711.0,520.0,244.0,258.0,384.0,354.0,680.0,423.0,340.0,336.0,680.0,594.0,521.0,423.0,384.0,435.0,594.0,509.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
