,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3237.0,3484.0,3815.0,4061.0,4306.0,4645.0,4791.0,5027.0,5295.0,5630.0,6629.0,7101.0,7660.0,8395.0,8772.0,9332.0,9971.0,10419.0,10929.0,11877.0,12183.0,12586.0,13033.0,13411.0,14363.0,14848.0,15847.0,16633.0,17228.0,17850.0,18644.0,19521.0,19828.0,20581.0
Episode reward,0.0,-64.93947316326599,-63.81211652352915,-51.72388385363223,88.0489094472102,85.8453936376595,83.67124491378705,88.43616324377965,89.64580084952546,88.57351758406435,92.6887419237165,87.58176963952394,87.56718523804145,88.29347416762613,-42.250137726537055,79.78714518997853,78.71680581417048,74.20091745929875,85.77335004210099,78.61542970403316,79.95891764852479,86.9274073526306,84.30750378150901,59.48954755369617,89.20207791507039,84.2918828771118,82.92957620772773,87.71409481310421,68.35025340231365,87.13472186416647,-30.379999098402518,72.99875107990978,75.17214270588674,85.65276532539399,72.08573356417808,70.25581401266123,88.22572322718847,78.0615321005682
Episode feedback,0.8,0.014028056098168281,0.10220440871522604,0.17134268519905543,0.13865546160228798,0.10162601584704872,0.08787878761248852,0.0775510200916285,0.07377049150094062,0.07100591694968664,0.055172413412604045,0.0723404252240833,0.04494382005639019,0.05389221540750834,0.04208416829450484,0.021231422460230527,0.03405017915044771,0.01907356945630304,0.01063829784404708,0.01788908762452757,0.017241379283320722,0.00894854584127842,0.005893909615139667,0.004223864831864979,0.0,0.002487562182866761,0.0,0.0,0.003154574129175001,0.00413223139642101,0.0,0.0012738853486956875,0.0016835016806675057,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.0818829536438,97.39683437347412,153.92284846305847,167.74113130569458,181.60715222358704,199.39580726623535,212.8054621219635,226.09268927574158,244.15797519683838,252.3799467086792,265.3712363243103,279.6208848953247,297.2056403160095,347.2002248764038,370.55122566223145,398.42231845855713,434.6691663265228,453.49072670936584,481.2379710674286,512.806289434433,534.9550142288208,560.0389080047607,605.7653386592865,620.9272680282593,640.6838989257812,662.6742553710938,681.6207566261292,727.1301803588867,751.0926623344421,799.0429928302765,837.3764758110046,866.3771407604218,896.7308802604675,935.2713959217072,977.3929769992828,992.6201741695404,1028.849582195282
total minutes,0.0,0.7513647158940633,1.6232805728912354,2.565380807717641,2.7956855217615764,3.0267858703931174,3.3232634544372557,3.5467577020327252,3.7682114879290265,4.069299586613973,4.206332445144653,4.422853938738505,4.6603480815887455,4.953427338600159,5.78667041460673,6.175853761037191,6.640371974309286,7.244486105442047,7.558178778489431,8.02063285112381,8.546771490573883,8.91591690381368,9.333981800079346,10.096088977654775,10.348787800470989,10.678064982096354,11.044570922851562,11.360345943768818,12.118836339314779,12.518211038907369,13.31738321383794,13.956274596850077,14.439619012673695,14.945514671007793,15.587856598695119,16.289882949988048,16.54366956949234,17.147493036588035
cummulative feedback,0.0,14.0,116.0,287.0,320.0,345.0,374.0,393.0,411.0,435.0,443.0,460.0,472.0,490.0,532.0,542.0,561.0,575.0,579.0,589.0,600.0,604.0,607.0,611.0,611.0,612.0,612.0,612.0,615.0,617.0,617.0,618.0,619.0,619.0,619.0,619.0,619.0,619.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,238.0,246.0,330.0,245.0,244.0,338.0,145.0,235.0,267.0,334.0,998.0,471.0,558.0,734.0,376.0,559.0,638.0,447.0,509.0,947.0,305.0,402.0,446.0,377.0,951.0,484.0,998.0,785.0,594.0,621.0,793.0,876.0,306.0,752.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
