,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Accumulated time steps,0.0,615.0,1228.0,1622.0,1994.0,2266.0,2545.0,2833.0,3832.0,4831.0,5476.0,6289.0,6652.0,6919.0,7177.0,7565.0,7820.0,8266.0,8633.0,8890.0,9173.0,9431.0,9780.0,10160.0,10628.0,11151.0,11401.0,11769.0,12131.0,12494.0,12852.0,13405.0,13836.0,14100.0,14539.0,14800.0,15083.0,15350.0,16125.0,16589.0,16876.0,17169.0,17540.0,17921.0,18289.0,18755.0,19033.0,19300.0,19486.0,19757.0
Episode reward,0.0,69.41918439263894,66.9468516412087,79.07029221937657,81.59229514919753,87.0603092531968,85.19289394597276,85.60841482620994,-59.85024874163214,-58.40504409141194,68.44258608418565,56.05494956760004,79.69399112137418,87.428469971364,86.98707924308862,76.60255039076098,86.15814381496635,77.2219002658995,81.94572743238626,86.68566743838691,83.5031298834159,86.64358023612141,83.08847463803335,79.56455582031981,73.58834957270723,68.06945859151483,85.53601170506221,78.6231332518264,79.18318899353021,79.67081887731497,81.44510183547789,68.65320564657992,77.1159590618678,85.03921018731326,76.01736942454443,85.76720475893207,85.03482404305325,88.66732665842545,70.59241473142656,82.4805867504941,87.29743173642328,86.74311450045661,84.30658567766585,82.29462520126103,84.87882825381077,82.59258246772359,85.803087243909,88.59507354821591,90.38865351715839,87.38406258031262
Episode feedback,0.8,0.4371941265298628,0.19607843105215944,0.10687022873569917,0.20215633368691016,0.16974169679062104,0.08992805723047462,0.10801393690587478,0.04408817630852888,0.07214428850486544,0.037267080687473475,0.0209359605653498,0.008287292794786485,0.011278195446322574,0.007782101137034626,0.010335917285953702,0.007874015717031434,0.004494382012372175,0.005464480859386664,0.0,0.0035460992782053217,0.003891050568517313,0.0,0.0,0.006423982855623163,0.0,0.0,0.005449591265804929,0.005540166189639429,0.0027624309315954945,0.002801120440332996,0.0,0.0,0.0,0.0,0.003846153831360947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,39.88859224319458,74.88607835769653,95.95837259292603,117.59301209449768,133.1015055179596,147.5584478378296,162.86456274986267,210.78461909294128,261.0402443408966,292.20172476768494,330.82186818122864,348.75799107551575,361.9653458595276,375.24332642555237,394.5497281551361,407.86464953422546,430.10653710365295,448.61470222473145,462.110666513443,476.9858810901642,490.2169408798218,508.4607617855072,528.1705176830292,552.2108721733093,578.6473300457001,591.8765451908112,610.7386944293976,629.3336284160614,648.2613306045532,666.6711120605469,694.2346932888031,715.4765756130219,729.0642223358154,751.4276258945465,765.2037241458893,779.2790567874908,792.880156993866,831.1141753196716,853.6505842208862,868.1236817836761,882.9578249454498,901.4636261463165,920.744255065918,939.4841332435608,963.2281310558319,977.9901185035706,991.9320936203003,1001.9026396274567,1015.8768174648285
total minutes,0.0,0.6648098707199097,1.2481013059616088,1.5993062098821005,1.9598835349082946,2.2183584252993267,2.4593074639638264,2.714409379164378,3.5130769848823546,4.3506707390149435,4.8700287461280825,5.513697803020477,5.812633184591929,6.03275576432546,6.254055440425873,6.575828802585602,6.7977441589037575,7.168442285060882,7.476911703745524,7.701844441890716,7.94976468483607,8.170282347997029,8.474346029758454,8.80284196138382,9.203514536221823,9.644122167428334,9.86460908651352,10.17897824048996,10.488893806934357,10.804355510075887,11.111185201009114,11.570578221480051,11.924609593550365,12.151070372263591,12.523793764909108,12.753395402431488,12.987984279791513,13.2146692832311,13.851902921994528,14.22750973701477,14.468728029727936,14.71596374909083,15.024393769105275,15.345737584431966,15.65806888739268,16.053802184263866,16.299835308392844,16.53220156033834,16.698377327124277,16.931280291080476
cummulative feedback,0.0,268.0,388.0,430.0,505.0,551.0,576.0,607.0,651.0,723.0,747.0,764.0,767.0,770.0,772.0,776.0,778.0,780.0,782.0,782.0,783.0,784.0,784.0,784.0,787.0,787.0,787.0,789.0,791.0,792.0,793.0,793.0,793.0,793.0,793.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,613.0,612.0,393.0,371.0,271.0,278.0,287.0,998.0,998.0,644.0,812.0,362.0,266.0,257.0,387.0,254.0,445.0,366.0,256.0,282.0,257.0,348.0,379.0,467.0,522.0,249.0,367.0,361.0,362.0,357.0,552.0,430.0,263.0,438.0,260.0,282.0,266.0,774.0,463.0,286.0,292.0,370.0,380.0,367.0,465.0,277.0,266.0,185.0,270.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
