,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Accumulated time steps,0.0,359.0,1232.0,1585.0,1955.0,2339.0,2707.0,3248.0,3397.0,4396.0,5395.0,5801.0,6225.0,7224.0,7882.0,8217.0,8738.0,9551.0,10051.0,10827.0,11826.0,12219.0,12903.0,13288.0,13768.0,14184.0,14584.0,15164.0,15949.0,16418.0,16891.0,17592.0,18053.0,19052.0,19783.0,20737.0
Episode reward,0.0,84.63875837530962,55.67924344541963,83.84221129928068,81.26647099459699,80.76590331191238,82.93475456467128,77.4007289723757,92.738817424041,-48.915963744454,-37.54343625566685,84.54403171237537,79.95868359450915,-40.43289713461047,75.9356106318309,85.96689942715494,84.07782086432258,70.10190252998669,82.28143008331719,71.68017417677609,-36.38580239782529,86.77089610584592,74.64030062684027,85.93915434019574,85.70095675208943,89.60217440447738,89.50035653839338,76.06586169931279,71.99215628431924,80.06240163588811,85.82693785422877,78.78317366185166,80.56845668931813,-37.89693067640491,74.90275366349373,67.8044786352207
Episode feedback,0.8,0.45098039089361236,0.26490825657694006,0.261363635621126,0.1598915984826786,0.14621409883495012,0.16621253360705032,0.13703703678326476,0.12162162079985392,0.08116232456797362,0.07014028049084141,0.04691358013107758,0.04728132376529238,0.04108216428749282,0.03196347027098406,0.020958083769586577,0.02307692303254438,0.018472906381191003,0.014028056084112112,0.0038709677369406868,0.01102204407713222,0.00510204080331112,0.002928257682389081,0.0,0.0,0.0,0.0,0.0,0.0025510204049094126,0.002136752132186427,0.0,0.0014285714265306123,0.0,0.0,0.0,0.0
total seconds,0.0,24.490681409835815,79.42886066436768,102.34765410423279,124.19311189651489,146.5570752620697,168.06786274909973,198.52436876296997,207.44303059577942,259.20911383628845,310.20455145835876,331.24192476272583,353.15557312965393,402.6961953639984,435.1934623718262,452.0000514984131,477.862402677536,517.4700000286102,542.2865691184998,579.4291062355042,627.6198544502258,647.06822681427,680.2039580345154,699.607183933258,723.1395330429077,743.6261675357819,763.3212258815765,791.3628470897675,828.9521398544312,851.9598331451416,874.8824760913849,908.639687538147,931.4485447406769,979.3390166759491,1014.4913759231567,1059.790510892868
total minutes,0.0,0.40817802349726356,1.3238143444061279,1.7057942350705464,2.0698851982752484,2.442617921034495,2.801131045818329,3.3087394793828326,3.45738384326299,4.320151897271474,5.170075857639313,5.52069874604543,5.885926218827565,6.71160325606664,7.2532243728637695,7.533334191640218,7.964373377958934,8.624500000476838,9.038109485308329,9.657151770591735,10.460330907503764,10.7844704469045,11.33673263390859,11.660119732220968,12.052325550715128,12.393769458929699,12.722020431359608,13.189380784829458,13.815868997573853,14.199330552419026,14.581374601523082,15.143994792302449,15.524142412344615,16.32231694459915,16.90818959871928,17.6631751815478
cummulative feedback,0.0,161.0,392.0,484.0,543.0,599.0,660.0,734.0,752.0,833.0,903.0,922.0,942.0,983.0,1004.0,1011.0,1023.0,1038.0,1045.0,1048.0,1059.0,1061.0,1063.0,1063.0,1063.0,1063.0,1063.0,1063.0,1065.0,1066.0,1066.0,1067.0,1067.0,1067.0,1067.0,1067.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,357.0,872.0,352.0,369.0,383.0,367.0,540.0,148.0,998.0,998.0,405.0,423.0,998.0,657.0,334.0,520.0,812.0,499.0,775.0,998.0,392.0,683.0,384.0,479.0,415.0,399.0,579.0,784.0,468.0,472.0,700.0,460.0,998.0,730.0,953.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
