,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Accumulated time steps,0.0,351.0,817.0,1298.0,1952.0,2708.0,2961.0,3960.0,4959.0,5802.0,6801.0,7456.0,8455.0,9454.0,10453.0,11452.0,12451.0,13450.0,14449.0,15448.0,16447.0,17446.0,18445.0,19444.0,20443.0
Episode reward,0.0,84.1274381411715,79.70890114602605,80.09776646188496,74.28740105426587,74.19525967649074,90.79322283105502,-29.06225280407768,-25.21920765782133,75.62964089889147,-29.04786715722496,81.46003458281085,-27.744081572280443,-28.59148788486941,-29.526707561348097,-28.97019907711852,-28.48824485257359,-27.84469772466008,-25.197861888480098,-25.51294131094772,-27.289071861939743,-26.629221264156477,-26.653338453921872,-27.025570890868632,-28.48444547867649
Episode feedback,0.8,0.4355300847119482,0.39999999913978496,0.337499999296875,0.2542113319231067,0.2105960262111311,0.166666666005291,0.14328657300271885,0.09318637265211786,0.07719714955202239,0.0450901803155409,0.038226299635739605,0.027054108189324542,0.012024048084144241,0.007014028049084141,0.0050100200350601,0.00100200400701202,0.0,0.00100200400701202,0.00100200400701202,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,25.656989574432373,61.898277044296265,95.52393937110901,137.98944664001465,184.39582014083862,199.7542381286621,256.21764183044434,309.99444699287415,354.69219970703125,405.6563377380371,439.6237783432007,489.8258430957794,538.8460037708282,588.2329437732697,637.6124229431152,686.5264449119568,735.4680790901184,784.3449177742004,835.2221896648407,885.0667359828949,934.5787682533264,984.2479701042175,1034.197184562683,1084.4597215652466
total minutes,0.0,0.4276164929072062,1.0316379507382711,1.59206565618515,2.299824110666911,3.073263669013977,3.3292373021443686,4.270294030507405,5.166574116547903,5.911536661783854,6.760938962300618,7.3270629723866785,8.163764051596324,8.980766729513805,9.80388239622116,10.626873715718586,11.44210741519928,12.25780131816864,13.072415296236674,13.920369827747345,14.75111226638158,15.576312804222107,16.404132835070293,17.236619742711387,18.07432869275411
cummulative feedback,0.0,152.0,338.0,500.0,666.0,825.0,867.0,1010.0,1103.0,1168.0,1213.0,1238.0,1265.0,1277.0,1284.0,1289.0,1290.0,1290.0,1291.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,349.0,465.0,480.0,653.0,755.0,252.0,998.0,998.0,842.0,998.0,654.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
