,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6797.0,7356.0,7741.0,8048.0,8325.0,9220.0,9527.0,10303.0,10859.0,11510.0,11878.0,12267.0,12813.0,13163.0,13601.0,14281.0,14555.0,14825.0,15094.0,15261.0,15630.0,15907.0,16295.0,16692.0,16872.0,17331.0,17633.0,17945.0,18649.0,19029.0,19427.0,19720.0,20198.0
Episode reward,0.0,-64.7519796775077,-62.61557525443911,-59.49332663151773,-65.04663736994148,-63.28432395802325,-62.685224712214236,54.87013478422937,70.12727741936646,77.60425556057226,79.83874120709123,84.04423751629875,44.3112266374825,81.20382329267089,52.47017103586301,66.41405992119633,58.17128492476938,77.00336534042572,77.17772380205884,67.03529654051444,80.14441651770105,72.37233014258396,58.62934571072711,83.86714380286774,84.73213302881943,83.46332816683476,89.12047554929833,78.91817545131123,83.22343808092424,77.08116641640655,76.74545824902513,89.1931945283759,72.93476195382176,81.73486703024801,79.2788204359972,56.679068462397375,76.96390311142775,74.83011937459897,80.56084850629193,72.25307776555366
Episode feedback,0.8,0.11823647282741837,0.2344689376408127,0.1603206411219232,0.12124248484845443,0.08917835662406978,0.03807615226645676,0.02122347063517669,0.01075268815277296,0.015624999959309896,0.009803921536588493,0.007246376785339214,0.0033557046942329924,0.006535947691058994,0.001290322578980229,0.0,0.0015384615360946746,0.0,0.0,0.003669724763908762,0.00859598851405161,0.0,0.0,0.0,0.0,0.0037313432696591668,0.006024096349252432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025188916813126154,0.0,0.0
total seconds,0.0,61.324180603027344,136.21178674697876,207.14954495429993,272.71029925346375,333.6897451877594,389.3719081878662,432.71256947517395,462.8434066772461,483.84032917022705,500.76201915740967,516.0667757987976,563.2290887832642,580.0553865432739,620.758960723877,650.2110199928284,684.6881337165833,704.3734285831451,725.0693321228027,754.4076080322266,773.8188252449036,797.065212726593,833.0435507297516,847.8701913356781,862.528265953064,877.332355260849,886.9876246452332,906.8088614940643,922.2783024311066,943.377649307251,964.957677602768,975.0378439426422,999.7535254955292,1016.3253500461578,1033.7275857925415,1070.9551274776459,1091.6274676322937,1112.957304239273,1129.0296211242676,1154.7304050922394
total minutes,0.0,1.0220696767171225,2.2701964457829793,3.452492415904999,4.545171654224395,5.561495753129323,6.489531803131103,7.211876157919566,7.714056777954101,8.064005486170451,8.346033652623495,8.60111292997996,9.38715147972107,9.667589775721233,10.345982678731282,10.836850333213807,11.411468895276387,11.73955714305242,12.084488868713379,12.573460133870443,12.896980420748394,13.284420212109884,13.884059178829194,14.131169855594635,14.375471099217732,14.62220592101415,14.783127077420552,15.113481024901072,15.371305040518443,15.722960821787517,16.082627960046132,16.25063073237737,16.662558758258818,16.93875583410263,17.228793096542358,17.84925212462743,18.193791127204896,18.549288403987884,18.817160352071127,19.245506751537324
cummulative feedback,0.0,118.0,352.0,512.0,633.0,722.0,760.0,777.0,783.0,789.0,792.0,794.0,797.0,799.0,800.0,800.0,801.0,801.0,801.0,803.0,806.0,806.0,806.0,806.0,806.0,807.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,809.0,809.0,809.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,801.0,558.0,384.0,306.0,276.0,894.0,306.0,775.0,555.0,650.0,367.0,388.0,545.0,349.0,437.0,679.0,273.0,269.0,268.0,166.0,368.0,276.0,387.0,396.0,179.0,458.0,301.0,311.0,703.0,379.0,397.0,292.0,477.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
