,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Accumulated time steps,0.0,1000.0,1327.0,1946.0,2660.0,3315.0,3940.0,4740.0,5003.0,5265.0,5523.0,6055.0,6316.0,6753.0,7006.0,7448.0,8182.0,8824.0,9114.0,9387.0,9735.0,10360.0,10707.0,10977.0,11412.0,11667.0,12036.0,12576.0,13100.0,13542.0,13805.0,14243.0,14521.0,14784.0,15038.0,15567.0,15831.0,16266.0,16709.0,17335.0,17589.0,17987.0,18590.0,18951.0
Episode reward,0.0,-77.6950733319237,78.29602983487639,66.89695763399666,71.75536881608267,48.752537692783406,59.23823674176555,37.4188224138467,83.79489601216056,84.84308544024044,86.25702652103647,65.46372444744006,87.17743395904381,74.65685804860476,85.10255487031756,73.04656093731776,55.021215990720755,72.03079481071455,85.21616859286156,86.99639948005392,79.47242449863117,61.9898787797651,79.54578871232732,87.24563291379671,73.83219478517442,84.94724456780413,76.44989597013168,67.16307202373929,67.94298472098012,73.53004142152429,84.40680484404837,73.09163512623802,82.99599578413137,84.41255147776228,84.93481219088913,67.10596941239095,84.32213353652593,73.75296633112202,73.4509276682447,60.39376051418142,84.941383408801,74.83597769233168,61.11668240665141,78.38366615999627
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.622565269470215,57.420283794403076,85.0815372467041,116.47071361541748,145.65859055519104,173.1345100402832,207.91513514518738,220.25804901123047,232.41667413711548,244.41232061386108,267.74437046051025,279.7351641654968,299.15418004989624,310.4246275424957,330.0534522533417,362.2996759414673,390.4753201007843,403.80002665519714,416.88287687301636,432.7418248653412,460.23775243759155,476.0815975666046,488.6748049259186,508.01731300354004,519.7297298908234,535.9710936546326,559.9098756313324,582.9050409793854,602.5154066085815,614.557977437973,634.1306984424591,646.8611783981323,659.1206798553467,671.1039245128632,694.3751695156097,706.4538395404816,725.5104582309723,745.7168707847595,773.310613155365,785.215499162674,803.0831751823425,829.4287753105164,845.8978412151337
total minutes,0.0,0.7103760878245036,0.9570047299067179,1.4180256207784017,1.941178560256958,2.4276431759198505,2.8855751673380534,3.4652522524197895,3.6709674835205077,3.873611235618591,4.073538676897685,4.4624061743418375,4.662252736091614,4.985903000831604,5.173743792374929,5.500890870889028,6.038327932357788,6.507922001679739,6.730000444253286,6.948047947883606,7.212363747755687,7.670629207293192,7.9346932927767435,8.144580082098644,8.466955216725667,8.662162164847055,8.932851560910542,9.331831260522206,9.71508401632309,10.041923443476358,10.24263295729955,10.568844974040985,10.781019639968871,10.985344664255779,11.18506540854772,11.572919491926829,11.774230659008026,12.091840970516206,12.428614513079326,12.888510219256084,13.086924986044567,13.384719586372375,13.82381292184194,14.098297353585561
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,326.0,618.0,713.0,654.0,624.0,799.0,262.0,261.0,257.0,531.0,260.0,436.0,252.0,441.0,733.0,641.0,289.0,272.0,347.0,624.0,346.0,269.0,434.0,254.0,368.0,539.0,523.0,441.0,262.0,437.0,277.0,262.0,253.0,528.0,263.0,434.0,442.0,625.0,253.0,397.0,602.0,360.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
