,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5922.0,6921.0,7920.0,8919.0,9742.0,10741.0,11701.0,12700.0,13699.0,14698.0,15697.0,16492.0,17491.0,18459.0,19458.0
Episode reward,0.0,-59.05022543185365,-67.44238490527843,-65.38110752330137,-71.3259927189775,-78.05891063410367,46.06578965181137,-81.17104638081379,-62.41718413686568,-81.27239841248537,39.92057677572901,-72.66816774152257,42.256367675643354,-70.7101773493365,-70.17109628255947,-56.128406807285074,-57.337443688429566,53.10992419843757,-57.28036668318551,43.24777106146857,-56.15868624372869
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.47034931182861,92.67652463912964,139.58603835105896,186.53423857688904,233.38137197494507,276.94537258148193,323.9435188770294,370.7979235649109,417.6237072944641,456.4123730659485,503.16683650016785,548.4705028533936,595.5672028064728,642.7322273254395,689.949830532074,736.8444354534149,774.6576898097992,821.5031409263611,866.9226922988892,913.9880483150482
total minutes,0.0,0.7578391551971435,1.544608743985494,2.3264339725176493,3.108903976281484,3.8896895329157513,4.615756209691366,5.399058647950491,6.179965392748515,6.960395121574402,7.606872884432475,8.386113941669464,9.14117504755656,9.926120046774546,10.712203788757325,11.499163842201233,12.280740590890248,12.910961496829987,13.691719015439352,14.44871153831482,15.233134138584138
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,925.0,998.0,998.0,998.0,822.0,998.0,959.0,998.0,998.0,998.0,998.0,794.0,998.0,967.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
