,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Accumulated time steps,0.0,609.0,889.0,1888.0,2364.0,2923.0,3276.0,4275.0,5274.0,5437.0,5810.0,6164.0,6443.0,6706.0,6963.0,7224.0,7474.0,7737.0,7903.0,8174.0,8539.0,9100.0,9368.0,9839.0,10218.0,10756.0,11212.0,11508.0,11855.0,12342.0,12831.0,13178.0,13477.0,13825.0,14135.0,14529.0,14803.0,15256.0,15620.0,15964.0,16214.0,16825.0,17162.0,17499.0,17865.0,18464.0,18889.0,19157.0,19849.0
Episode reward,0.0,69.7700792702282,84.68490443644754,-63.41449851662896,74.37280369072556,72.7369804018844,81.36934529970333,-63.91856025169716,-63.501525946774315,89.87818385990428,81.53836008692353,81.26390250464883,85.16473867456045,84.84992191875874,86.4026280984579,86.96234525774693,86.75674277248925,83.49578162680945,89.70296796804314,84.89061313367394,79.73613569097725,63.700331647089705,84.43255001730698,69.78849051181615,74.52955767946672,65.71476969099925,70.45050268862681,80.003300492654,78.33728225350207,69.540771423691,78.21603129467276,78.37179410989849,79.79262126052724,78.44736862270214,79.22187670188842,80.10027896003336,82.14945038644274,70.14937932527899,76.19220421192702,78.46567624464771,81.36338966810472,51.85939533815374,74.92731316208177,75.10818449240912,73.33074393168899,54.419175514685364,67.76797410497988,80.84219376240225,47.19849944428701
Episode feedback,0.8,0.3443163091526914,0.10035842257936049,0.01803607212621636,0.12631578920775624,0.11827956968050256,0.12215909056204804,0.013026052091156261,0.013026052091156261,0.03086419734034446,0.02688172035784484,0.005665722363553194,0.014388489156875938,0.030534351028494843,0.0,0.015384615325443787,0.01204819272269802,0.015267175514247422,0.006060606023875115,0.0,0.005494505479410699,0.00535714284757653,0.007490636676065031,0.0042553191398823,0.002645502638503961,0.0018621973894558709,0.0,0.0,0.0,0.002057613164490508,0.0020491803236697124,0.0,0.0,0.0,0.0032362459442192688,0.0025445292556118848,0.0,0.0,0.0,0.002915451886543872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,39.75146698951721,54.350319385528564,102.54008984565735,128.49999284744263,158.36982536315918,177.3004651069641,226.9340856075287,276.9035556316376,285.92821073532104,305.2118401527405,323.3771216869354,338.07821440696716,352.02363085746765,365.6013276576996,379.4135088920593,392.7744493484497,406.66110253334045,415.80161690711975,429.9952325820923,448.599196434021,477.1318151950836,491.39217495918274,515.6207025051117,534.5762510299683,560.5112593173981,583.2271366119385,598.6009712219238,616.5585260391235,641.2740743160248,666.3390624523163,683.9723281860352,699.2187931537628,716.6885387897491,732.2671971321106,752.2647771835327,766.561910867691,789.2529983520508,807.7570900917053,824.9959518909454,837.9943370819092,868.2857716083527,885.5750534534454,902.9393224716187,921.4198794364929,950.7623424530029,971.0658557415009,985.0133190155029,1018.0922350883484
total minutes,0.0,0.6625244498252869,0.9058386564254761,1.7090014974276224,2.141666547457377,2.639497089385986,2.9550077517827353,3.782234760125478,4.615059260527293,4.765470178922017,5.086864002545675,5.389618694782257,5.634636906782786,5.867060514291127,6.09335546096166,6.323558481534322,6.546240822474162,6.777685042222341,6.930026948451996,7.166587209701538,7.47665327390035,7.952196919918061,8.189869582653046,8.593678375085195,8.909604183832805,9.341854321956635,9.720452276865641,9.97668285369873,10.275975433985392,10.687901238600412,11.105651040871939,11.399538803100587,11.653646552562714,11.944808979829153,12.204453285535177,12.537746286392212,12.776031847794851,13.154216639200847,13.462618168195089,13.749932531515757,13.966572284698486,14.471429526805878,14.75958422422409,15.04898870786031,15.356997990608216,15.846039040883381,16.184430929025016,16.416888650258382,16.96820391813914
cummulative feedback,0.0,209.0,237.0,255.0,315.0,381.0,424.0,437.0,450.0,455.0,465.0,467.0,471.0,479.0,479.0,483.0,486.0,490.0,491.0,491.0,493.0,496.0,498.0,500.0,501.0,502.0,502.0,502.0,502.0,503.0,504.0,504.0,504.0,504.0,505.0,506.0,506.0,506.0,506.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,607.0,279.0,998.0,475.0,558.0,352.0,998.0,998.0,162.0,372.0,353.0,278.0,262.0,256.0,260.0,249.0,262.0,165.0,270.0,364.0,560.0,267.0,470.0,378.0,537.0,455.0,295.0,346.0,486.0,488.0,346.0,298.0,347.0,309.0,393.0,273.0,452.0,363.0,343.0,249.0,610.0,336.0,336.0,365.0,598.0,424.0,267.0,691.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
