,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
Accumulated time steps,0.0,1000.0,1467.0,1841.0,2205.0,2375.0,2534.0,2803.0,2966.0,3133.0,3384.0,3558.0,3913.0,4173.0,4324.0,4504.0,4658.0,4814.0,5015.0,5173.0,5327.0,5477.0,5734.0,5890.0,6046.0,6202.0,6357.0,6752.0,6906.0,7070.0,7324.0,7712.0,7865.0,8120.0,8279.0,8435.0,8594.0,8754.0,8911.0,9061.0,9210.0,9476.0,9702.0,9853.0,10007.0,10166.0,10322.0,10480.0,10646.0,10801.0,10958.0,11117.0,11278.0,11434.0,11585.0,11757.0,12131.0,12298.0,12698.0,12969.0,13141.0,13308.0,13466.0,13629.0,13901.0,14154.0,14307.0,14466.0,14630.0,14787.0,15069.0,15228.0,15388.0,15635.0,15895.0,16054.0,16208.0,16366.0,16543.0,16819.0,17075.0,17230.0,17514.0,17674.0,17948.0,18104.0,18256.0,18411.0,18567.0,18729.0,19004.0,19157.0,19311.0,19468.0,19624.0,19769.0,19936.0,20091.0
Episode reward,0.0,-54.4403725202152,74.06271843687603,78.91044814197545,81.3074032294123,90.54862138067806,90.77282609434636,84.82209560156933,91.26782112452358,90.36647583451779,86.51673251408967,89.60535490788725,80.10048093711413,85.13599824428836,91.45029862422415,89.74643470596024,91.2585269166954,91.04601240288056,87.55889546237134,90.40122862330782,90.8429262362293,90.82333602233797,86.82895681539412,91.26905278557605,91.1695513078187,90.7612439865211,90.8654510279888,77.10315941071498,90.97328930037254,91.00631609710234,85.4960748525726,77.51381867910632,91.03609576687285,84.99546846295144,90.45869691964987,91.13798957778101,90.77045560348593,91.35428488726504,91.37394964330144,91.70746045481211,91.32169746761905,85.10000546958666,83.88200901425483,91.2515339150156,91.07487579310704,90.07982471144555,90.6399418694005,89.93800123912553,89.54443251349096,90.89129100734209,90.49130153669377,90.13182413511879,90.78359762917455,91.38049562325328,90.91907590936918,88.80328149999633,75.99818476654202,89.55125673295117,75.63208836906071,84.54100378879129,89.91670381758051,90.1535448640391,90.57605325396227,90.16599833864636,84.63629934319292,84.8265671782693,90.98202260022333,90.71273664246897,90.00051532575145,90.66073006859249,83.58117426720956,91.37894252492165,91.18706735464413,85.00675248325368,85.45371991508495,91.37994628085436,90.5684708049747,91.33756243463438,89.4044221252737,85.80141835218534,85.58694507827761,91.02633454184948,83.32708224885715,90.34284212147524,85.85881677312622,90.7048234593239,90.94217972426756,90.9536385885994,90.68933987975127,91.3097111532893,85.42837171626081,90.42741386910461,90.97994934504112,90.43023977123447,90.82652843823527,90.96519903401989,89.46086395221145,90.87237587781905
Episode feedback,0.8,0.3126252501877502,0.16523605114756212,0.12600536159247894,0.14876033016870432,0.08284023619621163,0.10759493602788016,0.07089552212352417,0.06172839468068892,0.10843373428654376,0.075999999696,0.06936416144876208,0.06779660997797568,0.03474903461486859,0.03999999973333333,0.05586592147560938,0.04575163368789782,0.03870967716961499,0.00999999995,0.02547770684409104,0.04575163368789782,0.006711409350930139,0.0351562498626709,0.012903225723204995,0.019354838584807493,0.012903225723204995,0.006493506451340867,0.022842639535932387,0.019607843009099065,0.018404907862546577,0.0039525691543376715,0.0025839793214884254,0.0,0.0,0.0126582277679859,0.0064516128616024975,0.00632911388399295,0.012578616273090464,0.0,0.013422818701860278,0.0,0.0,0.013333333274074075,0.0,0.006535947669699688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407379972565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005681818149535124,0.003636363623140496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,80.89579319953918,112.45005869865417,137.42652940750122,163.9491627216339,175.8436679840088,187.5110719203949,204.75594210624695,215.03877115249634,226.52982115745544,242.21914100646973,253.19473266601562,274.73792576789856,289.85397839546204,299.1897819042206,310.213326215744,319.65619587898254,329.2779235839844,340.681866645813,349.9889762401581,359.47814416885376,368.1950409412384,383.08228278160095,392.2270121574402,401.4875719547272,410.61233615875244,419.6455774307251,441.20292472839355,450.2933759689331,459.93322110176086,473.9082021713257,494.8342921733856,503.53345918655396,517.4854457378387,526.738228559494,535.9375059604645,545.0980033874512,554.3914711475372,563.3989579677582,572.1513154506683,580.8290331363678,595.3782494068146,608.2955529689789,617.0500099658966,626.0333025455475,635.3433890342712,644.351203918457,653.4998857975006,663.0669348239899,671.9491939544678,680.7772471904755,689.7965779304504,699.0460753440857,708.155077457428,716.699999332428,726.6544160842896,746.7982759475708,756.2505164146423,777.8255105018616,792.7810111045837,802.8509423732758,812.6824429035187,821.8584945201874,831.1372671127319,846.2756721973419,860.433721780777,869.4142847061157,878.4055535793304,888.0618989467621,897.025440454483,912.2855052947998,921.4921061992645,930.6721115112305,944.6218369007111,959.1129727363586,968.4445903301239,977.3611836433411,986.6670031547546,996.7333579063416,1011.6875886917114,1025.7263662815094,1034.8722755908966,1050.7107887268066,1060.0386021137238,1075.050814628601,1084.1635155677795,1093.0190250873566,1101.8755645751953,1110.7089307308197,1120.1495487689972,1135.3700675964355,1144.24795627594,1153.3421003818512,1162.6023173332214,1171.9446077346802,1180.4470748901367,1190.259486913681,1199.3405919075012
total minutes,0.0,1.3482632199923197,1.8741676449775695,2.290442156791687,2.7324860453605653,2.93072779973348,3.1251845320065814,3.4125990351041158,3.583979519208272,3.775497019290924,4.036985683441162,4.219912211100261,4.578965429464976,4.830899639924367,4.986496365070343,5.170222103595734,5.327603264649709,5.487965393066406,5.67803111076355,5.833149604002634,5.991302402814229,6.136584015687307,6.384704713026682,6.53711686929067,6.6914595325787865,6.843538935979208,6.994092957178752,7.353382078806559,7.504889599482218,7.665553685029348,7.898470036188761,8.24723820288976,8.392224319775899,8.62475742896398,8.778970475991567,8.932291766007742,9.084966723124186,9.239857852458954,9.38998263279597,9.53585525751114,9.68048388560613,9.92297082344691,10.138259216149647,10.284166832764944,10.433888375759125,10.589056483904521,10.739186731974284,10.891664763291677,11.05111558039983,11.199153232574464,11.346287453174591,11.496609632174174,11.650767922401428,11.802584624290466,11.9449999888738,12.110906934738159,12.446637932459513,12.604175273577372,12.963758508364359,13.213016851743062,13.380849039554596,13.544707381725312,13.697641575336457,13.8522877852122,14.104594536622365,14.340562029679615,14.490238078435262,14.640092559655507,14.801031649112701,14.950424007574718,15.204758421579998,15.358201769987742,15.511201858520508,15.743697281678518,15.985216212272643,16.140743172168733,16.289353060722352,16.444450052579246,16.612222631772358,16.861459811528523,17.095439438025156,17.247871259848278,17.51184647878011,17.66731003522873,17.91751357714335,18.069391926129658,18.216983751455942,18.36459274291992,18.511815512180327,18.669159146149955,18.922834459940592,19.070799271265667,19.22236833969752,19.376705288887024,19.532410128911337,19.674117914835612,19.837658115228017,19.98900986512502
cummulative feedback,0.0,312.0,389.0,436.0,490.0,504.0,521.0,540.0,550.0,568.0,587.0,599.0,623.0,632.0,638.0,648.0,655.0,661.0,663.0,667.0,674.0,675.0,684.0,686.0,689.0,691.0,692.0,701.0,704.0,707.0,708.0,709.0,709.0,709.0,711.0,712.0,713.0,715.0,715.0,717.0,717.0,717.0,720.0,720.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,724.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,466.0,373.0,363.0,169.0,158.0,268.0,162.0,166.0,250.0,173.0,354.0,259.0,150.0,179.0,153.0,155.0,200.0,157.0,153.0,149.0,256.0,155.0,155.0,155.0,154.0,394.0,153.0,163.0,253.0,387.0,152.0,254.0,158.0,155.0,158.0,159.0,156.0,149.0,148.0,265.0,225.0,150.0,153.0,158.0,155.0,157.0,165.0,154.0,156.0,158.0,160.0,155.0,150.0,171.0,373.0,166.0,399.0,270.0,171.0,166.0,157.0,162.0,271.0,252.0,152.0,158.0,163.0,156.0,281.0,158.0,159.0,246.0,259.0,158.0,153.0,157.0,176.0,275.0,255.0,154.0,283.0,159.0,273.0,155.0,151.0,154.0,155.0,161.0,274.0,152.0,153.0,156.0,155.0,144.0,166.0,154.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
