,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3710.0,4709.0,5708.0,6707.0,7121.0,8047.0,8670.0,9503.0,9955.0,10374.0,10786.0,11205.0,11602.0,11868.0,12221.0,12644.0,13070.0,13345.0,13589.0,13883.0,14130.0,14289.0,14718.0,14996.0,15270.0,15604.0,15860.0,16120.0,16467.0,16837.0,17081.0,17514.0,17849.0,18192.0,18447.0,18803.0,19080.0,19593.0,19755.0
Episode reward,0.0,-99.8737235478304,-97.71918672587671,-96.50477028553794,41.44818669386485,-90.68631763572598,-93.56296914669409,-96.91571638161727,75.32414295027493,76.72812947858199,62.04015620296078,22.242439955658057,83.58732520438896,77.0215618184294,88.33599475326594,76.99548482580065,86.88584516452208,84.57163946774091,80.40587346610474,76.92808982413183,76.42218670679449,87.79902272953349,86.68594802544537,82.17809110592242,86.20287462646426,90.56030901268855,76.05362544609591,87.24882161006119,84.23383700883885,82.13474164033352,85.91527531695901,85.5425499238622,81.17651701674444,79.06449029672675,86.92867684205315,76.67453227282552,81.86168929373619,81.52204793988585,85.488718127655,80.3655179617218,83.9501396529325,72.47244378712888,90.33846307366947
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,40.93346095085144,83.24316883087158,125.28363752365112,156.03684067726135,198.91801381111145,241.8329496383667,284.3734030723572,302.43434977531433,345.23638701438904,374.5362994670868,413.40391850471497,435.0065758228302,455.424373626709,475.3263952732086,495.4737958908081,514.5956039428711,527.607551574707,544.7147810459137,564.5745320320129,584.9363257884979,598.4155688285828,610.5218782424927,624.8447897434235,637.1661148071289,645.4949779510498,665.8496253490448,679.6007225513458,692.7750051021576,708.9170093536377,721.5389544963837,734.2586553096771,750.6787700653076,769.248696565628,781.3468489646912,801.6788692474365,817.8647029399872,834.6533470153809,847.2031183242798,864.319732427597,877.8995440006256,902.3137624263763,910.6742560863495
total minutes,0.0,0.6822243491808574,1.387386147181193,2.0880606253941854,2.600614011287689,3.315300230185191,4.030549160639445,4.7395567178726195,5.040572496255239,5.75393978357315,6.24227165778478,6.890065308411916,7.25010959704717,7.590406227111816,7.922106587886811,8.257896598180135,8.576593399047852,8.793459192911785,9.078579684098562,9.409575533866882,9.748938763141632,9.973592813809713,10.175364637374878,10.414079829057057,10.619435246785482,10.758249632517497,11.097493755817414,11.326678709189098,11.54625008503596,11.815283489227294,12.025649241606395,12.237644255161285,12.511312834421794,12.820811609427134,13.022447482744854,13.361314487457275,13.63107838233312,13.910889116923014,14.12005197207133,14.405328873793284,14.631659066677093,15.038562707106273,15.177904268105825
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,711.0,998.0,998.0,998.0,413.0,925.0,622.0,832.0,451.0,418.0,411.0,418.0,396.0,265.0,352.0,422.0,425.0,274.0,243.0,293.0,246.0,158.0,428.0,277.0,273.0,333.0,255.0,259.0,346.0,369.0,243.0,432.0,334.0,342.0,254.0,355.0,276.0,512.0,161.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
