,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1999.0,2990.0,3989.0,4988.0,5987.0,6986.0,7985.0,8984.0,9983.0,10982.0,11981.0,12980.0,13979.0,14978.0,15977.0,16976.0,17750.0,18618.0,19617.0
Episode reward,0.0,-54.542440191894755,-65.4572203876671,38.63739035391715,-54.75607325709193,-69.65618549558646,-54.42570272395246,-61.1939685794384,-67.54079087492919,-67.17235867195072,-55.45118434628497,-66.0047719128649,-66.12750533635295,-56.66262946355279,-64.08873950010282,-65.67042151997359,-55.18631661166844,-55.451483190010165,57.38805679675916,52.22238264466703,-55.06404254723191
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,41.4422652721405,85.52119565010071,127.72712135314941,172.9548487663269,217.65858221054077,262.19646310806274,307.306658744812,352.04557275772095,395.7690529823303,439.6230628490448,483.3478088378906,526.0855662822723,570.5670328140259,616.5334551334381,660.6787827014923,704.2370657920837,749.3161180019379,784.4361312389374,823.2717254161835,866.497633934021
total minutes,0.0,0.6907044212023418,1.425353260835012,2.1287853558858236,2.882580812772115,3.627643036842346,4.369941051801046,5.1217776457468664,5.867426212628683,6.596150883038839,7.32705104748408,8.055796813964843,8.768092771371206,9.509450546900432,10.275557585557301,11.011313045024872,11.737284429868062,12.488601966698964,13.073935520648956,13.721195423603058,14.441627232233683
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,990.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,773.0,867.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
