,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
Accumulated time steps,0.0,726.0,984.0,1470.0,1744.0,2178.0,2448.0,2707.0,2959.0,3221.0,3465.0,3903.0,4060.0,4222.0,4658.0,4820.0,4981.0,5268.0,5541.0,5702.0,5858.0,6011.0,6168.0,6449.0,6604.0,6862.0,7021.0,7179.0,7354.0,7505.0,7857.0,8021.0,8176.0,8339.0,8596.0,8754.0,8910.0,9065.0,9345.0,9610.0,9769.0,9924.0,10081.0,10235.0,10501.0,10896.0,11051.0,11323.0,11592.0,11744.0,12007.0,12172.0,12438.0,12609.0,12960.0,13220.0,13379.0,13629.0,13785.0,13945.0,14103.0,14319.0,14573.0,14931.0,15230.0,15426.0,15689.0,15848.0,16110.0,16277.0,16458.0,16738.0,17001.0,17263.0,17421.0,17575.0,17845.0,18111.0,18269.0,18416.0,18574.0,18733.0,18888.0,19040.0,19391.0,19740.0,20109.0
Episode reward,0.0,60.71009889207907,85.59796461846251,70.51142791004499,84.14379038237828,74.80060581423382,82.70488027200724,86.79047727921775,85.33386400536978,84.3341885996618,84.69647199839038,74.6803157390816,90.68624973741663,90.55235108930584,73.70477066861896,90.9790800961686,91.16761671853384,81.27337961856426,84.64105874107656,89.64980927118742,90.86150246407402,90.99939461799866,90.81881575826529,81.39915142465485,90.77828993378037,85.67655894629496,90.07015935980411,90.62932596437976,89.15355588472646,90.55935287933896,78.41698878890756,89.66722337334258,90.64796559614918,90.19101393867251,84.77896178813893,90.05856173083986,91.45543003172341,90.33825379669955,83.23447853912681,85.4907091272779,90.39178109122155,91.39138986349614,90.53892198340222,90.18178090774646,84.62028477400756,75.46260397471538,90.576205546574,83.790347786333,83.61126682169822,90.95338353099339,84.25816260272822,90.33569419106773,83.14139796679679,89.2194568958477,77.92387054863771,83.19492386201215,89.56447138630256,84.71075646379029,90.81889242031829,90.10049475294582,89.97620596355806,84.61219051479739,84.944061767185,78.862205167621,80.73700422082467,87.51852200916873,83.97771344889053,89.78285098576012,82.74774814704097,90.20126799621369,89.2416116071735,83.60454084630166,83.83962134826615,84.1876665670275,89.87208650864174,90.81739588604064,83.21082178373894,84.54754919784313,90.97867611899628,90.71621157409382,90.81894108337039,90.5681201732279,90.80921855872808,90.81604629810329,78.06234337927884,77.19936802731756,76.27403668104276
Episode feedback,0.8,0.36187845253884193,0.1750972755832791,0.1360824739462217,0.12820512773551235,0.09930715912400194,0.09293680262848772,0.10077519340784809,0.07569721085379598,0.08812260502635018,0.04938271584616166,0.05034324931271568,0.05128205095332019,0.018633540256934533,0.029885057402563087,0.037267080513869066,0.0187499998828125,0.03146853135850164,0.02573529402303201,0.024999999843750002,0.019354838584807493,0.03289473662569252,0.01923076910749507,0.007142857117346939,0.006493506451340867,0.0,0.01898734165197885,0.01910828013306828,0.011494252807504294,0.0066666666222222224,0.0028490028408860316,0.012269938575031052,0.0,0.018518518404206676,0.007812499969482422,0.01910828013306828,0.0064516128616024975,0.0194805193540226,0.0,0.007575757547061524,0.0,0.0,0.0,0.0,0.0037735848914204344,0.002538071059548043,0.0,0.0,0.0,0.0,0.0038167938785618554,0.006097560938429507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051282051019066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,70.52894377708435,93.85094594955444,138.57825684547424,163.8843855857849,200.31925868988037,220.94917511940002,241.85521030426025,259.89609026908875,278.8462402820587,295.22157859802246,323.3449900150299,333.84233355522156,344.2597122192383,370.4659490585327,380.90461587905884,390.9666759967804,408.3640344142914,424.8863489627838,434.93120670318604,444.414324760437,454.25115609169006,464.0030195713043,480.2639636993408,489.6684834957123,504.433625459671,514.2631480693817,523.5731790065765,533.901647567749,543.0279517173767,562.8987238407135,572.7790696620941,581.9107439517975,591.788969039917,606.419939994812,615.8755922317505,625.2610306739807,634.7635180950165,650.6941566467285,665.9180846214294,675.4077384471893,684.7647359371185,694.018887758255,702.9140572547913,718.0248172283173,739.8721423149109,749.1373188495636,764.185432434082,779.4316506385803,788.3316187858582,803.7829823493958,813.4834351539612,828.2549920082092,838.4304163455963,857.6832611560822,872.1648440361023,881.6612865924835,896.1200017929077,905.4365150928497,914.9863588809967,924.4519300460815,936.6839852333069,951.0271618366241,970.7485411167145,987.4984912872314,999.0301828384399,1013.8079831600189,1023.1806976795197,1037.9196877479553,1047.8217689990997,1058.2091476917267,1073.7563993930817,1089.0096678733826,1103.7327809333801,1112.891462802887,1121.9636089801788,1137.3379731178284,1152.4205799102783,1161.8681726455688,1170.437080860138,1179.8076303005219,1189.5621161460876,1199.3224012851715,1208.5869872570038,1229.9635014533997,1251.9875164031982,1274.9722793102264
total minutes,0.0,1.1754823962847392,1.5641824324925742,2.3096376140912374,2.7314064264297486,3.338654311498006,3.6824862519900003,4.030920171737671,4.331601504484812,4.647437338034312,4.920359643300374,5.389083166917165,5.564038892587026,5.737661870320638,6.174432484308879,6.348410264650981,6.516111266613007,6.80606724023819,7.08143914937973,7.248853445053101,7.40690541267395,7.570852601528168,7.7333836595217385,8.004399394989013,8.161141391595205,8.407227090994517,8.571052467823028,8.72621965010961,8.898360792795817,9.050465861956278,9.381645397345226,9.546317827701568,9.698512399196625,9.863149483998617,10.106998999913534,10.264593203862509,10.421017177899678,10.579391968250274,10.844902610778808,11.098634743690491,11.256795640786489,11.412745598951975,11.566981462637584,11.715234287579854,11.967080287138621,12.33120237191518,12.48562198082606,12.736423873901368,12.990527510643005,13.138860313097636,13.396383039156596,13.55805725256602,13.804249866803486,13.973840272426605,14.294721019268035,14.536080733935039,14.694354776541392,14.935333363215129,15.09060858488083,15.249772648016611,15.407532167434692,15.611399753888447,15.850452697277069,16.17914235194524,16.458308188120522,16.650503047307332,16.89679971933365,17.053011627991996,17.298661462465923,17.463696149984994,17.636819128195445,17.895939989884695,18.150161131223044,18.39554634888967,18.548191046714784,18.699393483002982,18.95563288529714,19.207009665171306,19.364469544092813,19.5072846810023,19.663460505008697,19.82603526910146,19.988706688086193,20.143116454283398,20.499391690889993,20.86645860671997,21.249537988503775
cummulative feedback,0.0,262.0,307.0,373.0,408.0,451.0,476.0,502.0,521.0,544.0,556.0,578.0,586.0,589.0,602.0,608.0,611.0,620.0,627.0,631.0,634.0,639.0,642.0,644.0,645.0,645.0,648.0,651.0,653.0,654.0,655.0,657.0,657.0,660.0,662.0,665.0,666.0,669.0,669.0,671.0,671.0,671.0,671.0,671.0,672.0,673.0,673.0,673.0,673.0,673.0,674.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,724.0,257.0,485.0,273.0,433.0,269.0,258.0,251.0,261.0,243.0,437.0,156.0,161.0,435.0,161.0,160.0,286.0,272.0,160.0,155.0,152.0,156.0,280.0,154.0,257.0,158.0,157.0,174.0,150.0,351.0,163.0,154.0,162.0,256.0,157.0,155.0,154.0,279.0,264.0,158.0,154.0,156.0,153.0,265.0,394.0,154.0,271.0,268.0,151.0,262.0,164.0,265.0,170.0,350.0,259.0,158.0,249.0,155.0,159.0,157.0,215.0,253.0,357.0,298.0,195.0,262.0,158.0,261.0,166.0,180.0,279.0,262.0,261.0,157.0,153.0,269.0,265.0,157.0,146.0,157.0,158.0,154.0,151.0,350.0,348.0,368.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
