,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Accumulated time steps,0.0,430.0,720.0,1090.0,2089.0,3088.0,3448.0,4447.0,4711.0,5151.0,6119.0,6464.0,7001.0,7429.0,7696.0,7997.0,8253.0,8631.0,8989.0,9339.0,9771.0,10263.0,10612.0,10990.0,11257.0,11695.0,11855.0,12033.0,12198.0,12474.0,12940.0,13377.0,13559.0,13720.0,13888.0,14056.0,14316.0,14667.0,14929.0,15175.0,15605.0,16030.0,16183.0,16522.0,16774.0,17222.0,17470.0,17810.0,17977.0,18551.0,19027.0,19301.0,19876.0
Episode reward,0.0,77.3780413211979,85.18035051867415,83.66177579823231,-65.76844995086537,-66.4667499527583,82.37917832790971,-65.1931930971478,86.18058969886114,75.18307693070578,41.595458827704064,78.95828846290907,70.24277533450264,73.59859049433673,84.31507807530262,81.85115105716098,83.88196816111851,78.81716674445946,76.83926957931706,82.24573774764838,73.23524492323375,82.01784024970993,79.67918529033975,82.15173126858535,86.35140803588023,72.91635106201534,89.82961632232801,88.61501545277997,91.35495374167827,84.56511623059455,76.78413960112374,74.74593930502692,88.63577031315722,91.52762771072055,91.3149056003702,91.317831722208,87.72156756135499,81.5452697951232,84.00087658794519,85.4623477805228,73.94340677593614,74.07726157411129,90.82374938983607,79.20265968011806,84.46956604643137,74.67444071234937,85.41231142785131,79.27926714254463,91.02925013100507,74.03183219870319,77.41814979614067,87.28148627230914,73.50812175129715
Episode feedback,0.8,0.49766355023910386,0.2698961928377294,0.28997289894316286,0.01703406811920434,0.00901803606310818,0.08077994406467982,0.01102204407713222,0.05703422031545924,0.03644646916527,0.01964839708412782,0.0029069767357355327,0.011194029829861885,0.002341920369222669,0.011278195446322574,0.009999999966666668,0.00392156861207228,0.013262599434316713,0.008403361320998988,0.00859598851405161,0.0046403712189318535,0.002036659873652424,0.0057471264202668786,0.0,0.0,0.002288329514214349,0.0,0.005649717482204986,0.0,0.0,0.00215053762978379,0.004587155952781753,0.0055248618479289404,0.0,0.0,0.0,0.0,0.002857142848979592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00447427292063921,0.0,0.0,0.006024096349252432,0.0,0.0,0.0,0.0
total seconds,0.0,31.354620456695557,50.99836564064026,78.3839499950409,126.81592345237732,175.12924337387085,194.11407232284546,241.67606806755066,255.1753032207489,277.33973026275635,324.7390043735504,341.88537549972534,369.04085874557495,390.5618658065796,404.48034024238586,420.1245548725128,433.69957542419434,452.6278963088989,470.81233263015747,488.20045375823975,509.47903203964233,534.0123093128204,551.7578544616699,570.7399711608887,584.7132952213287,607.1272819042206,615.9068853855133,625.2884194850922,634.5111835002899,648.6575965881348,672.092524766922,694.3726799488068,703.8052699565887,712.5248141288757,721.5137481689453,730.5972437858582,744.3438084125519,762.0988278388977,775.823629617691,788.2796669006348,810.3625264167786,831.7928078174591,840.0753872394562,857.6403110027313,870.5795092582703,893.013738155365,906.7532780170441,924.1113669872284,933.1389422416687,960.4291718006134,982.8509435653687,996.304571390152,1023.4743254184723
total minutes,0.0,0.5225770076115926,0.8499727606773376,1.306399166584015,2.113598724206289,2.9188207228978476,3.235234538714091,4.027934467792511,4.252921720345815,4.6223288377126055,5.412316739559174,5.698089591662089,6.150680979092916,6.50936443010966,6.741339004039764,7.00207591454188,7.228326257069906,7.543798271814982,7.8468722105026245,8.136674229303996,8.491317200660706,8.900205155213675,9.195964241027832,9.512332852681478,9.745221587022145,10.11878803173701,10.265114756425222,10.421473658084869,10.5751863916715,10.810959943135579,11.2015420794487,11.57287799914678,11.730087832609813,11.875413568814595,12.025229136149088,12.176620729764302,12.405730140209197,12.701647130648295,12.930393826961517,13.137994448343912,13.506042106946309,13.863213463624318,14.001256453990937,14.294005183378856,14.509658487637838,14.883562302589416,15.112554633617401,15.401856116453807,15.552315704027812,16.007152863343556,16.38084905942281,16.605076189835867,17.057905423641206
cummulative feedback,0.0,213.0,291.0,398.0,415.0,424.0,453.0,464.0,479.0,495.0,514.0,515.0,521.0,522.0,525.0,528.0,529.0,534.0,537.0,540.0,542.0,543.0,545.0,545.0,545.0,546.0,546.0,547.0,547.0,547.0,548.0,550.0,551.0,551.0,551.0,551.0,551.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,554.0,554.0,554.0,555.0,555.0,555.0,555.0,555.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,428.0,289.0,369.0,998.0,998.0,359.0,998.0,263.0,439.0,967.0,344.0,536.0,427.0,266.0,300.0,255.0,377.0,357.0,349.0,431.0,491.0,348.0,377.0,266.0,437.0,159.0,177.0,164.0,275.0,465.0,436.0,181.0,160.0,167.0,167.0,259.0,350.0,261.0,245.0,429.0,424.0,152.0,338.0,251.0,447.0,247.0,339.0,166.0,573.0,475.0,273.0,574.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
