,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Accumulated time steps,0.0,1000.0,1999.0,2727.0,3151.0,3299.0,3548.0,4037.0,4699.0,5698.0,6352.0,6967.0,7434.0,8264.0,9263.0,10004.0,10731.0,11272.0
Episode reward,0.0,-73.4987891664488,-61.787176507032655,66.65603896438373,80.77627977939237,90.64108402737037,89.6263724172615,79.90212835908702,72.87370725400413,-35.459821801677734,75.47745953961208,76.04855699234339,83.60533183238854,68.20705903467507,-42.822376236710376,69.15963712213461,74.03858730519967,80.65315325636396
Episode feedback,0.8,0.007014028049084141,0.01102204407713222,0.22008253064637892,0.15839243461372948,0.08163265250590032,0.13306451559248178,0.10040983585981592,0.0983358546167385,0.07414829651888949,0.033690658447640645,0.024429967386921877,0.03218884113264197,0.02171290709081676,0.01903807613322838,0.009459459446676406,0.004132231399266899,0.007407407393689986
total seconds,0.0,45.74140763282776,92.4604263305664,134.34278774261475,158.14966487884521,166.65416073799133,180.7813856601715,206.82384967803955,241.72480154037476,293.0258846282959,325.99895787239075,356.7574496269226,380.5494132041931,421.5364453792572,470.6097390651703,507.0491647720337,542.5902624130249,569.4284310340881
total minutes,0.0,0.7623567938804626,1.54100710550944,2.2390464623769124,2.6358277479807537,2.777569345633189,3.0130230943361918,3.447064161300659,4.028746692339579,4.883764743804932,5.433315964539846,5.945957493782044,6.342490220069886,7.02560742298762,7.8434956510861715,8.450819412867228,9.043171040217082,9.490473850568135
cummulative feedback,0.0,7.0,18.0,178.0,245.0,257.0,290.0,339.0,404.0,478.0,500.0,515.0,530.0,548.0,567.0,574.0,577.0,581.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,727.0,423.0,147.0,248.0,488.0,661.0,998.0,653.0,614.0,466.0,829.0,998.0,740.0,726.0,540.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
